SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
MET	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,smregions,cbase,mutpanning	8.404879914270391e-38	1.5007962381354342e-38	1.0	22.0	21.0	22.2233269955299	0.0	0.0	22.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,mutpanning	1.677905038119582e-15	2.9961089210600094e-16	2.0	5.0	5.0	36.80452495215229	0.0	0.0	5.0	0.0	Act
CUL3	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	9.803258363500376e-08	1.750494168088096e-08	3.0	10.0	8.0	8.999722603434881	76.9453004138626	76.9453004138626	5.0	4.0	LoF
PBRM1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.1710524571192198e-11	2.091060360445789e-12	4.0	8.0	8.0	2.38716834814112	35.4709304359053	35.4709304359053	3.0	3.0	LoF
NF2	1	dndscv,oncodrivefml,smregions,mutpanning	dndscv,mutpanning	1.4654886450187728e-09	2.6168129323776227e-10	5.0	7.0	6.0	1.7993200612236202	55.79690239496549	55.79690239496549	1.0	2.0	LoF
KDM6A	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	6.734029843634591e-12	1.202445098550329e-12	6.0	8.0	8.0	1.68223767600744	26.880736918825306	26.880736918825306	2.0	3.0	LoF
SETD2	1	smregions,cbase,mutpanning	mutpanning	1.5391128779998335e-05	3.847589468618666e-06	7.0	17.0	16.0	2.23530686115903	13.4683256346454	13.4683256346454	5.0	2.0	LoF
BAP1	1	dndscv,cbase,mutpanning	dndscv	3.566356161698411e-05	1.0082942424770092e-05	7.0	11.0	10.0	13.419638978958199	0.0	0.0	9.0	0.0	Act
STAG2	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	2.2646954726416782e-08	4.0438964988567915e-09	7.0	7.0	7.0	0.9788620742752552	28.943181812301198	28.943181812301198	1.0	4.0	LoF
KMT2C	1	dndscv,cbase,mutpanning	cbase,mutpanning	0.00015241467051001765	4.859918253087662e-05	10.0	18.0	16.0	3.09102773998433	5.45325973263356	5.45325973263356	11.0	1.0	LoF
PTEN	1	dndscv,cbase,mutpanning	mutpanning	7.2691132784944035e-06	1.7847375232667045e-06	11.0	5.0	5.0	5.827738215197741	49.122276402002704	49.122276402002704	2.0	2.0	LoF
SMARCA4	1	dndscv,cbase,mutpanning		2.5110960083176543e-05	6.5830360463198405e-06	12.0	13.0	12.0	5.7831735630312	5.81321802218958	5.81321802218958	10.0	1.0	ambiguous
FAM91A1	1	dndscv,oncodrivefml,mutpanning		1.5420924742734534e-05		12.0	3.0	3.0	1.50085379329057	33.187366584089105	33.187366584089105	1.0	2.0	LoF
NRAP	1	oncodriveclustl,hotmaps,smregions	smregions	7.2691132784944035e-06		14.0	7.0	5.0	5.16136168630225	0.0	0.0	7.0	0.0	Act
DNAJB9	1	oncodriveclustl,dndscv,oncodrivefml		3.567647322592982e-05		15.0	3.0	3.0	0.0	94.6842820940708	94.6842820940708	0.0	2.0	LoF
PFKFB3	1	oncodriveclustl,hotmaps,smregions		0.0037533767257865954		16.0	4.0	2.0	4.82474835378347	0.0	0.0	3.0	0.0	Act
SMC6	1	oncodrivefml,cbase,mutpanning		7.2691132784944035e-06		17.0	5.0	5.0	3.4542725401758503	16.988200463282194	16.988200463282194	3.0	2.0	LoF
FGFR3	1	oncodriveclustl,mutpanning		5.694304954730527e-05	1.6425056943339342e-05	18.0	6.0	4.0	9.085954768664859	0.0	0.0	6.0	0.0	Act
SLC5A12	1	dndscv,hotmaps		7.40658749520084e-05		19.0	9.0	9.0	10.874498507038698	0.0	0.0	7.0	0.0	Act
PIK3CA	1	hotmaps,smregions		0.0002056470381725234	6.854557926498467e-05	20.0	4.0	3.0	5.51884494940729	0.0	0.0	4.0	0.0	Act
TP53	1	dndscv,oncodrivefml,cbase		1.5391128779998335e-05	3.847589468618666e-06	21.0	5.0	5.0	11.9823481033913	27.6076420804987	27.6076420804987	4.0	1.0	LoF
WDR20	1	dndscv,hotmaps		0.0017873250906449817		21.0	9.0	7.0	5.624079901836691	19.7238600626967	19.7238600626967	4.0	1.0	LoF
SRRM2	1	cbase,mutpanning		0.0019882462677646303		23.0	12.0	11.0	3.97662499987708	5.96833389569432	5.96833389569432	9.0	1.0	LoF
HERC2	1	cbase,mutpanning	cbase	0.0019882462677646303		23.0	12.0	12.0	2.60972407994808	2.80209972345419	2.80209972345419	9.0	1.0	LoF
HELZ2	1	cbase,mutpanning		0.0048764010969348254		23.0	10.0	9.0	4.06711560294601	0.0	0.0	9.0	0.0	Act
