SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase,mutpanning	1.1044334333191288e-15	2.3297663844868013e-15	1.0	7.0	7.0	99.4188487673525	497.83239475195296	497.83239475195296	6.0	1.0	LoF
IDH2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	5.685011529294981e-19	1.1992346805879648e-18	1.0	6.0	6.0	75.2119805764855	0.0	0.0	6.0	0.0	Act
FLT3	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	4.36584116704321e-21	9.209599858289373e-21	3.0	7.0	7.0	56.221573393582105	0.0	0.0	7.0	0.0	Act
IDH1	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	1.2968819708584624e-11	2.735730311307941e-11	4.0	4.0	4.0	65.1985475701129	0.0	0.0	4.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	dndscv,hotmaps	3.506289909055993e-11	7.396404453126992e-11	5.0	5.0	5.0	212.21014938475	0.0	0.0	5.0	0.0	Act
DNMT3A	1	oncodriveclustl,dndscv,oncodrivefml,mutpanning	dndscv,mutpanning	3.8878801798710015e-08	8.201356710792973e-08	6.0	6.0	6.0	35.4301445483326	136.537032975873	136.537032975873	5.0	0.0	Act
GATA2	1	oncodriveclustl,dndscv,oncodrivefml,smregions	smregions	1.3847928829661963e-05	2.921175519393189e-05	7.0	4.0	4.0	39.80402137830861	0.0	0.0	3.0	0.0	Act
KIT	1	oncodriveclustl,dndscv,oncodrivefml,smregions	oncodriveclustl	1.4890856399126944e-05	3.141177696028849e-05	7.0	6.0	4.0	21.6122766511379	0.0	0.0	3.0	0.0	Act
RUNX1	1	oncodriveclustl,dndscv,smregions,cbase,mutpanning	dndscv,smregions,cbase,mutpanning	4.8015104869382474e-09	1.0128630110020622e-08	9.0	9.0	9.0	59.40843941434201	158.270771589876	158.270771589876	5.0	1.0	LoF
ASXL1	1	dndscv,oncodrivefml,mutpanning		9.752817972477231e-05	0.0002799375320817908	10.0	3.0	3.0	3.91159921024854	108.016818827052	108.016818827052	1.0	1.0	LoF
PTPN11	1	oncodriveclustl,oncodrivefml,hotmaps,smregions		4.944810035629969e-07	1.043091584439103e-06	11.0	3.0	3.0	32.8027867786236	0.0	0.0	3.0	0.0	Act
SDSL	1	dndscv,oncodrivefml		0.00011840919170239255		12.0	2.0	2.0	22.473755653526002	236.295130046763	236.295130046763	1.0	1.0	LoF
RHOC	1	dndscv,oncodrivefml		0.00012168767260393635		12.0	2.0	2.0	32.9144839495672	393.608287700401	393.608287700401	1.0	1.0	LoF
NPM1	1	dndscv,oncodrivefml		0.014456614983192319	0.10194372250119953	12.0	10.0	10.0	21.6303164105528	0.0	0.0	1.0	0.0	Act
CEBPA	1	dndscv,oncodrivefml		0.0013459450487037495	0.006785092528018311	12.0	3.0	3.0	13.857153011254	0.0	0.0	1.0	0.0	Act
ASXL2	1	dndscv,oncodrivefml		0.047511902989818035	0.20333052256161374	12.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	ambiguous
NFIX	1	dndscv,oncodrivefml		9.752817972477231e-05		12.0	3.0	3.0	14.5948732122511	152.714933261937	152.714933261937	1.0	1.0	LoF
UGT2B4	1	dndscv,cbase,mutpanning	dndscv,cbase	7.756330591975897e-05		18.0	4.0	3.0	50.624002365576295	175.782510942192	175.782510942192	3.0	1.0	LoF
AMT	1	dndscv,smregions		0.011132911414590066		19.0	3.0	2.0	52.2742660465272	0.0	0.0	3.0	0.0	Act
KAT6B	1	dndscv		0.010033013457254587	0.06445496044466231	20.0	4.0	2.0	21.086922397055602	0.0	0.0	4.0	0.0	Act
TJAP1	1	dndscv		0.0013505473710808472		20.0	3.0	2.0	34.40719071601539	0.0	0.0	3.0	0.0	Act
NMUR2	1	dndscv		0.0005168948472853624		20.0	3.0	3.0	49.183984497588604	0.0	0.0	3.0	0.0	Act
KIF2B	1	dndscv		0.0017602794219082891		20.0	3.0	3.0	44.9184271599934	0.0	0.0	3.0	0.0	Act
BRINP3	1	dndscv,smregions		0.010721406498572606		26.0	4.0	3.0	25.5118146520055	0.0	0.0	3.0	0.0	Act
LRP1	3	dndscv		0.018229660543914183		27.0	4.0	2.0	3.13966560704675	16.4310400551518	16.4310400551518	2.0	0.0	Act
BCORL1	2	dndscv		0.029301775788292326	0.20333052256161374	27.0	4.0	4.0	8.90490893697147	0.0	0.0	2.0	0.0	Act
RBM3	3	dndscv		0.04091999110527605		27.0	2.0	2.0	82.26825880774541	0.0	0.0	2.0	0.0	Act
WT1	2	dndscv		0.01943964913176095	0.13564182753181594	27.0	3.0	3.0	12.0749682910417	123.857676492426	123.857676492426	1.0	1.0	LoF
RPL4	4	dndscv		0.193397578247322		27.0	2.0	2.0	16.9606771411806	0.0	0.0	1.0	0.0	Act
EDC4	4	dndscv		0.23984900337617776		27.0	5.0	4.0	15.3563387951967	0.0	0.0	4.0	0.0	Act
SUMO2	4	dndscv		0.4625331496077908		27.0	2.0	2.0	83.4000152773713	0.0	0.0	1.0	0.0	Act
ZBTB3	3	dndscv		0.009530024720105574		27.0	2.0	2.0	9.66571709662895	169.159457503636	169.159457503636	1.0	1.0	LoF
CACNA2D3	3	oncodrivefml		0.0001228173219049408		42.0	2.0	2.0	7.130402144352349	51.0657440225161	51.0657440225161	1.0	1.0	LoF
