SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
IDH2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	6.004911809228941e-18	1.7264121451533207e-17	1.0	5.0	5.0	99.5824754258773	0.0	0.0	5.0	0.0	Act
RUNX1	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,smregions,cbase,mutpanning	2.1938229968160907e-11	6.30724111584626e-11	2.0	5.0	5.0	78.50234389445309	258.242717113168	258.242717113168	4.0	1.0	LoF
IDH1	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	1.7694957777134937e-13	5.087300360926294e-13	2.0	4.0	4.0	103.122407700972	0.0	0.0	4.0	0.0	Act
FLT3	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,mutpanning	smregions,mutpanning	5.29017083118562e-10	1.5209241139658658e-09	4.0	4.0	4.0	48.8295917019354	0.0	0.0	4.0	0.0	Act
TP53	1	dndscv,oncodrivefml,smregions,mutpanning	dndscv,mutpanning	2.1938229968160907e-11	6.30724111584626e-11	5.0	6.0	6.0	153.869368307434	499.451115888833	499.451115888833	6.0	0.0	Act
DNMT3A	1	oncodriveclustl,dndscv,oncodrivefml,mutpanning	dndscv,mutpanning	9.227863455505636e-10	2.6530107434578707e-09	5.0	5.0	5.0	58.318881257803795	218.545167925883	218.545167925883	5.0	0.0	Act
PTPN11	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions	smregions	1.87606157374638e-08	5.393677024520843e-08	7.0	3.0	3.0	52.398087847432	0.0	0.0	3.0	0.0	Act
RAPGEF2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodrivefml,cbase,mutpanning	3.344533133053043e-08		8.0	3.0	3.0	10.5137074483091	201.882843724174	201.882843724174	1.0	2.0	LoF
ASXL1	1	dndscv,oncodrivefml,mutpanning	mutpanning	1.2897452574141426e-08	3.70801761506566e-08	9.0	2.0	2.0	6.0459544610411005	161.366029347365	161.366029347365	1.0	1.0	LoF
KIT	1	oncodriveclustl,dndscv,oncodrivefml,smregions,mutpanning	oncodriveclustl	2.408677239888035e-06	1.2311017003872177e-05	10.0	3.0	2.0	33.4644939550825	0.0	0.0	3.0	0.0	Act
KRAS	1	dndscv,smregions,mutpanning	dndscv	0.000251737383241637	0.0016083221707104587	11.0	3.0	3.0	212.06095592617905	0.0	0.0	3.0	0.0	Act
AMT	1	dndscv,smregions,mutpanning		0.0002028619448554133		11.0	3.0	2.0	78.9510307416511	0.0	0.0	3.0	0.0	Act
NOS1AP	1	dndscv,oncodrivefml		1.4566447852905428e-06		13.0	2.0	2.0	25.219837577131802	228.00086612568	228.00086612568	1.0	1.0	LoF
UGT2B4	1	dndscv,mutpanning		4.584077158973405e-05		13.0	3.0	3.0	81.3323820093173	0.0	0.0	3.0	0.0	Act
VPS13D	1	dndscv,oncodrivefml,mutpanning	mutpanning	1.0641414426211859e-06		13.0	2.0	2.0	3.33888372500354	62.7097318248234	62.7097318248234	1.0	1.0	LoF
MYC	1	dndscv,oncodrivefml,mutpanning		0.00024155840808948788	0.001593219794531402	13.0	2.0	2.0	22.521244942393107	287.692683186287	287.692683186287	1.0	1.0	LoF
RHOC	1	dndscv,oncodrivefml,mutpanning		1.4063018511453456e-06		13.0	2.0	2.0	51.6281044892324	585.304161230149	585.304161230149	1.0	1.0	LoF
SRSF2	1	oncodriveclustl,dndscv	oncodriveclustl	0.0003329700200308574	0.0021664957224376185	21.0	2.0	2.0	65.8253862273395	0.0	0.0	2.0	0.0	Act
VARS2	1	dndscv,oncodrivefml,smregions,mutpanning		4.175791024615415e-05		21.0	3.0	2.0	27.882493655437198	0.0	0.0	3.0	0.0	Act
TJAP1	1	dndscv,mutpanning		1.2403793359986504e-05		21.0	3.0	2.0	53.37649106771689	0.0	0.0	3.0	0.0	Act
HIVEP3	1	oncodrivefml,smregions,mutpanning	smregions	3.549204452917293e-05		26.0	3.0	2.0	13.0000269384781	0.0	0.0	3.0	0.0	Act
PAN2	1	dndscv		4.780282517860512e-05		27.0	3.0	3.0	31.4585322571392	0.0	0.0	3.0	0.0	Act
WNT11	1	dndscv,oncodrivefml		0.00020375776128462474		27.0	2.0	2.0	54.0221803779398	0.0	0.0	2.0	0.0	Act
SLC22A16	1	dndscv,oncodrivefml		0.00022709541668473302		27.0	2.0	2.0	59.491524413442896	0.0	0.0	2.0	0.0	Act
