SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
FLT3	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,smregions,cbase,mutpanning	3.2439717850919014e-14	7.932239586531433e-14	1.0	8.0	8.0	110.51542413956699	0.0	0.0	8.0	0.0	Act
ELF4	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase	1.4605114971227195e-09	3.9898264270057436e-09	2.0	4.0	4.0	64.9856729343929	319.061976559413	319.061976559413	3.0	1.0	LoF
TP53	1	dndscv,oncodrivefml,smregions,mutpanning	dndscv,mutpanning	2.201731762596992e-08	5.4132232645919154e-08	3.0	4.0	4.0	107.887176660788	538.734114742985	538.734114742985	4.0	0.0	Act
PTPN11	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions	smregions	1.5167541811381269e-06	3.995489154500559e-06	3.0	3.0	3.0	64.2704074813126	0.0	0.0	3.0	0.0	Act
IDH1	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	9.671832427373412e-09	2.4770174284185498e-08	3.0	4.0	4.0	110.846588488286	0.0	0.0	4.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	dndscv,hotmaps	2.5111269682892486e-06	7.074270406714288e-06	6.0	5.0	5.0	366.690117626065	0.0	0.0	5.0	0.0	Act
NFE2L1	1	dndscv,oncodrivefml,mutpanning		2.1836594569834505e-07		7.0	2.0	2.0	0.0	394.98151827344805	394.98151827344805	0.0	2.0	LoF
PHF6	1	dndscv,oncodrivefml,mutpanning	dndscv	1.5167541811381269e-06	3.995489154500559e-06	7.0	2.0	2.0	37.267834179213295	463.016182456835	463.016182456835	1.0	1.0	LoF
NPM1	4	dndscv,oncodrivefml,mutpanning		0.2366601700859756	0.9455025499425266	9.0	10.0	10.0	42.076793077812795	0.0	0.0	1.0	0.0	Act
SPEN	2	oncodrivefml,mutpanning		1.1978381052298108e-05	3.190448677406643e-05	9.0	3.0	3.0	7.13309677327783	52.2958514753513	52.2958514753513	2.0	1.0	LoF
MYH11	2	oncodrivefml,smregions		7.234411137845856e-05	0.0002356316230871288	11.0	3.0	2.0	13.6807492201404	55.331023191290996	55.331023191290996	2.0	1.0	LoF
IDH2	2	oncodriveclustl,oncodrivefml	oncodriveclustl	0.0008583141379830594	0.0045063033756571075	11.0	2.0	2.0	51.814968597228784	0.0	0.0	2.0	0.0	Act
CACNG7	3	oncodriveclustl,oncodrivefml	oncodriveclustl	5.187013139397154e-05		11.0	2.0	2.0	72.9318202190619	0.0	0.0	2.0	0.0	Act
KIT	2	dndscv,oncodrivefml		0.005542645088686605	0.035014492357433265	14.0	6.0	5.0	23.3607205817135	0.0	0.0	2.0	0.0	Act
ASXL2	4	dndscv,oncodrivefml		0.25290775325699233	0.9455025499425266	14.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	ambiguous
CEBPA	4	dndscv,oncodrivefml		0.05618019311000313	0.4686410566879386	14.0	3.0	3.0	23.3750613000705	0.0	0.0	1.0	0.0	Act
G6PD	3	oncodrivefml		0.00016528407327616443		17.0	2.0	2.0	19.739436881154106	201.35099022824295	201.35099022824295	1.0	1.0	LoF
NOTCH4	3	oncodrivefml		0.0002586417603090915		17.0	2.0	2.0	5.49183372684374	69.47947241287301	69.47947241287301	1.0	1.0	LoF
SETD2	4	oncodrivefml		0.3900527795615517	0.9455025499425266	17.0	3.0	2.0	4.17365943725469	0.0	0.0	1.0	0.0	Act
NOS1AP	3	oncodrivefml		7.234411137845856e-05		17.0	2.0	2.0	22.9689630637013	223.39802151140896	223.39802151140896	1.0	1.0	LoF
OR8B12	3	oncodrivefml		0.010283890990737534		17.0	2.0	2.0	86.14078574151951	0.0	0.0	2.0	0.0	Act
ZNF622	3	oncodrivefml		0.00016528407327616443		17.0	2.0	2.0	20.8605198261177	225.523447654594	225.523447654594	1.0	1.0	LoF
RAPGEF2	3	oncodrivefml		0.0004213266131528291		17.0	2.0	2.0	9.238800098818867	88.41764400434559	88.41764400434559	1.0	1.0	LoF
VPS13D	3	oncodrivefml		0.0008816706167342907		17.0	2.0	2.0	3.13505954834077	29.7509438074153	29.7509438074153	1.0	1.0	LoF
SDK1	3	oncodrivefml		0.0002843421590812473		17.0	2.0	2.0	5.25878135993645	54.7284933418041	54.7284933418041	1.0	1.0	LoF
MYC	2	oncodrivefml		0.003917110562568049	0.02334712502496149	17.0	2.0	2.0	22.895742069001304	311.013842603591	311.013842603591	1.0	1.0	LoF
NF1	2	oncodrivefml		0.0007160108277736287	0.003814197909559636	17.0	2.0	2.0	5.450666300492999	46.5231880748228	46.5231880748228	1.0	1.0	LoF
IFT140	3	oncodrivefml		0.0002025782301639808		17.0	2.0	2.0	7.15857637449373	74.64815792434081	74.64815792434081	1.0	1.0	LoF
DNAH11	3	oncodrivefml		0.0006197666726577581		17.0	3.0	3.0	3.77761759700588	31.921508514616605	31.921508514616605	1.0	1.0	LoF
FAM133A	3	dndscv,oncodrivefml		0.00034954151069621755		30.0	2.0	2.0	57.931709585406104	587.994575758186	587.994575758186	1.0	1.0	LoF
VARS2	3	oncodrivefml,smregions		1.4837267610820028e-05		31.0	3.0	2.0	29.9805290615066	0.0	0.0	3.0	0.0	Act
RIMS4	3	oncodriveclustl,dndscv,mutpanning	oncodriveclustl,dndscv,mutpanning	3.2439717850919014e-14		32.0	4.0	4.0	150.083149304919	0.0	0.0	4.0	0.0	Act
HSPG2	3	oncodrivefml		0.0004213266131528291		32.0	2.0	2.0	2.4751472060119903	26.7188354587046	26.7188354587046	1.0	1.0	LoF
GATA2	2	oncodrivefml		0.0020474704304657555	0.011125038984217092	32.0	2.0	2.0	42.1506957649946	0.0	0.0	2.0	0.0	Act
TRIOBP	3	oncodrivefml		0.00871793843125325		32.0	2.0	2.0	9.9487352149636	0.0	0.0	2.0	0.0	Act
MRC2	3	oncodrivefml		0.0043509240361738885		32.0	2.0	2.0	14.4710896990346	0.0	0.0	2.0	0.0	Act
ATOH1	4	dndscv,oncodrivefml		0.05795426664022529		37.0	2.0	2.0	29.5132530193085	0.0	0.0	1.0	0.0	Act
SYNE1	3	oncodrivefml		0.002986957068061888		38.0	2.0	2.0	1.42147953873705	10.572109938981301	10.572109938981301	1.0	1.0	LoF
CSMD1	3	oncodrivefml		0.008128335468856213		38.0	2.0	2.0	7.280112705603662	0.0	0.0	2.0	0.0	Act
NUP214	2	oncodrivefml		0.009495122136577432	0.07656124343458702	38.0	2.0	2.0	12.659870055311	0.0	0.0	2.0	0.0	Act
UBA1	3	dndscv,oncodrivefml,mutpanning		1.822602677933649e-06		41.0	2.0	2.0	9.4238919872199	172.106689715826	172.106689715826	1.0	1.0	LoF
LRBA	3	oncodrivefml		0.01610637810092775		42.0	2.0	2.0	9.03107815838925	0.0	0.0	2.0	0.0	Act
ITIH4	3	oncodrivefml		0.005542645088686605		81.0	2.0	2.0	22.705547548561892	0.0	0.0	2.0	0.0	Act
RUNX1	2	oncodriveclustl,smregions	oncodriveclustl,smregions	5.048017314030112e-06	1.3790177566679959e-05	82.0	7.0	7.0	55.187041655392285	0.0	0.0	3.0	0.0	Act
EIF5B	3	oncodriveclustl,dndscv,smregions		1.2089786235692673e-05		83.0	4.0	3.0	28.9146111859449	111.225816623745	111.225816623745	2.0	1.0	LoF
C5AR2	3	dndscv,smregions,mutpanning		0.00016528407327616443		84.0	3.0	2.0	75.54098359674059	0.0	0.0	3.0	0.0	Act
TJAP1	3	dndscv,smregions,mutpanning		2.0975368873075197e-05		84.0	4.0	3.0	74.53671115824459	0.0	0.0	4.0	0.0	Act
KRTAP12-4	3	oncodriveclustl,dndscv	oncodriveclustl	0.020359762642441995		86.0	2.0	2.0	176.54521338542702	0.0	0.0	2.0	0.0	Act
DNMT3A	2	dndscv,mutpanning	dndscv,mutpanning	1.0319094074852195e-10	3.171342273866214e-10	87.0	4.0	4.0	38.7333315195784	377.2263902627909	377.2263902627909	3.0	0.0	Act
ALOX12B	3	oncodriveclustl	oncodriveclustl	0.030606745116389344		90.0	2.0	2.0	35.601763360170004	0.0	0.0	2.0	0.0	Act
TTN	3	smregions	smregions	0.02840326122375327		90.0	11.0	8.0	0.79594240070585	0.0	0.0	6.0	0.0	ambiguous
HIST1H2AE	3	oncodriveclustl	oncodriveclustl	0.0020474704304657555		90.0	2.0	2.0	142.922616695362	0.0	0.0	2.0	0.0	Act
ARHGAP30	4	oncodriveclustl	oncodriveclustl	0.1534332044504974		90.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	ambiguous
NSMAF	3	oncodriveclustl	oncodriveclustl	0.004682909548267811		90.0	2.0	2.0	27.2592797559458	0.0	0.0	2.0	0.0	Act
CHMP3	3	oncodriveclustl	oncodriveclustl	0.0012979593048052624		90.0	2.0	2.0	115.99810861025699	0.0	0.0	2.0	0.0	Act
RNF103-CHMP3	3	oncodriveclustl	oncodriveclustl	0.025656580669970248		90.0	2.0	2.0	107.737021168194	0.0	0.0	2.0	0.0	Act
NPC1	3	smregions		0.001988101970812349		97.0	4.0	2.0	13.329914929428899	0.0	0.0	3.0	0.0	Act
KMT2A	2	smregions		0.00022318244102997406	0.0009561074513425613	97.0	3.0	2.0	11.446687589930198	0.0	0.0	3.0	0.0	Act
FAT2	3	smregions		0.042608025100406816		97.0	5.0	5.0	3.14921800185555	0.0	0.0	3.0	0.0	Act
PRPF8	3	smregions		0.0001144622062370273		100.0	3.0	3.0	13.631360431175402	0.0	0.0	3.0	0.0	Act
UBR4	3	smregions		0.0020474704304657555		101.0	4.0	2.0	6.165169142038491	0.0	0.0	3.0	0.0	Act
EARS2	4	oncodriveclustl	oncodriveclustl	0.3074486742206909		102.0	2.0	2.0	11.244472871156	0.0	0.0	1.0	0.0	Act
MAP7D2	3	smregions		0.01610637810092775		102.0	4.0	3.0	36.6103632005713	0.0	0.0	3.0	0.0	Act
SMC1A	2	smregions		0.0015506045850749485	0.008596472140177175	107.0	3.0	3.0	27.815521668046497	0.0	0.0	3.0	0.0	Act
SMUG1	4	mutpanning		0.44749737478930174		122.0	2.0	2.0	25.769060944805894	0.0	0.0	1.0	0.0	Act
CCDC155	4	mutpanning		0.4621460625440663		123.0	2.0	2.0	8.23624855170599	0.0	0.0	1.0	0.0	Act
ACSF3	4	mutpanning		0.4455500247585119		132.0	2.0	2.0	9.43766666542106	0.0	0.0	1.0	0.0	Act
