SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
DNMT3A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	2.2004774502871073e-12	7.230140193800496e-12	1.0	29.0	27.0	546.964128861359	1578.3797482952698	1578.3797482952698	25.0	4.0	LoF
FLT3	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.814410479447925e-13	9.247348718186038e-13	2.0	13.0	13.0	322.69416843877104	0.0	0.0	13.0	0.0	Act
IDH2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.2738740187018666e-17	4.1855860614489905e-17	3.0	9.0	9.0	280.101297957736	0.0	0.0	9.0	0.0	Act
IDH1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	4.5971907599035685e-05	0.00017770653357610433	4.0	13.0	13.0	758.146133712135	0.0	0.0	13.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.900915614758441e-14	2.5960151305634877e-13	5.0	11.0	10.0	173.539731939365	592.572206869153	592.572206869153	9.0	1.0	LoF
RUNX1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	2.480723313593218e-15	8.150948030377716e-15	6.0	9.0	8.0	184.248277853403	1271.3135554701	1271.3135554701	6.0	3.0	LoF
KIT	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	8.119287338629207e-20	2.6677658398353107e-19	7.0	6.0	5.0	153.835033393417	0.0	0.0	6.0	0.0	Act
PTPN11	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,smregions,cbase,mutpanning	7.107048273392321e-12	2.33517300411462e-11	8.0	6.0	6.0	183.60012755342498	0.0	0.0	6.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase	2.155690667352461e-09	7.082983621300945e-09	9.0	6.0	6.0	783.726973891116	0.0	0.0	6.0	0.0	Act
TET2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	9.097549208790567e-10	2.9891947400311877e-09	10.0	3.0	3.0	0.0	641.200051951242	641.200051951242	0.0	3.0	LoF
