SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
DNMT3A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	6.066199611851395e-18	8.77322580780942e-18	1.0	17.0	17.0	128.407158429909	491.107537539299	491.107537539299	13.0	3.0	LoF
IDH1	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	6.018639179767703e-14	8.704441653497713e-14	2.0	10.0	10.0	229.328420911421	0.0	0.0	10.0	0.0	Act
FLT3	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.8144746547684336e-26	2.624179368863881e-26	3.0	13.0	13.0	130.33074646655	0.0	0.0	12.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.6024185805214718e-13	2.317493809151744e-13	4.0	9.0	9.0	180.616110145016	683.670882577183	683.670882577183	8.0	1.0	LoF
IDH2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	6.066199611851395e-18	8.77322580780942e-18	5.0	6.0	6.0	125.917395028631	0.0	0.0	6.0	0.0	Act
RUNX1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,smregions,cbase,mutpanning	1.4101465255522713e-15	2.039420837157748e-15	6.0	12.0	12.0	115.770988968644	224.295542613748	224.295542613748	7.0	1.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions	dndscv,hotmaps	8.668168349719003e-08	1.253631649766663e-07	7.0	5.0	5.0	312.26698249459	0.0	0.0	5.0	0.0	Act
PTPN11	1	oncodriveclustl,dndscv,hotmaps,smregions	dndscv,smregions	1.0053242297355894e-08	1.4539476182585707e-08	8.0	5.0	5.0	88.4720418722073	0.0	0.0	5.0	0.0	Act
NPM1	1	dndscv,oncodrivefml,mutpanning	oncodrivefml	0.028336424632757432	0.1831621350801496	9.0	15.0	15.0	34.1878949557402	0.0	0.0	1.0	0.0	Act
ELF4	1	dndscv,oncodrivefml,smregions,cbase	dndscv,cbase	2.3307654370871983e-06	3.6773057495331114e-06	10.0	4.0	4.0	53.0446357512218	260.33232073283796	260.33232073283796	3.0	1.0	LoF
RAPGEF2	1	dndscv,oncodrivefml,smregions,cbase	oncodrivefml,cbase	9.91770404304018e-06		10.0	3.0	3.0	6.9073427719852685	132.709196468943	132.709196468943	1.0	2.0	LoF
BCORL1	1	dndscv,oncodrivefml,cbase	cbase	5.861439604625608e-09	8.477092166527501e-09	12.0	6.0	5.0	11.055780107673199	173.17965998322396	173.17965998322396	2.0	2.0	LoF
KIT	1	oncodriveclustl,dndscv,oncodrivefml,smregions	oncodriveclustl	8.706911706601898e-07	1.385158387725734e-06	13.0	12.0	6.0	38.2384632965599	0.0	0.0	4.0	0.0	Act
