SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
DNMT3A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	5.3788763430411655e-12	1.0421572914642255e-11	1.0	18.0	17.0	95.87216148264861	246.187779303447	246.187779303447	16.0	1.0	LoF
FLT3	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.1708754918474934e-21	2.268571265454518e-21	2.0	11.0	11.0	71.319444341055	0.0	0.0	10.0	0.0	Act
IDH2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	4.934157396875676e-18	9.559929956446623e-18	3.0	10.0	10.0	121.37274423397699	0.0	0.0	10.0	0.0	Act
IDH1	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	6.903405183398202e-16	1.3375347542834015e-15	4.0	7.0	7.0	112.005994853372	0.0	0.0	7.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.90339404070337e-09	1.337532595386278e-08	5.0	12.0	11.0	117.385449948159	448.774985017944	448.774985017944	8.0	1.0	LoF
KIT	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	6.0210607312240225e-15	1.1665805166746544e-14	6.0	15.0	8.0	41.1530719538298	0.0	0.0	6.0	0.0	Act
RUNX1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	6.903405183398202e-16	1.3375347542834015e-15	7.0	12.0	9.0	62.987009891464396	428.0218159147271	428.0218159147271	6.0	3.0	LoF
PTPN11	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions	dndscv,hotmaps,smregions	1.0264745412537829e-07	1.9887944236792039e-07	8.0	4.0	4.0	43.858351928103396	0.0	0.0	4.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase	oncodriveclustl,dndscv,hotmaps,cbase	5.275054301005887e-10	1.0220417708198906e-09	9.0	7.0	7.0	267.220252123431	0.0	0.0	7.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase	dndscv,hotmaps,cbase	1.147016844851682e-06	2.222345136900134e-06	10.0	5.0	5.0	200.536521682967	0.0	0.0	5.0	0.0	Act
NPM1	1	dndscv,oncodrivefml,mutpanning	oncodrivefml	0.004869717562274321	0.03585329555224469	11.0	17.0	17.0	24.714784585119094	0.0	0.0	1.0	0.0	Act
GATA2	1	oncodriveclustl,dndscv,oncodrivefml,smregions	smregions	0.00024310172131829057	0.000942019170108376	12.0	4.0	4.0	32.4992361031604	0.0	0.0	3.0	0.0	Act
