SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
IDH1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.467645794053166e-24	1.517489860319154e-24	1.0	382.0	382.0	3136.9761465097304	0.0	0.0	382.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.083991243005612e-16	1.966090212636435e-16	2.0	204.0	174.0	341.74399585605704	547.201833094928	547.201833094928	185.0	16.0	LoF
IDH2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	7.083991243005612e-16	1.966090212636435e-16	3.0	19.0	19.0	102.528656709131	0.0	0.0	19.0	0.0	Act
CIC	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	9.607082633673936e-13	2.666348741848781e-13	4.0	54.0	52.0	48.85241279383921	115.662513118817	115.662513118817	49.0	4.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	4.7215394985957365e-09	1.4976178223872588e-09	5.0	26.0	26.0	101.04573898149799	0.0	0.0	26.0	0.0	Act
ATRX	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.3167928145875204e-05	4.263729685744333e-06	6.0	73.0	68.0	11.5210993368819	176.804619431597	176.804619431597	28.0	41.0	LoF
NF1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	8.710931918427847e-15	2.4176311630358326e-15	7.0	11.0	11.0	1.61737338341892	72.49481633707029	72.49481633707029	2.0	8.0	LoF
EGFR	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	4.6241846695696914e-12	1.283395745193924e-12	8.0	18.0	18.0	44.5491821755814	28.9650570471769	28.9650570471769	17.0	1.0	Act
PTPN11	1	oncodriveclustl,dndscv,hotmaps,smregions	dndscv,hotmaps,smregions	4.3376499132621e-06	1.4227565393689232e-06	9.0	6.0	6.0	34.9026006385944	0.0	0.0	6.0	0.0	Act
FUBP1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.000398520996893611	0.00019048721063836952	10.0	9.0	9.0	9.18685247994454	411.748463261586	411.748463261586	2.0	7.0	LoF
