SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	4.42325828840324e-15	1.1373181246417274e-15	1.0	236.0	205.0	381.05990945346804	487.78162920751504	487.78162920751504	218.0	15.0	LoF
CIC	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	2.1998150938577517e-11	5.656214071116397e-12	2.0	66.0	60.0	56.2831496144911	163.302392385863	163.302392385863	59.0	6.0	LoF
IDH1	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	5.715744539071263e-24	1.4696450978571262e-24	3.0	377.0	377.0	2839.24237129346	0.0	0.0	377.0	0.0	Act
EGFR	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	7.87456733959539e-15	2.0247264742630772e-15	4.0	32.0	28.0	74.8317921772619	26.361737663481307	26.361737663481307	31.0	1.0	Act
IDH2	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	7.03699501903935e-16	1.8093679944374533e-16	5.0	20.0	20.0	98.2696883645338	0.0	0.0	20.0	0.0	Act
ATRX	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.601065483272463e-05	2.7294542980319588e-05	6.0	74.0	70.0	12.555627108159499	216.80440704877896	216.80440704877896	27.0	44.0	LoF
FUBP1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.4845389403239305e-07	6.388302432206858e-08	7.0	13.0	12.0	6.64754182796744	251.290110904198	251.290110904198	3.0	9.0	LoF
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.7946561263577405e-13	4.6144602167077866e-14	8.0	14.0	13.0	2.9849877829220004	86.82799264376949	86.82799264376949	4.0	9.0	LoF
PTEN	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	0.00021835741286391135	0.00014971879829014912	9.0	17.0	17.0	56.0026423580074	108.55150701040002	108.55150701040002	13.0	3.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,cbase,mutpanning	oncodriveclustl,dndscv,cbase,mutpanning	0.0005915390307103959	0.0004033899412453511	10.0	26.0	26.0	87.2252695234297	0.0	0.0	26.0	0.0	Act
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	8.038757032359892e-12	2.066943297537902e-12	11.0	9.0	9.0	1.05405959943626	41.4707953883386	41.4707953883386	2.0	5.0	LoF
ZBTB20	1	dndscv,oncodrivefml,smregions,cbase	dndscv,smregions,cbase	2.821305697077028e-06		12.0	14.0	13.0	13.3627848285215	34.7036800387654	34.7036800387654	11.0	1.0	LoF
SETD2	1	oncodrivefml,smregions	smregions	0.00011052961206227636	7.2825282848371e-05	12.0	5.0	5.0	6.341720540961631	15.582524312201901	15.582524312201901	4.0	1.0	LoF
NIPBL	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	2.943965279575216e-05		14.0	10.0	9.0	8.654293459032411	55.5211730881821	55.5211730881821	6.0	4.0	LoF
DNMT3A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	4.640864021122134e-11	1.1932694003101627e-11	15.0	10.0	10.0	9.0711616250328	57.1352379541434	57.1352379541434	6.0	3.0	LoF
