SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
IDH1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.274664483304772e-23	1.2584629470031795e-23	1.0	390.0	390.0	2708.44578011062	0.0	0.0	390.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.791134682691275e-15	7.603597830545372e-16	2.0	238.0	206.0	293.789328540022	451.4522928107109	451.4522928107109	198.0	19.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	1.146900389265572e-14	2.3002531013962105e-15	3.0	36.0	35.0	113.27130338548001	0.0	0.0	36.0	0.0	Act
IDH2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	8.18105779200419e-19	1.6408141225594903e-19	4.0	21.0	21.0	101.65897127987	0.0	0.0	20.0	0.0	Act
CIC	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.5578342180723468e-10	3.124432623025552e-11	5.0	101.0	88.0	45.233035881843215	177.814272014732	177.814272014732	54.0	9.0	LoF
ATRX	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0020186300153518847	0.0013904722049020428	6.0	133.0	128.0	6.251978264919701	116.369398173653	116.369398173653	25.0	45.0	LoF
EGFR	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.639620334931396e-15	9.305342612675346e-16	7.0	25.0	23.0	58.458689334239104	26.727460661006397	26.727460661006397	24.0	1.0	Act
NF1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.1186604380225331e-20	2.2436143243602427e-21	8.0	26.0	20.0	3.4513820547487097	74.9091023772697	74.9091023772697	5.0	8.0	LoF
PTEN	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase	0.0019386108123426	0.0013431714959624193	9.0	22.0	22.0	47.2983489402456	93.785731743391	93.785731743391	13.0	3.0	LoF
SMARCA4	1	dndscv,hotmaps,smregions,cbase,mutpanning	dndscv,cbase	1.208913297151934e-07	3.0307847428598066e-08	10.0	19.0	18.0	14.231395240945401	0.0	0.0	17.0	0.0	Act
PTPN11	1	oncodriveclustl,dndscv,hotmaps,smregions	smregions	4.3321018954263415e-06	1.117102586415545e-06	11.0	6.0	6.0	27.781440852707	0.0	0.0	6.0	0.0	Act
