SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
IDH1	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	2.9611646393265488e-19	5.3248685695834275e-20	1.0	394.0	394.0	2497.23164075376	0.0	0.0	394.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	1.293494324890021e-19	2.326006188263771e-20	2.0	280.0	231.0	317.659666706205	434.699756802303	434.699756802303	239.0	19.0	LoF
CIC	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	8.772128871446857e-18	1.5774345234152861e-18	3.0	112.0	93.0	49.616175898086006	182.091627943168	182.091627943168	63.0	9.0	LoF
EGFR	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	2.355269836305905e-10	4.2353275997127633e-11	4.0	38.0	33.0	81.6248601617908	24.1820592417527	24.1820592417527	37.0	1.0	Act
IDH2	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	4.405788891002095e-14	7.922641814084474e-15	5.0	21.0	21.0	93.38389222767941	0.0	0.0	20.0	0.0	Act
ATRX	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.284020049819722e-06	2.216648336433644e-06	6.0	150.0	138.0	6.729129664595621	103.71779280766899	103.71779280766899	33.0	49.0	LoF
FUBP1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0003088977173948159	0.00014283528391443226	7.0	33.0	32.0	5.25546131041423	243.86282187260102	243.86282187260102	3.0	11.0	LoF
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.319232057844356e-18	9.565226878292623e-19	8.0	28.0	20.0	3.85959926559892	86.50959966168791	86.50959966168791	6.0	9.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,cbase,mutpanning	oncodriveclustl,dndscv,cbase,mutpanning	3.424767563474617e-05	1.1906501708274847e-05	9.0	37.0	36.0	110.822664097927	0.0	0.0	37.0	0.0	Act
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.885879881489128e-17	1.0584192573774903e-17	10.0	19.0	19.0	0.891858459691542	42.46595325559871	42.46595325559871	2.0	6.0	LoF
NIPBL	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.6004356782808918e-07		11.0	16.0	15.0	7.99671666838912	61.8710714766158	61.8710714766158	6.0	5.0	LoF
PTEN	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	0.00042373162840889285	0.00021127318255632213	11.0	24.0	24.0	51.16310105168961	86.02210233740209	86.02210233740209	15.0	3.0	LoF
DNMT3A	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	4.4658391681012067e-10	8.030626297241262e-11	13.0	10.0	10.0	7.28585546531417	46.107301297450284	46.107301297450284	6.0	3.0	LoF
ARID1B	1	cbase,mutpanning	cbase,mutpanning	8.096762467809289e-05	3.036429836525044e-05	14.0	6.0	6.0	4.10275381095735	43.51736304472861	43.51736304472861	3.0	2.0	LoF
SMARCA4	1	dndscv,smregions,cbase,mutpanning	dndscv,cbase,mutpanning	5.990467651677947e-08	1.0772265915879892e-08	15.0	20.0	19.0	13.7294260450367	0.0	0.0	18.0	0.0	Act
SETD2	1	oncodrivefml,smregions,cbase,mutpanning	oncodrivefml,smregions,cbase	1.0905518954801972e-06	2.3176259358491226e-07	16.0	9.0	8.0	7.196522119429621	28.2249992920495	28.2249992920495	5.0	2.0	LoF
LTBP1	1	oncodrivefml,smregions,cbase,mutpanning	oncodrivefml,cbase	1.8149237207778459e-06		17.0	7.0	4.0	5.1701166602057	36.759265455103204	36.759265455103204	3.0	2.0	LoF
ZBTB20	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,smregions,cbase	1.2806423117893696e-05		18.0	21.0	20.0	12.9489735425159	28.013413002207397	28.013413002207397	13.0	1.0	LoF
KEL	1	dndscv,cbase,mutpanning	dndscv,cbase	3.3372017360044e-05		19.0	8.0	8.0	27.720889480236202	75.39255668189901	75.39255668189901	6.0	2.0	LoF
PTPN11	1	oncodriveclustl,dndscv,smregions,mutpanning	dndscv,smregions	6.9347809303333466e-06	1.9744740912825944e-06	20.0	7.0	7.0	30.778237373839804	0.0	0.0	7.0	0.0	Act
PTPRH	1	cbase,mutpanning	cbase	1.3298773985755106e-05		21.0	6.0	6.0	12.388250537372198	25.0374485516424	25.0374485516424	5.0	1.0	LoF
CDKN2C	1	dndscv,oncodrivefml,cbase	dndscv,oncodrivefml,cbase	4.250093916950388e-08	7.642665732120118e-09	22.0	3.0	3.0	13.9276523020725	550.6647099471991	550.6647099471991	1.0	2.0	LoF
GRIA3	1	dndscv,oncodrivefml,mutpanning		1.355695822616859e-06		23.0	3.0	3.0	6.70971086216092	97.49317113404491	97.49317113404491	2.0	1.0	LoF
CHRDL1	1	dndscv,oncodrivefml,mutpanning	dndscv,oncodrivefml	7.444395155483462e-06		23.0	2.0	2.0	0.0	123.226921208334	123.226921208334	0.0	2.0	LoF
ALMS1	1	oncodrivefml,cbase	cbase	0.0001189650279820603		25.0	8.0	7.0	6.514058456442468	13.2814571100495	13.2814571100495	6.0	1.0	LoF
BCOR	1	oncodrivefml,mutpanning		0.0004845632474338544	0.0002500419682849095	26.0	17.0	16.0	3.35316380022479	18.4023404693359	18.4023404693359	6.0	2.0	LoF
ITIH6	1	dndscv,cbase,mutpanning		6.861863162834633e-06		27.0	9.0	8.0	20.106350793603397	0.0	0.0	9.0	0.0	Act
FSTL5	1	cbase,mutpanning	cbase	0.0001599925842298865		27.0	8.0	7.0	8.73358863039278	29.003911697215	29.003911697215	5.0	2.0	LoF
NRAS	1	oncodriveclustl,dndscv	oncodriveclustl	0.00017475938012782372	7.608360190392729e-05	29.0	4.0	4.0	56.05661084504911	0.0	0.0	4.0	0.0	Act
KIF2B	1	oncodriveclustl,dndscv	dndscv	0.0005494967814271463		29.0	8.0	8.0	31.5981449435359	0.0	0.0	8.0	0.0	Act
PCDH20	1	oncodriveclustl,smregions	smregions	0.005405632093968998		29.0	4.0	3.0	3.93863292731013	0.0	0.0	3.0	0.0	Act
MAX	1	oncodriveclustl,dndscv	oncodriveclustl	0.00028050335772216524	0.00012862476162485618	29.0	4.0	4.0	43.191002738554	0.0	0.0	4.0	0.0	Act
ANKRD30A	1	dndscv,cbase	cbase	6.76428936927895e-06		33.0	13.0	12.0	11.427976451310599	9.64216057608474	9.64216057608474	10.0	1.0	Act
SPATA31D1	1	dndscv,cbase	cbase	0.018932724322881855		33.0	11.0	11.0	8.11487043953496	34.990098034835	34.990098034835	8.0	2.0	LoF
MFSD6L	1	dndscv,mutpanning	mutpanning	3.8181552683002964e-07		35.0	7.0	3.0	30.6214794501301	0.0	0.0	7.0	0.0	Act
ARID2	1	cbase	cbase	2.250383553373939e-05	7.5153324288319365e-06	35.0	8.0	8.0	3.80678375318229	45.75013591595661	45.75013591595661	2.0	2.0	LoF
