SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
IDH1	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	8.3760439442595e-22	2.0501611164631044e-22	1.0	390.0	390.0	3000.40660411029	0.0	0.0	390.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	1.3021412934449393e-05	3.6424961688048333e-06	1.0	255.0	219.0	364.18793806664496	521.2229087163549	521.2229087163549	216.0	17.0	LoF
CIC	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	5.676932998635097e-06	1.6210992445467316e-06	1.0	96.0	86.0	54.5367694649371	128.176238083215	128.176238083215	58.0	5.0	LoF
IDH2	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	1.9352268325216243e-16	4.736755000301813e-17	4.0	20.0	20.0	101.110606904214	0.0	0.0	19.0	0.0	Act
ATRX	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.008280195190782545	0.0041547364574690375	5.0	145.0	135.0	9.973042227917619	150.574406231336	150.574406231336	31.0	46.0	LoF
FUBP1	4	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.2577953418807793	0.5848222009760984	6.0	28.0	28.0	8.59491984977865	490.377634383417	490.377634383417	2.0	8.0	LoF
EGFR	2	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	9.486953227710507e-16	2.322072657520629e-16	7.0	31.0	29.0	74.45575690814091	27.424352933795905	27.424352933795905	30.0	1.0	Act
PIK3CA	2	oncodriveclustl,dndscv,cbase,mutpanning	oncodriveclustl,dndscv,cbase,mutpanning	0.0066069704855859866	0.00323430824320138	8.0	29.0	29.0	110.313013173024	0.0	0.0	29.0	0.0	Act
NF1	2	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.692081856257312e-05	1.3572670076350224e-05	9.0	25.0	19.0	2.3089682956026296	82.77812036353029	82.77812036353029	3.0	8.0	LoF
PTEN	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.032142582636353716	0.027535810150710858	10.0	24.0	24.0	61.1643607266525	145.350195962351	145.350195962351	14.0	4.0	LoF
