SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.7165014369603874e-28	1.5023661730367932e-29	1.0	91.0	89.0	54.7845917722013	163.535607785672	163.535607785672	63.0	12.0	LoF
CTNNB1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	0.00017718963095004082	4.480234720153893e-05	2.0	91.0	90.0	87.9990338629274	0.0	0.0	90.0	0.0	Act
EEF1A1	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	1.1172912666776008e-19		3.0	15.0	11.0	22.8916893080037	0.0	0.0	15.0	0.0	Act
CDKN2A	1	dndscv,oncodrivefml,hotmaps	dndscv,hotmaps	5.162398853617754e-08	5.2714485305969794e-09	4.0	8.0	8.0	19.9369183047901	51.7487514554846	51.7487514554846	6.0	0.0	Act
HNF1A	1	dndscv,hotmaps,smregions,mutpanning	dndscv	3.1958565484849e-07	3.81374336001842e-08	4.0	8.0	5.0	6.944370241831419	38.8574232150841	38.8574232150841	6.0	1.0	LoF
BAP1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.108096745007954e-06	6.210594918402667e-07	6.0	18.0	16.0	5.28272514982938	43.516780694053104	43.516780694053104	7.0	5.0	LoF
AXIN1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.1795059124174032e-16	2.861415568531065e-17	6.0	22.0	20.0	2.6341074078430498	96.1377557514394	96.1377557514394	4.0	10.0	LoF
ARID2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.7935927436253187e-07	2.01836605167142e-08	6.0	17.0	17.0	2.57003264712822	29.7523656754632	29.7523656754632	7.0	6.0	LoF
RPS6KA3	1	dndscv,cbase,mutpanning	dndscv,cbase	0.0017511304239128714		9.0	14.0	13.0	6.51587047367239	28.1763991914335	28.1763991914335	8.0	3.0	LoF
KEAP1	1	dndscv,cbase,mutpanning	dndscv,cbase	2.5887950647282078e-08	2.719008362306669e-09	9.0	16.0	14.0	13.306460253197999	13.446807556631699	13.446807556631699	13.0	1.0	ambiguous
TSC2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.326128720592428e-09	6.921172327216876e-10	9.0	10.0	10.0	0.4917661842807161	22.8282754808281	22.8282754808281	1.0	5.0	LoF
BRD7	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	5.644483334520207e-08		9.0	9.0	9.0	3.611921823479981	43.1248424904066	43.1248424904066	3.0	4.0	LoF
NFE2L2	1	dndscv,hotmaps,cbase	hotmaps	9.158190451922296e-10	1.06875960951218e-10	13.0	10.0	9.0	10.4968233854335	14.9187284282801	14.9187284282801	8.0	1.0	LoF
GNAS	1	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	1.36626363666498e-05	2.483627996431388e-06	14.0	8.0	8.0	1.72840432727324	0.0	0.0	5.0	0.0	Act
NLGN1	1	oncodriveclustl,dndscv,cbase,mutpanning	oncodriveclustl,dndscv	0.002082420059557504		14.0	13.0	10.0	11.8328034056446	0.0	0.0	12.0	0.0	Act
KRAS	1	dndscv,hotmaps		0.0004801124800419252	0.00015337955903431	16.0	5.0	5.0	18.7004570386775	0.0	0.0	5.0	0.0	Act
PIK3CA	1	dndscv,hotmaps		1.0674669334487027e-05	1.9005492702630883e-06	16.0	11.0	11.0	7.87220125706025	0.0	0.0	11.0	0.0	Act
NRAS	1	dndscv,hotmaps		0.0009094732641691221	0.00030182256976620214	16.0	4.0	4.0	15.947294559407101	34.6457036871722	34.6457036871722	4.0	0.0	Act
CNTN6	1	oncodriveclustl,smregions,mutpanning	oncodriveclustl,smregions,mutpanning	8.108799130684621e-05		19.0	8.0	6.0	3.32687171657815	4.45505920652976	4.45505920652976	6.0	1.0	LoF
KMT2B	1	dndscv,oncodrivefml,cbase	dndscv,oncodrivefml,cbase	1.0470307983694059e-05		20.0	13.0	12.0	3.2518680139091	24.709362774259898	24.709362774259898	9.0	4.0	LoF
KRTAP3-3	1	dndscv,oncodrivefml,mutpanning	dndscv	6.350059573363003e-06		21.0	3.0	3.0	0.0	349.15590979105104	349.15590979105104	0.0	3.0	LoF
ATP12A	1	oncodriveclustl,hotmaps	oncodriveclustl,hotmaps	2.1062040917944694e-05		21.0	7.0	7.0	3.7419893357737295	0.0	0.0	6.0	0.0	Act
GADL1	1	dndscv,oncodrivefml,mutpanning	dndscv	3.1958565484849e-07		21.0	4.0	4.0	1.41110269373866	40.092642302741	40.092642302741	1.0	3.0	LoF
CRIP3	1	oncodriveclustl,dndscv,mutpanning	oncodriveclustl,dndscv,mutpanning	3.3120729429452637e-07		21.0	8.0	5.0	26.5138713940132	0.0	0.0	8.0	0.0	Act
GRIA2	1	oncodriveclustl,dndscv,mutpanning	oncodriveclustl,mutpanning	2.2518703159588566e-05		21.0	10.0	8.0	9.13818140787202	0.0	0.0	10.0	0.0	Act
RB1	2	dndscv,mutpanning	dndscv,mutpanning	1.5863481695283315e-05	2.988248755822382e-06	26.0	10.0	8.0	1.8497205858122097	18.3211111967284	18.3211111967284	4.0	1.0	LoF
ARID1A	2	cbase,mutpanning	cbase	1.971963607639096e-07	2.1574489793486743e-08	26.0	24.0	24.0	1.59168133953837	12.849045169095099	12.849045169095099	8.0	4.0	LoF
SMARCA4	2	smregions	smregions	2.1431550208401528e-07	2.2926374745679645e-08	26.0	8.0	8.0	3.89316373618906	4.41562163264441	4.41562163264441	8.0	0.0	Act
ALB	3	dndscv,mutpanning	dndscv	2.585914628387159e-07		26.0	38.0	37.0	14.9979394902615	11.102570738782001	11.102570738782001	19.0	0.0	Act
HIPK3	3	hotmaps		1.0674669334487027e-05		26.0	9.0	7.0	4.20210172064228	0.0	0.0	8.0	0.0	Act
ADRA1D	3	cbase,mutpanning	mutpanning	1.5863481695283315e-05		26.0	7.0	5.0	6.205189930483461	24.4382698701328	24.4382698701328	6.0	1.0	LoF
TG	3	cbase,mutpanning	cbase,mutpanning	6.576942110532822e-05		26.0	16.0	14.0	4.98030844813043	6.342611564348191	6.342611564348191	14.0	2.0	LoF
KIAA0355	4	smregions	smregions	0.06172787683247704		26.0	7.0	7.0	1.52497177681254	0.0	0.0	4.0	0.0	Act
RPS6KB1	3	hotmaps		0.03208587390073639		26.0	2.0	2.0	2.8349128714973504	0.0	0.0	2.0	0.0	Act
SPHK1	3	hotmaps		0.005197431750799201		35.0	4.0	4.0	4.29340067801733	0.0	0.0	3.0	0.0	Act
KCNJ3	3	hotmaps		0.0004491082811882866		35.0	5.0	5.0	7.31276344121382	0.0	0.0	5.0	0.0	Act
MGAM	3	hotmaps		0.0015966414166090394		35.0	10.0	9.0	1.3338622461001202	3.6724653207272704	3.6724653207272704	6.0	1.0	LoF
COL19A1	3	smregions	smregions	0.007754712442916369		35.0	8.0	8.0	3.71457168451116	0.0	0.0	7.0	0.0	Act
BRDT	3	smregions	smregions	0.001312280065048201		39.0	3.0	3.0	2.57169428856952	0.0	0.0	3.0	0.0	Act
SIGLEC12	3	smregions		0.0034175911113422924		40.0	3.0	3.0	3.74439113802414	0.0	0.0	3.0	0.0	Act
DSCAM	3	hotmaps		0.0017678569758598234		41.0	17.0	15.0	1.69926733368725	3.05944963509727	3.05944963509727	11.0	1.0	LoF
PCDHGB7	4	smregions		0.12932347220154586		41.0	7.0	7.0	2.4354996507983	0.0	0.0	5.0	0.0	Act
RBMXL3	3	smregions		0.02258510655296282		43.0	9.0	9.0	1.43028000985547	0.0	0.0	5.0	0.0	Act
EPPK1	3	smregions		0.014194898175351297		43.0	9.0	8.0	1.04574246762628	0.0	0.0	7.0	0.0	Act
ABCB5	3	smregions		0.00011546630022610757		43.0	9.0	7.0	3.72515841997748	7.75798759231466	7.75798759231466	8.0	0.0	Act
FBN3	4	smregions		0.14145371126492906		43.0	9.0	9.0	0.494593859685755	0.0	0.0	4.0	0.0	ambiguous
XPOT	3	smregions		0.011970062226923515		43.0	3.0	3.0	2.35598871325251	0.0	0.0	3.0	0.0	Act
ARIH2	3	smregions		0.010967909141010736		43.0	3.0	3.0	4.14979734667422	0.0	0.0	3.0	0.0	Act
DNAH8	3	smregions		0.000410192034056764		43.0	18.0	18.0	1.6269689545095	5.96130654211051	5.96130654211051	13.0	2.0	LoF
REV3L	3	smregions		0.006568789229653511		43.0	13.0	12.0	1.3264630529726202	1.6339476886982	1.6339476886982	8.0	1.0	LoF
DSCAML1	3	smregions		0.010325425211597872		43.0	12.0	11.0	0.807371605829317	3.8861479270963	3.8861479270963	5.0	2.0	LoF
PLXND1	3	smregions		0.032553739674960495		43.0	7.0	7.0	0.90370040616867	0.0	0.0	4.0	0.0	ambiguous
DENND3	4	hotmaps		0.17326409571855558		43.0	6.0	6.0	2.45523433207461	0.0	0.0	5.0	0.0	Act
CHD2	2	smregions		0.03527967082164469	0.02523426387331084	43.0	4.0	4.0	1.1152589909541202	0.0	0.0	3.0	0.0	Act
PTPN21	3	smregions		0.005040531305015915		43.0	4.0	4.0	2.7607581839486404	0.0	0.0	4.0	0.0	Act
MDGA1	4	smregions		0.06388931227797412		43.0	5.0	4.0	1.53304370708127	0.0	0.0	3.0	0.0	Act
GMPS	2	hotmaps		0.002851839941998579	0.001149705001366504	57.0	4.0	4.0	4.20548592755975	8.700841701727951	8.700841701727951	4.0	0.0	Act
ACOX2	3	hotmaps		0.001292241692012838		58.0	5.0	4.0	4.83001310724107	0.0	0.0	5.0	0.0	Act
SPTBN1	3	hotmaps		0.0012629122213001975		59.0	14.0	14.0	2.67789033664866	2.19373310741964	2.19373310741964	11.0	1.0	Act
KCNB2	3	hotmaps		0.002837527325956481		59.0	11.0	10.0	4.7685787686144	0.0	0.0	9.0	0.0	Act
ODF2	3	hotmaps		0.025226825181507432		61.0	4.0	4.0	2.64386564575577	0.0	0.0	3.0	0.0	Act
DRD2	4	hotmaps		0.06597882339450327		62.0	4.0	4.0	5.617689380378518	0.0	0.0	4.0	0.0	Act
OR10G2	3	hotmaps		0.04785261373903519		63.0	4.0	4.0	5.06898745937391	0.0	0.0	3.0	0.0	Act
ITPR1	3	hotmaps		1.5719818000221747e-05		64.0	11.0	11.0	3.44292413516714	0.0	0.0	10.0	0.0	Act
RYR2	3	hotmaps		0.013632252783927757		65.0	42.0	39.0	1.51018440877572	0.86655332283725	0.86655332283725	28.0	2.0	Act
DNAH6	3	hotmaps		0.04308676798143013		66.0	19.0	19.0	1.59205466036605	0.0	0.0	14.0	0.0	Act
PLXNA4	3	hotmaps		0.04308676798143013		67.0	17.0	17.0	2.31754064771942	4.05988673203763	4.05988673203763	12.0	1.0	LoF
CES1	4	hotmaps		0.35908394499307844		68.0	3.0	3.0	3.90028183328772	0.0	0.0	3.0	0.0	Act
ANXA13	3	smregions		0.0007432629130814264		69.0	3.0	2.0	3.84511716512257	13.0844861251366	13.0844861251366	2.0	1.0	LoF
PCDHA8	4	smregions		0.2998853120089634		69.0	10.0	10.0	2.87590441060813	0.0	0.0	7.0	0.0	Act
E2F1	3	smregions		0.007192463315919879		69.0	3.0	3.0	4.475061654971968	0.0	0.0	3.0	0.0	Act
OTOGL	3	smregions		0.00032236672237862283		72.0	13.0	13.0	2.9340124121354707	4.3402977159485205	4.3402977159485205	10.0	1.0	LoF
GRM7	3	smregions		0.04659529394500393		72.0	8.0	8.0	3.0419623642082403	0.0	0.0	6.0	0.0	Act
RANBP2	2	smregions		0.04858397904949821	0.03663186099842339	72.0	11.0	11.0	1.5110249624418102	1.80517163856392	1.80517163856392	8.0	1.0	LoF
PI4KA	3	smregions		0.01361408337190413		75.0	6.0	6.0	1.6437618125274598	0.0	0.0	5.0	0.0	Act
ZNF668	3	smregions		0.041541265358063455		76.0	3.0	3.0	2.9472941420449703	0.0	0.0	3.0	0.0	Act
ABCA13	3	smregions		0.01797169240079213		76.0	37.0	35.0	2.01106158517796	2.16698387815606	2.16698387815606	28.0	2.0	LoF
CNOT11	3	smregions		0.005866208479881356		76.0	3.0	3.0	4.07054423860614	0.0	0.0	3.0	0.0	Act
FSIP2	3	smregions		0.0034175911113422924		79.0	8.0	8.0	0.942024022458896	1.84937102966618	1.84937102966618	6.0	1.0	LoF
GEMIN5	4	smregions		0.10514585709395596		79.0	4.0	4.0	1.30112219595092	0.0	0.0	3.0	0.0	Act
OGDHL	3	smregions		0.023236039624659557		81.0	3.0	3.0	2.15367683098275	0.0	0.0	3.0	0.0	Act
FEZF2	3	smregions		0.0023488105016125807		82.0	4.0	4.0	2.17803356629032	15.637938467153301	15.637938467153301	2.0	1.0	LoF
SCN9A	3	smregions		0.0008699866789494227		83.0	7.0	7.0	2.2787340490777	4.59933333327284	4.59933333327284	5.0	1.0	LoF
CACNA1D	2	smregions		0.08682561620185679	0.06748041674680805	83.0	4.0	4.0	0.98409504741461	0.0	0.0	3.0	0.0	ambiguous
GDAP2	3	smregions		0.01272836527132758		83.0	3.0	2.0	4.5263371743519	0.0	0.0	3.0	0.0	Act
ABCA7	3	oncodrivefml,cbase		5.0225564265263125e-06		86.0	5.0	5.0	1.29994875379721	9.040084166333287	9.040084166333287	3.0	2.0	LoF
OR8K5	3	dndscv,oncodrivefml		0.0002552847974923465		86.0	2.0	2.0	0.0	92.62121917518007	92.62121917518007	0.0	2.0	LoF
EPB41L3	3	oncodrivefml,cbase	cbase	1.663241397839086e-06		86.0	7.0	7.0	3.73353323260212	12.3219296810899	12.3219296810899	5.0	2.0	LoF
PEAK1	3	oncodrivefml,cbase		0.00018296121837595885		86.0	6.0	6.0	1.90010761514804	12.750302780915	12.750302780915	4.0	2.0	LoF
DEFB113	3	dndscv,oncodrivefml		0.0008788926786004082		86.0	2.0	2.0	0.0	133.80709090175802	133.80709090175802	0.0	2.0	LoF
AKAP6	3	oncodrivefml,cbase		1.5276068023025307e-05		86.0	7.0	7.0	1.94344965910196	8.77445163881597	8.77445163881597	5.0	2.0	LoF
KRTAP22-1	3	dndscv,oncodrivefml	dndscv	9.637321278213986e-06		86.0	3.0	3.0	0.0	371.303305943881	371.303305943881	0.0	2.0	LoF
IDH1	2	oncodriveclustl,dndscv	oncodriveclustl	0.0012740059780093006	0.0004460289853289533	86.0	7.0	7.0	12.0074862781003	0.0	0.0	7.0	0.0	Act
B4GALNT3	3	oncodrivefml,cbase		1.5032029815038025e-06		86.0	7.0	6.0	3.805984238492	14.0074798786975	14.0074798786975	5.0	2.0	LoF
CNGA3	3	dndscv		0.008341703841563115		95.0	12.0	12.0	8.08830030845138	0.0	0.0	11.0	0.0	Act
GABRG1	3	dndscv	dndscv	0.00481533706759701		95.0	11.0	10.0	10.576051802102599	10.716857445796302	10.716857445796302	9.0	1.0	ambiguous
CDKN1A	2	dndscv	dndscv	0.0032933751746999137	0.0013030494274754547	95.0	8.0	6.0	20.387896203177306	0.0	0.0	7.0	0.0	Act
OR8H2	3	dndscv		0.004686350821601354		95.0	7.0	7.0	15.9436837883174	0.0	0.0	7.0	0.0	Act
PLA2G4A	3	dndscv		0.0036338096056008923		95.0	12.0	11.0	7.9141987946916785	6.72383555970902	6.72383555970902	10.0	1.0	Act
OR51G1	3	dndscv	dndscv	0.025915169291878343		95.0	8.0	8.0	17.910554504660894	0.0	0.0	8.0	0.0	Act
CREB3L3	4	dndscv	dndscv	0.30807304776869515		95.0	2.0	2.0	1.2236801196498002	45.30773230927879	45.30773230927879	1.0	0.0	Act
OR5L1	4	dndscv		0.10974710148917803		95.0	9.0	8.0	8.80170549038239	34.000854801701	34.000854801701	6.0	1.0	LoF
OR5D14	3	oncodriveclustl,dndscv	oncodriveclustl	0.029403697357685343		95.0	9.0	7.0	9.88508329545813	0.0	0.0	7.0	0.0	Act
GRXCR1	4	dndscv		0.3935527240546421		95.0	8.0	8.0	13.7342499091413	0.0	0.0	7.0	0.0	Act
NUP133	3	cbase	cbase	1.1863780315542218e-05		106.0	12.0	11.0	2.52834323016171	9.83368297016608	9.83368297016608	6.0	3.0	LoF
