SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
CTNNB1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	3.2526292129265724e-05	6.726743971219636e-06	1.0	91.0	88.0	66.2844091054086	0.0	0.0	90.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.6013408157576826e-26	2.3734491803733297e-27	2.0	75.0	74.0	63.60267526702471	184.980050406642	184.980050406642	61.0	12.0	LoF
EEF1A1	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	6.809869426834952e-22		3.0	14.0	10.0	21.8050194721318	0.0	0.0	14.0	0.0	Act
AXIN1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.1780192769338587e-09	2.6870459172112353e-10	4.0	14.0	14.0	1.99744026271203	104.480294872316	104.480294872316	3.0	10.0	LoF
GNAS	1	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	1.0632980419048752e-06	2.0373094085193606e-07	5.0	8.0	8.0	1.76429732207356	0.0	0.0	5.0	0.0	Act
ARID2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.4603874719931607e-08	5.412409143178698e-09	6.0	13.0	13.0	2.2418251128727	30.195864454380693	30.195864454380693	6.0	6.0	LoF
BAP1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.3855725621294154e-08	3.6276390031948492e-09	6.0	13.0	11.0	5.468965472913669	44.601050052017	44.601050052017	7.0	5.0	LoF
TSC2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.3659098110025823e-08	2.1809351654586985e-09	8.0	6.0	6.0	0.509921668336152	23.5297198308632	23.5297198308632	1.0	5.0	LoF
BRD7	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	3.1605679627202883e-12		9.0	7.0	7.0	3.66852763030743	43.5661728346594	43.5661728346594	3.0	4.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	1.6896905661344715e-06	3.1458636117131336e-07	10.0	14.0	14.0	1.9122186474115903	15.4327734903255	15.4327734903255	8.0	4.0	LoF
KEAP1	1	dndscv,cbase,mutpanning	dndscv,cbase	2.363216138152027e-07	4.0428478547717586e-08	11.0	13.0	12.0	12.4783564513843	13.766712493949699	13.766712493949699	12.0	1.0	LoF
ALB	1	dndscv,cbase,mutpanning	dndscv	4.755955243779158e-07		11.0	19.0	19.0	18.099512594910003	14.0765277007131	14.0765277007131	18.0	0.0	Act
RPS6KA3	1	dndscv,cbase,mutpanning	dndscv,cbase	1.6896905661344715e-06		11.0	12.0	11.0	6.69529656358765	28.7970941072933	28.7970941072933	8.0	3.0	LoF
KRTAP3-3	1	dndscv,oncodrivefml,mutpanning	dndscv	2.4648563803212615e-08		14.0	3.0	3.0	0.0	362.82200289169	362.82200289169	0.0	3.0	LoF
NFE2L2	1	dndscv,hotmaps,cbase	dndscv,hotmaps,cbase	2.1216230627434574e-09	3.8715146349348486e-10	15.0	11.0	10.0	13.399925947390301	15.208866400467999	15.208866400467999	10.0	1.0	LoF
CDKN2A	1	dndscv,oncodrivefml,hotmaps	dndscv,hotmaps	1.8949085614110253e-08	2.7662467876380553e-09	15.0	6.0	6.0	20.8679715882806	53.2501479212076	53.2501479212076	6.0	0.0	Act
GADL1	1	dndscv,oncodrivefml,mutpanning	dndscv	2.5278491054633993e-06		17.0	4.0	4.0	1.46548489919236	41.4864600626375	41.4864600626375	1.0	3.0	LoF
HNF1A	1	dndscv,hotmaps,smregions,mutpanning		8.540983447018981e-07	1.7317214978021038e-07	18.0	6.0	5.0	5.98265813336776	40.2174061728958	40.2174061728958	5.0	1.0	LoF
TG	1	cbase,mutpanning	cbase,mutpanning	0.00020098704837637758		19.0	16.0	14.0	5.15563578846689	6.55826029656906	6.55826029656906	14.0	2.0	LoF
CRIP3	1	oncodriveclustl,dndscv,mutpanning	oncodriveclustl,dndscv,mutpanning	5.443842250761301e-12		20.0	10.0	6.0	33.5259626393769	0.0	0.0	10.0	0.0	Act
KMT2B	1	dndscv,oncodrivefml,cbase	dndscv,oncodrivefml,cbase	0.0003937305448962112		20.0	13.0	12.0	3.40207224355716	25.655076153642	25.655076153642	9.0	4.0	LoF
UNC80	1	cbase,mutpanning		0.0001198598135001612		20.0	19.0	17.0	4.23558795343304	0.0	0.0	18.0	0.0	Act
