SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
CTNNB1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	2.7120828383175355e-08	2.909942361625805e-09	1.0	101.0	95.0	52.126550618390205	0.0	0.0	97.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.0944100306678573e-30	1.6854055077375274e-31	2.0	99.0	95.0	51.7777446293532	155.802895243508	155.802895243508	66.0	13.0	LoF
AXIN1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.535926018395057e-07	6.168252310225684e-08	3.0	27.0	22.0	3.02945837094254	96.32075509531728	96.32075509531728	5.0	10.0	LoF
BAP1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.2435842321454052e-08	2.5792119884847923e-09	4.0	19.0	16.0	4.9167253322902695	40.8653188631373	40.8653188631373	7.0	5.0	LoF
TSC2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.3304816919958538e-08	1.8736551071175587e-09	4.0	12.0	12.0	0.4638052809100421	21.7619062861235	21.7619062861235	1.0	5.0	LoF
ARID2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	7.033491186268802e-06	1.091564431306974e-06	4.0	18.0	18.0	2.7747609129797994	28.3520332123608	28.3520332123608	8.0	6.0	LoF
KEAP1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase	1.6479272258978784e-08	2.121781757886829e-09	7.0	18.0	16.0	14.313800721654198	12.598530202899301	12.598530202899301	15.0	1.0	Act
EEF1A1	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	5.421913099076943e-18		8.0	16.0	12.0	21.9690613651851	0.0	0.0	16.0	0.0	Act
GNAS	1	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	4.5482512619622345e-07	5.1850723855035344e-08	9.0	8.0	8.0	1.59011876264647	0.0	0.0	5.0	0.0	Act
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	1.824615224723714e-08	2.20244591857962e-09	9.0	13.0	13.0	8.93314643378643	0.0	0.0	13.0	0.0	Act
CDKN2A	1	dndscv,oncodrivefml,hotmaps	dndscv,hotmaps	2.3582393531818042e-08	2.6093556716682253e-09	11.0	8.0	8.0	18.5565860248776	48.85624457987411	48.85624457987411	6.0	0.0	Act
BRD7	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	5.010723991954704e-08		12.0	9.0	9.0	3.32836530608062	40.2338549813987	40.2338549813987	3.0	4.0	LoF
NFE2L2	1	dndscv,hotmaps,cbase	dndscv,hotmaps,cbase	8.066804461102463e-09	1.2982975128560055e-09	13.0	13.0	12.0	12.0603198677831	13.8337219701039	13.8337219701039	10.0	1.0	LoF
HNF1A	1	dndscv,hotmaps,smregions,cbase,mutpanning	dndscv	2.2506800550979347e-09	4.527896287585417e-10	13.0	10.0	6.0	7.645394778756598	36.9732392708595	36.9732392708595	7.0	1.0	LoF
HIST1H1E	1	dndscv,oncodrivefml,cbase	dndscv,oncodrivefml,cbase	8.615062357360114e-11		15.0	6.0	4.0	2.59143313576405	218.828994992719	218.828994992719	1.0	4.0	LoF
CRIP3	1	oncodriveclustl,dndscv,smregions,mutpanning	oncodriveclustl,dndscv,mutpanning	8.874135611340683e-11		16.0	11.0	6.0	33.3417830944068	0.0	0.0	11.0	0.0	Act
B4GALNT3	1	oncodrivefml,cbase	cbase	9.550219953214314e-07		17.0	7.0	6.0	3.5881683197679104	13.332274590803301	13.332274590803301	5.0	2.0	LoF
GADL1	1	dndscv,oncodrivefml,mutpanning		8.086582821558286e-06		17.0	4.0	4.0	1.31033635537569	37.6589381191837	37.6589381191837	1.0	3.0	LoF
EPB41L3	1	oncodrivefml,cbase	cbase	8.884964643665104e-05		19.0	8.0	8.0	4.24581179898699	11.8128721766921	11.8128721766921	6.0	2.0	LoF
APOB	1	oncodrivefml,cbase	cbase	1.8380511088274442e-06		19.0	35.0	34.0	1.92810786634692	6.2159904591943	6.2159904591943	15.0	4.0	LoF
KMT2B	1	dndscv,oncodrivefml,cbase	cbase	0.007665715942151549		19.0	14.0	12.0	2.3078629110721898	17.674364077606498	17.674364077606498	9.0	4.0	LoF
ARID1A	1	dndscv,cbase,mutpanning	cbase,mutpanning	2.911314943676771e-08	3.045616674709479e-09	22.0	30.0	30.0	1.4308643073968998	12.412430691751	12.412430691751	9.0	5.0	LoF
DHX9	1	oncodriveclustl,cbase,mutpanning	oncodriveclustl,cbase	1.1018461943353294e-06		22.0	13.0	11.0	7.27424445096616	4.85775028413162	4.85775028413162	12.0	1.0	Act
WDR87	1	oncodriveclustl,cbase,mutpanning	oncodriveclustl,cbase	1.0958443254003911e-06		22.0	23.0	20.0	4.46559272501767	7.70183180342957	7.70183180342957	18.0	3.0	LoF
RPS6KA3	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	1.0102769414335673e-05		22.0	16.0	15.0	6.02450555058076	31.5779585326513	31.5779585326513	8.0	4.0	LoF
PEAK1	1	oncodrivefml,cbase		3.751775565761896e-05		26.0	7.0	7.0	2.214327218639529	11.971165622462001	11.971165622462001	5.0	2.0	LoF
AKAP6	1	oncodrivefml,cbase		0.00017508097528165224		27.0	7.0	7.0	1.85109814367875	8.40390216483531	8.40390216483531	5.0	2.0	LoF
NLGN1	1	oncodriveclustl,dndscv,cbase,mutpanning	oncodriveclustl,dndscv	0.009155687389219716		27.0	14.0	11.0	11.9387435810877	0.0	0.0	13.0	0.0	Act
CLEC18C	4	oncodriveclustl,hotmaps	oncodriveclustl,hotmaps	0.456822470144073		29.0	5.0	5.0	7.27044394239145	0.0	0.0	5.0	0.0	Act
NBPF15	3	oncodriveclustl,hotmaps	oncodriveclustl,hotmaps	0.0020711379959448377		29.0	5.0	5.0	5.20967776938776	0.0	0.0	5.0	0.0	Act
KRAS	2	dndscv,hotmaps		0.003773022863731928	0.0016995890259899936	31.0	5.0	5.0	17.461527637287	0.0	0.0	5.0	0.0	Act
NRAS	2	dndscv,hotmaps		0.007091182915489536	0.003665922747366864	32.0	4.0	4.0	14.6860952225281	32.156784949792	32.156784949792	4.0	0.0	Act
UNC80	3	cbase,mutpanning		3.921209860873609e-05		33.0	19.0	17.0	3.96659779359881	0.0	0.0	18.0	0.0	Act
TG	3	cbase,mutpanning	cbase	0.0014025921048619972		33.0	16.0	14.0	4.78367837458682	6.14653175523048	6.14653175523048	14.0	2.0	LoF
LY75	3	smregions,mutpanning	mutpanning	5.648280707234354e-06		33.0	10.0	8.0	4.52685487498145	3.8314770396372206	3.8314770396372206	9.0	1.0	Act
CNTN6	3	smregions,mutpanning	smregions,mutpanning	1.0102769414335673e-05		33.0	9.0	7.0	3.18760987007438	8.59977183800917	8.59977183800917	6.0	1.0	LoF
FSIP2	3	hotmaps		8.953347262054525e-05		37.0	11.0	10.0	1.37043724829069	1.81177242295768	1.81177242295768	9.0	1.0	LoF
OR8K5	3	dndscv,oncodrivefml		0.0017175101504876848		37.0	2.0	2.0	0.0	86.30801637473509	86.30801637473509	0.0	2.0	LoF
HIPK3	3	hotmaps		6.537587266067769e-05		37.0	9.0	7.0	3.922846779091009	0.0	0.0	8.0	0.0	Act
KRTAP3-3	3	dndscv,oncodrivefml	dndscv	6.550862216293701e-06		37.0	3.0	3.0	0.0	321.325677225361	321.325677225361	0.0	3.0	LoF
PSMC5	3	hotmaps		0.010285545215871307		37.0	3.0	3.0	5.00420325755896	0.0	0.0	3.0	0.0	Act
RPS6KB1	3	hotmaps		0.016897600883420932		37.0	2.0	2.0	2.63791662233512	0.0	0.0	2.0	0.0	Act
ATP12A	3	hotmaps	hotmaps	0.0005696208796293607		37.0	8.0	8.0	4.0433958491576405	0.0	0.0	7.0	0.0	Act
EXOC4	4	hotmaps		0.1096125089474254		37.0	6.0	3.0	2.24196054297093	0.0	0.0	4.0	0.0	Act
KRTAP22-1	3	dndscv,oncodrivefml	dndscv	7.595435987349248e-05		37.0	3.0	3.0	0.0	340.705929389932	340.705929389932	0.0	2.0	LoF
DENND3	3	hotmaps		0.03744291587053911		46.0	6.0	6.0	2.29075894577022	0.0	0.0	5.0	0.0	Act
DEFB113	3	dndscv,oncodrivefml		0.003471640453457993		46.0	3.0	3.0	7.34483605884487	121.748067803063	121.748067803063	1.0	2.0	LoF
GMPS	2	hotmaps		0.011963722565319159	0.006635696110742354	48.0	4.0	4.0	3.98976561163208	8.32631554659286	8.32631554659286	4.0	0.0	Act
KCNJ3	3	hotmaps		0.006974343736366867		48.0	5.0	5.0	6.82965239620761	0.0	0.0	5.0	0.0	Act
DSCAM	3	hotmaps		0.006719436870502837		50.0	18.0	16.0	1.7358931864428702	2.88806644590721	2.88806644590721	12.0	1.0	LoF
SPHK1	3	hotmaps		0.003893161989176529		51.0	4.0	4.0	3.98407996158489	0.0	0.0	3.0	0.0	Act
TACR3	3	hotmaps		9.749882590471458e-05		51.0	4.0	4.0	4.122088980780161	36.536785748572	36.536785748572	3.0	1.0	LoF
MGAM	3	hotmaps		0.00025636093570877166		51.0	11.0	10.0	1.21556263689953	5.05809596410074	5.05809596410074	6.0	2.0	LoF
ACOX2	3	hotmaps		0.018586453051441888		54.0	5.0	4.0	4.61531691551763	0.0	0.0	5.0	0.0	Act
ODF2	3	hotmaps		0.00423881066080717		55.0	5.0	5.0	3.3358984497929	0.0	0.0	4.0	0.0	Act
SPTBN1	3	hotmaps		0.0003585522085546245		55.0	14.0	14.0	2.48931110176847	2.06717469247484	2.06717469247484	11.0	1.0	Act
KCNB2	3	hotmaps		0.006565653809981415		57.0	11.0	10.0	4.38437861774401	0.0	0.0	9.0	0.0	Act
DNAH6	3	hotmaps		0.006689220351156812		58.0	19.0	19.0	1.5351068470875902	0.9162308665499308	0.9162308665499308	14.0	0.0	Act
DRD2	3	hotmaps		0.0319007699580234		59.0	4.0	4.0	5.10893947988917	0.0	0.0	4.0	0.0	Act
OR10G2	4	hotmaps		0.09367723761860766		60.0	4.0	4.0	4.66852577035262	0.0	0.0	3.0	0.0	Act
ITPR1	3	hotmaps		1.3716014693542002e-05		61.0	11.0	11.0	3.38099394383467	0.0	0.0	10.0	0.0	Act
SPTA1	3	hotmaps		0.01475063663061764		62.0	29.0	24.0	2.71034714732027	1.74263145904782	1.74263145904782	22.0	1.0	Act
SI	4	hotmaps		0.19265796057073145		63.0	15.0	14.0	2.07374675990006	0.0	0.0	11.0	0.0	Act
PLXNA4	3	hotmaps		0.01685119199708971		64.0	17.0	17.0	2.18157614275349	3.85240789947316	3.85240789947316	12.0	1.0	LoF
APCS	4	hotmaps		0.06026384138191479		65.0	3.0	3.0	8.779338920293808	0.0	0.0	3.0	0.0	Act
DAAM1	3	hotmaps		0.0014629124536851914		66.0	6.0	6.0	4.398377730628269	0.0	0.0	6.0	0.0	Act
CES1	3	hotmaps		0.006658467133012502		67.0	4.0	4.0	3.69943499732359	10.0848072322691	10.0848072322691	3.0	1.0	LoF
ARHGAP44	3	hotmaps		0.00687398219546261		68.0	5.0	5.0	4.24823875330488	0.0	0.0	5.0	0.0	Act
ABCA7	3	oncodrivefml		5.346042158720562e-06		69.0	7.0	7.0	1.21739660466962	6.41174461695116	6.41174461695116	4.0	2.0	LoF
KIRREL2	3	oncodrivefml		0.048172105799661115		69.0	4.0	4.0	2.88628799808515	9.97914864713721	9.97914864713721	3.0	1.0	LoF
SULT1C4	3	oncodrivefml		0.004632180960616368		69.0	2.0	2.0	0.0	38.2014416379678	38.2014416379678	0.0	2.0	LoF
TCN1	3	oncodrivefml		0.04985801920320186		69.0	3.0	3.0	1.5752560106854498	27.7504153999104	27.7504153999104	1.0	2.0	LoF
GRM2	4	oncodrivefml		0.09636025917511927		69.0	4.0	4.0	1.64561074752864	13.85829025543	13.85829025543	2.0	1.0	LoF
CCDC57	3	oncodrivefml		3.284184813933779e-05		69.0	3.0	3.0	0.931997200611024	15.273987109956998	15.273987109956998	1.0	2.0	LoF
ACVR2A	2	oncodrivefml		0.05789993878565448	0.03874576947583975	69.0	12.0	12.0	2.66013101607363	21.6816321596279	21.6816321596279	3.0	2.0	LoF
TLE1	3	oncodrivefml		1.0102769414335673e-05		69.0	5.0	4.0	2.5857577761182	23.8779583518337	23.8779583518337	3.0	2.0	LoF
PVRIG	3	oncodrivefml	oncodrivefml	3.136190082060508e-07		69.0	3.0	2.0	0.0	49.321535533482894	49.321535533482894	0.0	2.0	LoF
BZW2	3	oncodrivefml		0.003983614825168557		69.0	2.0	2.0	0.0	22.497182536870397	22.497182536870397	0.0	2.0	LoF
PPP2CB	3	oncodrivefml		1.5401655724634788e-05		69.0	2.0	2.0	0.0	34.3679332983738	34.3679332983738	0.0	2.0	LoF
WNT9B	3	oncodrivefml		0.038802888103539296		69.0	2.0	2.0	1.7837254155146205	24.7581007143818	24.7581007143818	1.0	1.0	LoF
GLB1L	3	oncodrivefml		0.0031756133161417416		69.0	2.0	2.0	0.0	19.5099733137531	19.5099733137531	0.0	2.0	LoF
CLDN5	4	oncodrivefml		0.19150134783989306		69.0	5.0	2.0	1.8852355074469096	0.0	0.0	1.0	0.0	Act
REXO4	3	oncodrivefml		0.002156997469742182		69.0	2.0	2.0	0.0	29.0867695006721	29.0867695006721	0.0	2.0	LoF
GABRA4	3	oncodrivefml		2.577976393683833e-05		69.0	8.0	6.0	1.72526722241512	27.4718848986894	27.4718848986894	2.0	3.0	LoF
H6PD	3	oncodrivefml		4.042258822038029e-05		69.0	3.0	3.0	0.8330096741296709	23.770027608647197	23.770027608647197	1.0	2.0	LoF
NBEA	2	oncodriveclustl,cbase	oncodriveclustl	8.884964643665104e-05	2.102904191074313e-05	86.0	24.0	18.0	2.48086411506814	6.80626032644979	6.80626032644979	16.0	3.0	LoF
LATS1	2	oncodrivefml		0.09409243125829743	0.0709323375580923	87.0	5.0	5.0	1.31657955204269	7.36994258611471	7.36994258611471	2.0	1.0	LoF
DYRK1A	3	oncodrivefml		0.011052201355220538		87.0	5.0	5.0	2.49984669765517	26.3366774343018	26.3366774343018	3.0	2.0	LoF
KMT2D	2	oncodriveclustl,mutpanning	oncodriveclustl	0.05465126105916409	0.03588478905380808	89.0	21.0	20.0	0.8772505576652341	2.73245863059934	2.73245863059934	11.0	2.0	LoF
RB1	2	dndscv,mutpanning	dndscv,mutpanning	0.0016594356233378055	0.0006543335498754281	89.0	14.0	11.0	1.71626658620472	17.1206219011875	17.1206219011875	4.0	1.0	LoF
ALB	3	dndscv,mutpanning	dndscv	6.517423501924565e-05		89.0	40.0	38.0	13.7159227368376	10.2750691795551	10.2750691795551	19.0	0.0	Act
GRIA2	3	oncodriveclustl,mutpanning	oncodriveclustl,mutpanning	8.172945034525763e-06		89.0	10.0	8.0	8.48612554553289	0.0	0.0	10.0	0.0	Act
DNAH8	3	smregions		0.0050733307484406645		93.0	19.0	19.0	1.33311283773912	4.92669459841043	4.92669459841043	13.0	2.0	LoF
KDM5B	3	smregions		0.03973797282129541		93.0	5.0	5.0	0.5865600434574959	2.32064101428979	2.32064101428979	2.0	1.0	LoF
SIGLEC12	3	smregions		0.013691030914920884		93.0	3.0	3.0	3.47663257664432	0.0	0.0	3.0	0.0	Act
PTPN21	3	smregions		0.004323855208178021		93.0	4.0	4.0	2.5789802028146003	0.0	0.0	4.0	0.0	Act
ZNF493	3	smregions		0.004160943398982172		93.0	3.0	3.0	1.94419468000795	9.53197097008838	9.53197097008838	2.0	1.0	LoF
E2F1	3	smregions		0.01583352558168075		93.0	3.0	3.0	4.167209171491471	0.0	0.0	3.0	0.0	Act
TTN	4	smregions		0.059106021172041424		93.0	145.0	114.0	1.14964458947299	0.670370151142729	0.670370151142729	104.0	5.0	Act
PCDHGB7	4	smregions		0.210566828192665		93.0	8.0	8.0	1.86129705492816	0.0	0.0	5.0	0.0	Act
KIAA0355	4	smregions	smregions	0.16867065679452745		93.0	7.0	7.0	1.39119749806172	0.0	0.0	4.0	0.0	Act
ANXA13	3	smregions		0.0024346045118993605		93.0	3.0	2.0	3.57936040734758	12.2905886197193	12.2905886197193	2.0	1.0	LoF
DYSF	3	cbase		0.005112257048378165		93.0	8.0	8.0	1.21806875454106	7.54334384891076	7.54334384891076	4.0	3.0	LoF
MDGA1	3	smregions		0.047544523785438934		93.0	5.0	4.0	1.42893909638204	0.0	0.0	3.0	0.0	Act
COL19A1	3	smregions	smregions	0.002781578628160122		93.0	8.0	8.0	3.46437421960188	0.0	0.0	7.0	0.0	Act
PLXND1	4	smregions		0.11683578798898504		93.0	7.0	7.0	0.8417450378529541	0.0	0.0	4.0	0.0	ambiguous
NFXL1	3	cbase		0.002828709303931841		93.0	8.0	8.0	5.05361520280402	11.4078092063243	11.4078092063243	6.0	2.0	LoF
FBN3	4	smregions		0.10733605623649416		93.0	10.0	10.0	0.577412778521568	0.0	0.0	5.0	0.0	ambiguous
FBN1	3	cbase	cbase	0.003236554400236769		93.0	14.0	14.0	1.7146184893427	4.56621256900476	4.56621256900476	9.0	3.0	LoF
NSD2	4	smregions		0.17681453193787716		93.0	7.0	7.0	1.60842274492977	0.0	0.0	5.0	0.0	Act
XPOT	3	smregions		0.03909587510330388		93.0	3.0	3.0	2.24641474658286	0.0	0.0	3.0	0.0	Act
GRM7	4	smregions		0.07416388484275055		93.0	9.0	9.0	2.2590581753103502	0.0	0.0	6.0	0.0	Act
CACNA1D	2	smregions		0.024950879390477684	0.01441340475582429	93.0	5.0	5.0	1.22401941142802	0.0	0.0	4.0	0.0	Act
