SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.079772365216765e-12	8.165991541359163e-13	1.0	96.0	93.0	58.47175016690821	177.929639529961	177.929639529961	65.0	13.0	LoF
EEF1A1	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	3.005007347573362e-22		2.0	13.0	9.0	20.0074429386035	0.0	0.0	13.0	0.0	Act
CTNNB1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	2.4136123589338778e-08	2.6414843645729032e-09	2.0	90.0	89.0	89.20839549067409	0.0	0.0	89.0	0.0	Act
AXIN1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.338051979890998e-20	2.3962566344755364e-21	4.0	24.0	21.0	2.71738614992256	99.277657667724	99.277657667724	4.0	10.0	LoF
ARID2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	4.136744029341301e-09	4.444984413644531e-10	5.0	16.0	16.0	2.24742326638339	30.4462629130437	30.4462629130437	6.0	6.0	LoF
NFE2L2	1	dndscv,hotmaps,cbase	hotmaps	2.2374363196832688e-08	2.5758792500747943e-09	6.0	11.0	10.0	10.8617039182788	15.4596622152853	15.4596622152853	8.0	1.0	LoF
GNAS	1	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	1.9556232704305548e-06	2.2899242335533513e-07	7.0	8.0	8.0	1.7994024242555902	0.0	0.0	5.0	0.0	Act
TSC2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.136744029341301e-09	4.444984413644531e-10	8.0	11.0	11.0	0.500266279423048	23.284548944460106	23.284548944460106	1.0	5.0	LoF
BAP1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.1965089216828796e-08	1.4285157252886073e-09	8.0	19.0	16.0	5.44930796528952	45.0115553492554	45.0115553492554	7.0	5.0	LoF
CRIP3	1	oncodriveclustl,dndscv,mutpanning	oncodriveclustl,dndscv,mutpanning	1.2424628737747102e-07		8.0	7.0	4.0	23.6320481621414	0.0	0.0	7.0	0.0	Act
