SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	4.4224750422110497e-20	2.2673570264544688e-21	1.0	133.0	129.0	648.524873986122	32.5499450645909	32.5499450645909	132.0	1.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.809585539899378e-18	9.277557136444445e-20	2.0	230.0	217.0	10.3338580729557	33.7972719507168	33.7972719507168	152.0	51.0	LoF
EGFR	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.4788208880331608e-29	1.2708657265805948e-30	3.0	73.0	62.0	7.217418021623992	1.1300938848685702	1.1300938848685702	45.0	1.0	Act
BRAF	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.4788208880331608e-29	1.2708657265805948e-30	4.0	29.0	27.0	58.6436219427005	26.9406730135826	26.9406730135826	27.0	2.0	Act
STK11	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	4.4520379228205015e-09	2.6629325430522763e-10	5.0	54.0	51.0	8.01967111508243	83.2607080805052	83.2607080805052	23.0	15.0	LoF
KEAP1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	2.1173150553649853e-18	1.0855254404328944e-19	6.0	86.0	84.0	21.1313877811412	33.1934555061011	33.1934555061011	71.0	7.0	LoF
RBM10	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.8279180548196604e-09	2.319358166900716e-10	7.0	26.0	24.0	1.3870790915503202	30.500584665171104	30.500584665171104	6.0	13.0	LoF
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	4.755089813963658e-11	2.7087612952292e-12	8.0	45.0	39.0	1.76882533134917	10.1583343664538	10.1583343664538	24.0	10.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.6006763147202798e-11	1.5000072056624863e-12	9.0	21.0	21.0	2.41475922801712	29.9174928453503	29.9174928453503	6.0	9.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,mutpanning	dndscv,hotmaps,mutpanning	1.1227876102388078e-15	5.756415475480467e-17	10.0	25.0	24.0	42.700341909303	0.0	0.0	25.0	0.0	Act
