SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	8.541845569866387e-19	4.518712796761284e-20	1.0	111.0	107.0	617.784818242562	37.2975648747545	37.2975648747545	110.0	1.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.1232700783851808e-11	1.1232288848707822e-12	2.0	196.0	187.0	10.9464226314788	33.76311725527261	33.76311725527261	143.0	43.0	LoF
EGFR	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	6.117999083803465e-28	3.2364763006349886e-29	3.0	43.0	35.0	6.35414252356078	1.14463918793183	1.14463918793183	39.0	1.0	Act
BRAF	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	3.842492017374935e-24	2.0327126858413571e-25	4.0	27.0	25.0	60.6501912074556	30.092478238688606	30.092478238688606	25.0	2.0	Act
KEAP1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.8750607361040086e-20	9.91923920145322e-22	5.0	79.0	78.0	21.4948582580908	34.3361395872609	34.3361395872609	70.0	7.0	LoF
STK11	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	3.0489168100679722e-18	1.6129042948888436e-19	6.0	39.0	35.0	7.9329032119912	76.88863143390199	76.88863143390199	22.0	15.0	LoF
RBM10	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.696682151055229e-21	2.4845869156383666e-22	7.0	23.0	20.0	1.8964231191992	31.182898790889396	31.182898790889396	8.0	13.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.809426106363495e-14	2.0152205228185246e-15	8.0	21.0	19.0	20.240596495095698	233.86028770016003	233.86028770016003	11.0	10.0	LoF
SMARCA4	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.347103685028633e-08	3.8873253284805546e-09	9.0	38.0	35.0	3.631541411790941	16.6481648668354	16.6481648668354	23.0	12.0	LoF
SETD2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.5647788042545988e-09	9.030349087551424e-11	10.0	29.0	25.0	4.60819981316615	30.972928791438605	30.972928791438605	16.0	12.0	LoF
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	7.081679714158387e-09	4.0584613156052304e-10	11.0	38.0	34.0	1.71082000051705	9.7316903483455	9.7316903483455	23.0	10.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.135927003766443e-15	6.009155569627581e-17	12.0	14.0	13.0	1.66792155821508	31.1294698505823	31.1294698505823	4.0	9.0	LoF
PIK3CA	1	dndscv,hotmaps,mutpanning	hotmaps,mutpanning	3.7159952923765116e-13	1.9657947855675274e-14	13.0	20.0	19.0	38.6570081139792	0.0	0.0	20.0	0.0	Act
