SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.2092709126300127e-17	6.016400931202398e-19	1.0	215.0	207.0	10.6959660344523	37.440047168789796	37.440047168789796	140.0	47.0	LoF
EGFR	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.9661531004393185e-36	2.4707753925044877e-37	2.0	70.0	63.0	5.95347995071183	1.1130586089516998	1.1130586089516998	38.0	1.0	Act
BRAF	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.988750433924128e-25	9.894490835447006e-27	3.0	36.0	33.0	47.0645501471702	18.3439367702244	18.3439367702244	32.0	2.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	5.636849798981133e-14	2.804462426527768e-15	4.0	86.0	85.0	289.785700552514	23.0339122599475	23.0339122599475	85.0	1.0	Act
STK11	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	1.0963371137129896e-12	5.4545293060172095e-14	5.0	64.0	60.0	7.78225712257047	84.2292005008426	84.2292005008426	23.0	19.0	LoF
KEAP1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	4.826197874085288e-15	2.401144448324103e-16	6.0	79.0	78.0	12.874709232221901	23.012287668865	23.012287668865	63.0	7.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,mutpanning	2.8499645956602065e-12	1.417922937543613e-13	7.0	26.0	25.0	30.4513132222161	0.0	0.0	26.0	0.0	Act
RBM10	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.0476882059066976e-15	3.0088639835473513e-16	8.0	28.0	26.0	3.1209362355442702	51.693932767890104	51.693932767890104	8.0	13.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.00010099536938639749	7.851174880422577e-06	9.0	27.0	26.0	2.92234035265052	33.37499722188289	33.37499722188289	8.0	12.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.6591371040752258e-15	8.254588706050133e-17	10.0	23.0	21.0	2.52245996399694	46.9200586240427	46.9200586240427	8.0	12.0	LoF
SETD2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.9442137988264598e-06	1.6601226284394918e-07	11.0	39.0	32.0	4.53459186621869	27.2280793225134	27.2280793225134	18.0	12.0	LoF
SMARCA4	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.155820873985116e-07	4.10790631586766e-08	12.0	43.0	39.0	4.05758982761808	14.940510818910502	14.940510818910502	27.0	11.0	LoF
MGA	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.818449001244442e-06		13.0	46.0	41.0	1.32447415087748	10.1425112045476	10.1425112045476	20.0	16.0	LoF
CDKN2A	1	oncodrivefml,hotmaps,mutpanning	oncodrivefml,hotmaps,mutpanning	1.01846911257371e-10	5.5738298991737425e-12	14.0	20.0	18.0	6.82771515856296	13.6443286610526	13.6443286610526	12.0	1.0	LoF
ARID2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,mutpanning	3.045209031257892e-08	1.7675717908492666e-09	15.0	28.0	26.0	1.14112255278404	8.05643590592059	8.05643590592059	13.0	9.0	LoF
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.951607394310289e-06	1.1096795051664202e-07	15.0	48.0	41.0	1.2134246314244	7.688463423867072	7.688463423867072	23.0	11.0	LoF
TTN	1	oncodriveclustl,dndscv,smregions	oncodriveclustl,dndscv	0.0027079601216384547		17.0	534.0	254.0	1.06099834941296	0.3930054627674	0.3930054627674	320.0	9.0	Act
