SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	7.400283893446301e-22	4.301636825775384e-23	1.0	138.0	134.0	1154.12623883891	55.564995980141106	55.564995980141106	137.0	1.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.4362412760371163e-12	8.348582909327708e-14	2.0	200.0	192.0	11.0027926427448	37.8884520498795	37.8884520498795	141.0	48.0	LoF
EGFR	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.0503464584707047e-32	6.105453615883127e-34	3.0	40.0	32.0	18.167391589938198	0.0	0.0	39.0	0.0	Act
BRAF	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	8.839026336870711e-35	5.1379489952208625e-36	4.0	30.0	28.0	95.27914873634079	42.1842393823406	42.1842393823406	28.0	2.0	Act
STK11	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	5.010606293051665e-16	2.9125650934474286e-17	4.0	40.0	37.0	4.3225582489355	42.2786175740067	42.2786175740067	21.0	15.0	LoF
KEAP1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	5.733563532043272e-20	3.3328056581994547e-21	6.0	79.0	78.0	15.8210214563418	22.9457967115092	22.9457967115092	70.0	6.0	LoF
RBM10	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.665564852942199e-25	3.293279387810787e-26	7.0	21.0	19.0	2.78759388152359	65.0209965865449	65.0209965865449	6.0	14.0	LoF
PIK3CA	1	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	1.1783217953890562e-17	6.849348620460613e-19	8.0	17.0	16.0	45.3635864505044	0.0	0.0	17.0	0.0	Act
SMARCA4	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	9.851423874112283e-16	5.726435408881211e-17	9.0	29.0	27.0	2.63603343360973	18.766471005316	18.766471005316	16.0	10.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.627391706468446e-10	4.127539366906245e-11	10.0	18.0	18.0	24.284956415861306	238.09642657557202	238.09642657557202	10.0	8.0	LoF
CDKN2A	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	2.0092628719365087e-16	1.1679442690353608e-17	11.0	17.0	15.0	120.91916185766	292.628727837967	292.628727837967	15.0	2.0	LoF
NF1	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	1.2784319124561665e-11	7.431268682459773e-13	12.0	27.0	26.0	2.16452771627148	13.1544981806831	13.1544981806831	17.0	7.0	LoF
CTNNB1	1	oncodriveclustl,mutpanning	mutpanning	4.4919915155595856e-07	3.3790766826352664e-08	13.0	14.0	14.0	41.6684572067617	0.0	0.0	14.0	0.0	Act
MGA	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	3.1578266753808915e-10		14.0	28.0	26.0	1.05988245856272	9.78400350778723	9.78400350778723	12.0	12.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.683964835900338e-12	2.1414149823366447e-13	14.0	12.0	12.0	1.9115201863623	25.0740810208718	25.0740810208718	4.0	7.0	LoF
COL12A1	1	oncodrivefml,cbase,mutpanning	cbase	0.00029839906323550177		16.0	41.0	38.0	6.04428896146425	8.30274063205019	8.30274063205019	33.0	6.0	LoF
ATM	1	dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml,cbase,mutpanning	1.3926654474470705e-08	9.174656723686643e-10	16.0	32.0	29.0	48.5091812109283	80.8787941447856	80.8787941447856	25.0	7.0	LoF
