SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.4984414373912e-21	1.713631779881559e-22	1.0	244.0	231.0	10.668218070116499	35.274951967347995	35.274951967347995	162.0	51.0	LoF
EGFR	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.7052758279041735e-38	8.352904870517237e-40	2.0	89.0	75.0	6.09363668723644	0.8552104182125909	0.8552104182125909	51.0	1.0	Act
STK11	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.05630715028022e-16	3.45637118634824e-17	3.0	72.0	65.0	5.012227946056701	51.3781942433121	51.3781942433121	28.0	20.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	9.270218482015393e-24	4.540805178969355e-25	4.0	143.0	139.0	506.91969098870794	24.0690049635959	24.0690049635959	142.0	1.0	Act
BRAF	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.880287716592954e-37	3.8599792814693736e-38	5.0	36.0	33.0	51.023796018247204	19.954889128967306	19.954889128967306	32.0	2.0	Act
KEAP1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.892751920451502e-21	9.271213768655279e-23	6.0	86.0	84.0	19.9007613017492	35.457838892750104	35.457838892750104	70.0	8.0	LoF
RBM10	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	8.290976128134891e-08	4.873374764279958e-09	7.0	28.0	26.0	1.32610419112319	31.1590693468023	31.1590693468023	6.0	14.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.358366137703305e-13	2.1348462895801443e-14	8.0	27.0	25.0	2.55747477953403	35.4400039642502	35.4400039642502	7.0	13.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.798093204570341e-18	1.370582164724742e-19	9.0	31.0	27.0	4.523950225372389	51.915760642268	51.915760642268	14.0	13.0	LoF
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.0313030722923173e-11	5.556763279010931e-13	10.0	53.0	44.0	1.35401770817485	7.99620529751602	7.99620529751602	26.0	12.0	LoF
SETD2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.4711846478467867e-10	7.80678447642128e-12	11.0	38.0	31.0	4.11894376797909	27.957867154783894	27.957867154783894	16.0	12.0	LoF
PIK3CA	1	dndscv,hotmaps,mutpanning	dndscv,hotmaps,mutpanning	5.223402342381771e-12	2.8428495035104563e-13	12.0	25.0	24.0	31.6303387026996	0.0	0.0	25.0	0.0	Act
SMARCA4	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.4591228294477028e-10	7.796924210259464e-12	13.0	43.0	39.0	4.07076166414038	15.149795163068	15.149795163068	27.0	11.0	LoF
ATM	1	dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml,cbase,mutpanning	6.717032662050242e-10	3.5251985497949406e-11	13.0	46.0	41.0	4.354896579512331	10.5680479261441	10.5680479261441	30.0	10.0	LoF
MGA	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.5155798810132484e-09		15.0	43.0	39.0	1.17860888082232	9.50853608080374	9.50853608080374	18.0	15.0	LoF
CMTR2	1	dndscv,oncodrivefml,mutpanning	dndscv,oncodrivefml,mutpanning	1.3150286905330138e-12		16.0	22.0	22.0	18.7501520485888	156.27261351131799	156.27261351131799	12.0	9.0	LoF
CDKN2A	1	dndscv,oncodrivefml,hotmaps,mutpanning	oncodrivefml,hotmaps,mutpanning	3.42390536582646e-10	1.806131367939286e-11	17.0	25.0	22.0	5.67757281863758	13.8396351784757	13.8396351784757	15.0	2.0	LoF
ARID2	1	dndscv,oncodrivefml,mutpanning	dndscv,mutpanning	6.658117174085674e-07	3.872825699130015e-08	18.0	27.0	25.0	1.13248593057284	7.34026720904505	7.34026720904505	13.0	8.0	LoF
MB21D2	1	oncodriveclustl,mutpanning		0.0024840307087446428	0.00046024732858783847	19.0	11.0	10.0	0.972458533373886	1.9987723009795	1.9987723009795	6.0	1.0	LoF
ATF7IP	1	dndscv,cbase,mutpanning	cbase	0.010774642219871372		20.0	15.0	13.0	1.90096068514748	18.4834906070256	18.4834906070256	6.0	6.0	LoF
ATP1A4	1	dndscv,cbase,mutpanning		0.008968890718668751		21.0	19.0	18.0	30.825728912354805	0.0	0.0	19.0	0.0	Act
ZFP36L1	1	oncodriveclustl,oncodrivefml	oncodrivefml	1.6656288640240708e-05		22.0	11.0	11.0	3.1681179017714	31.6875596460035	31.6875596460035	5.0	3.0	LoF
