SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	8.538006567453662e-13	4.472258860680966e-14	1.0	231.0	218.0	11.436675471854501	39.49702855380049	39.49702855380049	151.0	52.0	LoF
EGFR	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.0862430193101447e-32	2.1403985117167364e-33	2.0	79.0	65.0	11.102192743578902	1.6652072783833	1.6652072783833	47.0	1.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	7.938732253218986e-18	4.1583553937955047e-19	3.0	136.0	132.0	776.023788834292	37.89495989276271	37.89495989276271	135.0	1.0	Act
STK11	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	4.5113167053275944e-10	2.544828083074985e-11	4.0	51.0	48.0	6.74883933492968	75.67314542710159	75.67314542710159	19.0	15.0	LoF
RBM10	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	8.419386350648937e-07	5.707220435890044e-08	5.0	26.0	23.0	1.4171115687031002	31.2263724933747	31.2263724933747	6.0	13.0	LoF
BRAF	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	6.319053562224888e-27	3.3099580167231177e-28	6.0	28.0	26.0	65.05000414846779	31.0094595501033	31.0094595501033	26.0	2.0	Act
KEAP1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.474365622906752e-18	7.722815236595237e-20	7.0	85.0	83.0	14.623368772864804	20.945460653744604	20.945460653744604	70.0	6.0	LoF
SETD2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.189603617638708e-11	1.2511935920233652e-12	8.0	34.0	28.0	4.66292202747899	28.8394888052249	28.8394888052249	16.0	11.0	LoF
SMARCA4	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.3992568599190968e-12	7.329391047784256e-14	9.0	34.0	31.0	2.99170639239251	16.6815021840713	16.6815021840713	19.0	11.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.892618240017692e-08	4.685427344532273e-09	10.0	24.0	21.0	3.9337854733602406	45.830495795737896	45.830495795737896	11.0	10.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.690095834467269e-18	8.852822976160422e-20	11.0	20.0	20.0	1.68040145612494	26.6044588436556	26.6044588436556	4.0	9.0	LoF
NF1	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	3.132515128215129e-16	1.640830143160149e-17	12.0	41.0	38.0	1.48813348740519	9.22173710107313	9.22173710107313	20.0	9.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,mutpanning	dndscv,hotmaps,mutpanning	4.809298469098582e-15	2.519139277085391e-16	13.0	22.0	21.0	43.414387536456395	0.0	0.0	22.0	0.0	Act
ATM	1	dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml,cbase,mutpanning	1.2510384786677535e-11	6.553014309689522e-13	14.0	41.0	37.0	8.17829105993605	16.795359992201	16.795359992201	29.0	9.0	LoF
CMTR2	1	dndscv,oncodrivefml,mutpanning	dndscv,oncodrivefml,mutpanning	1.4489435037096209e-06		15.0	20.0	20.0	24.609645737122	240.67468477867598	240.67468477867598	10.0	9.0	LoF
MGA	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.922368941976669e-11		16.0	36.0	33.0	1.15654140180986	7.44093674346383	7.44093674346383	17.0	12.0	LoF
CDKN2A	1	dndscv,oncodrivefml,hotmaps,mutpanning	oncodrivefml,mutpanning	3.52169810060328e-11	1.9984103855533225e-12	17.0	21.0	18.0	7.599717943113282	21.124588682801896	21.124588682801896	13.0	2.0	LoF
COL12A1	1	oncodrivefml,cbase,mutpanning	cbase	7.311485685814458e-05		18.0	50.0	44.0	4.92125474057192	5.49355839109117	5.49355839109117	41.0	6.0	LoF
ARID2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	7.892618240017692e-08	4.685427344532273e-09	19.0	26.0	24.0	1.1004994352873898	7.691442174451799	7.691442174451799	12.0	9.0	LoF
NRXN1	1	dndscv,cbase,mutpanning	dndscv,cbase	3.6219112287347355e-08		20.0	78.0	66.0	3.92214481334767	1.4722440161198798	1.4722440161198798	66.0	3.0	Act
VPS13C	1	cbase,mutpanning	cbase	3.981339116241282e-05		21.0	26.0	26.0	1.7309899219673002	3.90731251704477	3.90731251704477	16.0	5.0	LoF
ATF7IP	1	dndscv,cbase,mutpanning	cbase	4.8102676543152726e-05		21.0	15.0	13.0	2.17169552505548	20.7344240938774	20.7344240938774	6.0	6.0	LoF
STAG2	1	cbase,mutpanning	cbase	1.5893327645137657e-05	1.4337534434860996e-06	23.0	16.0	16.0	24.4361304222299	43.5916320181036	43.5916320181036	13.0	3.0	LoF
ATP1A4	1	dndscv,cbase,mutpanning	cbase	1.6995225533144957e-06		24.0	18.0	18.0	44.81631985810579	0.0	0.0	18.0	0.0	Act
EBF1	1	oncodrivefml,cbase	cbase	0.00014895898250419793	2.3017553525544366e-05	25.0	10.0	10.0	24.8669224314747	48.5289995561104	48.5289995561104	8.0	2.0	LoF
SPATA31A3	1	smregions,mutpanning	mutpanning	0.012478173975787214		26.0	34.0	32.0	1.4865376508020902	0.0	0.0	26.0	0.0	Act
GDF10	3	mutpanning		0.00886592817796483		27.0	14.0	14.0	4.19153549574769	0.0	0.0	12.0	0.0	Act
