SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.154450700964873e-16	1.5929738113485424e-17	1.0	311.0	290.0	12.936382926838698	30.3957803737758	30.3957803737758	251.0	44.0	LoF
NFE2L2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	5.7698899995045776e-15	2.9137509299990787e-16	2.0	70.0	65.0	18.1487840163188	0.0	0.0	68.0	0.0	Act
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	2.3236014145926708e-17	1.173401188462501e-18	3.0	57.0	52.0	4.41697445294128	0.615278974685997	0.615278974685997	50.0	1.0	Act
CDKN2A	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.2408327707268968e-10	8.145945472073206e-12	4.0	47.0	47.0	27.1629675204975	302.546505987471	302.546505987471	27.0	19.0	LoF
FAT1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.63504705251632e-13	2.340663801392839e-14	5.0	59.0	52.0	1.61293891382948	17.931409532648	17.931409532648	30.0	22.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.128490354971298e-20	1.0748715749908931e-21	6.0	17.0	16.0	6.9567472121875715	113.99683332424601	113.99683332424601	6.0	11.0	LoF
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.5253163249527615e-09	3.5512184515339864e-10	7.0	79.0	69.0	1.51064468735519	14.147518645779998	14.147518645779998	39.0	30.0	LoF
PTEN	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	6.733312773074209e-17	3.4002721639761284e-18	8.0	38.0	35.0	5.33712543698093	25.0278884162505	25.0278884162505	23.0	12.0	LoF
RASA1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.8036962223587805e-12		9.0	21.0	19.0	3.19082405141931	32.6169443758382	32.6169443758382	9.0	11.0	LoF
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.1602807419677153e-11	6.696377408054051e-13	10.0	40.0	38.0	1.6009044147463602	9.180872938716616	9.180872938716616	22.0	13.0	LoF
KLF5	1	oncodriveclustl,hotmaps,smregions,mutpanning	hotmaps,smregions,mutpanning	1.331286985653954e-11		11.0	11.0	11.0	5.54217841586344	0.0	0.0	10.0	0.0	Act
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	9.631450617629524e-08	5.906054898113356e-09	12.0	18.0	18.0	1.80896547076973	15.9954964118481	15.9954964118481	10.0	6.0	LoF
KDM6A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.730475590306332e-08	4.183186963788279e-09	12.0	17.0	16.0	10.5524550078602	59.3647279732322	59.3647279732322	11.0	6.0	LoF
HRAS	1	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	7.969467596691748e-07	4.8294252313549015e-08	14.0	6.0	6.0	18.4120146455815	0.0	0.0	6.0	0.0	Act
KEAP1	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase	1.2408327707268968e-10	8.145945472073206e-12	15.0	55.0	47.0	14.060909797661	3.47624446288596	3.47624446288596	48.0	1.0	Act
MB21D2	1	oncodriveclustl,mutpanning	mutpanning	6.341085629618055e-06	4.09140279260686e-07	16.0	16.0	15.0	2.54735083134164	6.213804018083191	6.213804018083191	11.0	2.0	LoF
NSD1	1	dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml,cbase	2.8632673804041063e-06	1.7170400114960152e-07	17.0	25.0	24.0	1.52693858571487	8.80430233234831	8.80430233234831	14.0	8.0	LoF
ARHGAP35	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	0.00011862347468440583		17.0	25.0	23.0	5.652000862302411	25.421056296447702	25.421056296447702	17.0	7.0	LoF
ZNF750	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	9.347215651165315e-11		19.0	6.0	6.0	0.0	29.3711140761232	29.3711140761232	0.0	5.0	LoF
FGFR2	1	oncodriveclustl,hotmaps	hotmaps	7.388054482402096e-05	6.569402453185432e-06	20.0	16.0	14.0	3.5475522931818	0.0	0.0	14.0	0.0	Act
CUL3	1	dndscv,mutpanning	dndscv,mutpanning	1.2408327707268968e-10	8.145945472073206e-12	21.0	15.0	15.0	4.3107440033871	27.2583377413129	27.2583377413129	11.0	3.0	LoF
KMT2C	1	dndscv,cbase,mutpanning	dndscv,cbase	0.0006141591863467922	8.916690507184544e-05	22.0	48.0	46.0	0.76389328733355	3.882542146549	3.882542146549	24.0	14.0	LoF
MAML2	1	oncodrivefml,cbase,mutpanning	oncodrivefml,cbase	0.00033300055640116	3.875055118776082e-05	23.0	15.0	15.0	2.7368115197898	20.5979053862937	20.5979053862937	8.0	6.0	LoF
GALNT2	1	oncodrivefml,cbase,mutpanning	oncodrivefml,cbase	2.287408664372634e-05		23.0	7.0	7.0	4.49669750413011	43.0077986330961	43.0077986330961	3.0	4.0	LoF
PDE4DIP	1	oncodriveclustl,mutpanning		0.0002934877848015771	3.302266230917887e-05	25.0	23.0	21.0	1.75434024872953	0.6305519852991041	0.6305519852991041	18.0	1.0	Act
ZNF80	1	dndscv,mutpanning	dndscv	0.0004018912025315904		26.0	17.0	17.0	2.09852953593318	20.6709066671431	20.6709066671431	7.0	7.0	LoF
SLITRK4	1	dndscv,oncodrivefml,cbase	dndscv,oncodrivefml,cbase	0.00031323373694517557		27.0	24.0	24.0	1.27356684766382	11.455853575471401	11.455853575471401	11.0	8.0	LoF
CYP11B1	1	dndscv,mutpanning	dndscv	0.009033483350562487		28.0	21.0	19.0	11.196374644509303	0.0	0.0	20.0	0.0	Act
MLXIPL	1	oncodrivefml,mutpanning	oncodrivefml	0.00011043929908216111		29.0	9.0	9.0	2.27579015475193	19.676216337339802	19.676216337339802	5.0	3.0	LoF
FBXW7	1	oncodrivefml,hotmaps	hotmaps	1.1543294431246704e-08	7.286595777212872e-10	30.0	21.0	21.0	2.08020930721496	7.60808527058249	7.60808527058249	12.0	6.0	LoF
OR4C12	1	dndscv,hotmaps	dndscv,hotmaps	0.03449222795646163		30.0	35.0	34.0	4.62238832675924	9.13511485450349	9.13511485450349	26.0	3.0	LoF
FAM210A	4	oncodriveclustl		0.15871355627930164		32.0	2.0	2.0	0.7965874941003199	0.0	0.0	1.0	0.0	ambiguous
KIR2DL1	3	oncodriveclustl	oncodriveclustl	0.00024043981277673018		32.0	19.0	17.0	3.62575896321389	8.73508541551562	8.73508541551562	13.0	3.0	LoF
CHD8	3	oncodriveclustl	oncodriveclustl	0.0018456989941389539		32.0	18.0	15.0	2.39281645204784	2.6794750365631	2.6794750365631	15.0	1.0	LoF
DLL1	3	oncodriveclustl	oncodriveclustl	9.954748688223948e-05		32.0	14.0	12.0	1.07529594216111	0.0	0.0	9.0	0.0	Act
ADRA1A	4	oncodriveclustl		0.12617324960640286		36.0	12.0	11.0	1.1580433762590905	0.0	0.0	7.0	0.0	Act
PES1	4	oncodriveclustl		0.1731889329870528		36.0	7.0	6.0	1.50265622093806	0.0	0.0	5.0	0.0	Act
SIPA1L1	4	oncodriveclustl		0.23293600568881326		36.0	21.0	19.0	0.994909868381875	0.659047085903434	0.659047085903434	14.0	1.0	ambiguous
PTGS1	4	oncodriveclustl		0.23443069276213524		36.0	9.0	9.0	1.27563715327092	0.0	0.0	6.0	0.0	Act
MSI1	4	oncodriveclustl		0.16322182116879316		36.0	4.0	4.0	1.97945222974928	0.0	0.0	3.0	0.0	Act
PNLDC1	4	oncodriveclustl		0.41923108704858975		36.0	9.0	9.0	0.364175899447818	0.0	0.0	3.0	0.0	ambiguous
GABBR2	4	oncodriveclustl		0.3654213127630585		36.0	14.0	12.0	1.08945923715867	0.0	0.0	9.0	0.0	Act
RET	2	oncodriveclustl		0.1833716009315993	0.14497847732966845	36.0	19.0	18.0	1.13947812711567	0.8483005338153051	0.8483005338153051	12.0	1.0	Act
TEP1	4	oncodriveclustl		0.1382386845479679		36.0	19.0	16.0	0.9457687179843508	1.17993355644191	1.17993355644191	13.0	0.0	ambiguous
ITPR1	4	oncodriveclustl		0.13726464844211336		36.0	13.0	12.0	1.28687214496849	0.970400010522804	0.970400010522804	10.0	0.0	Act
PABPC4	4	oncodriveclustl		0.1562753109104878		36.0	8.0	6.0	1.30876672509469	2.20453832068729	2.20453832068729	5.0	1.0	LoF
PCDHB1	4	oncodriveclustl		0.3001918745057504		36.0	9.0	8.0	1.78027722852151	0.0	0.0	7.0	0.0	Act
TLL2	4	oncodriveclustl		0.12519799543165644		36.0	12.0	11.0	2.05200600710095	1.7629430548075602	1.7629430548075602	9.0	1.0	Act
MAPK15	4	oncodriveclustl		0.2907710616611335		36.0	7.0	7.0	1.60969704341335	0.0	0.0	5.0	0.0	Act
GABBR1	4	oncodriveclustl		0.3592470393056122		36.0	13.0	12.0	0.905737018816954	0.0	0.0	8.0	0.0	ambiguous
OR5H6	4	oncodriveclustl		0.05264574934187311		36.0	19.0	17.0	3.38295417576129	3.5853282596320897	3.5853282596320897	14.0	1.0	LoF
ZNF630	3	oncodriveclustl		0.0361106301182586		36.0	5.0	5.0	6.39171090271325	0.0	0.0	5.0	0.0	Act
MARCH4	3	oncodriveclustl		0.0254085812834616		36.0	8.0	8.0	4.1124565237892	0.0	0.0	7.0	0.0	Act
SLC30A10	4	oncodriveclustl		0.07847940235753117		36.0	8.0	7.0	2.10018690644465	0.0	0.0	6.0	0.0	Act
CFI	3	oncodriveclustl		0.02116765325730334		36.0	4.0	4.0	4.07979049233792	8.81752380180386	8.81752380180386	3.0	1.0	LoF
NUP210L	3	oncodriveclustl,cbase	cbase	0.00040330775942810096		36.0	35.0	32.0	2.26758020450498	3.35851967771967	3.35851967771967	26.0	4.0	LoF
VNN1	3	oncodriveclustl		0.01986050560653136		36.0	14.0	13.0	3.0846463435210003	5.2341124586795	5.2341124586795	10.0	2.0	LoF
MS4A14	3	oncodriveclustl		0.014708929204572119		36.0	25.0	23.0	5.4689487923497495	3.98590528541035	3.98590528541035	21.0	2.0	Act
KIAA1257	3	oncodriveclustl		0.0020707568335583807		36.0	6.0	6.0	11.0311460560773	0.0	0.0	6.0	0.0	Act
CACNG3	3	oncodriveclustl		0.008814194600811483		36.0	15.0	14.0	3.62179850594379	0.0	0.0	12.0	0.0	Act
CAMTA1	2	oncodriveclustl		0.07944439912315031	0.04337370988474988	36.0	26.0	25.0	1.9111455855382	0.8889348702147859	0.8889348702147859	20.0	1.0	Act
