SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.4133136794158565e-22	2.9327678149116417e-23	1.0	317.0	294.0	13.706655100124099	34.1304015559047	34.1304015559047	252.0	48.0	LoF
CDKN2A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.2297913120697357e-12	6.662633264372876e-14	2.0	52.0	52.0	20.8725491381867	197.750504563714	197.750504563714	31.0	19.0	LoF
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.385882299064759e-07	3.0550331718097945e-08	3.0	83.0	72.0	1.51469747093979	12.2044784816135	12.2044784816135	42.0	30.0	LoF
FAT1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.814409911590079e-13	3.150069488168793e-14	4.0	51.0	48.0	1.2184998688328	13.1269775416147	13.1269775416147	25.0	18.0	LoF
NFE2L2	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	1.2905510912785822e-16	6.991811168070616e-18	4.0	65.0	61.0	18.965679060568	0.0	0.0	63.0	0.0	Act
PTEN	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	3.602397015603433e-16	1.9516685434411325e-17	6.0	31.0	30.0	4.54158812462406	23.011807357591	23.011807357591	17.0	11.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.153324988901599e-21	6.248362108491246e-23	7.0	18.0	17.0	7.62269318480559	131.818351490683	131.818351490683	6.0	12.0	LoF
RASA1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.187195367350795e-11		8.0	21.0	20.0	3.8496912157806302	32.6761626127675	32.6761626127675	10.0	10.0	LoF
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.361957230758707e-12	3.4467138819538927e-13	9.0	34.0	32.0	1.76230809605169	10.3761415624469	10.3761415624469	19.0	11.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	2.162572786145932e-19	1.1716158050713546e-20	9.0	43.0	43.0	6.07674336246029	0.0	0.0	40.0	0.0	Act
KMT2C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.3867605044659958e-08	1.0017392464443022e-09	11.0	36.0	35.0	1.88752898514516	11.364489440883801	11.364489440883801	19.0	14.0	LoF
KDM6A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.402765751540063e-06	9.499694853312505e-08	11.0	18.0	17.0	12.3844527288761	63.962958277888	63.962958277888	12.0	6.0	LoF
KEAP1	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,cbase,mutpanning	3.007026179304775e-12	1.6291148304957283e-13	13.0	47.0	43.0	9.60028697002091	2.65080725780263	2.65080725780263	43.0	1.0	Act
ZNF750	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	5.115468944221318e-10		14.0	6.0	6.0	0.0	31.3802872565982	31.3802872565982	0.0	5.0	LoF
NSD1	1	dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml,cbase	6.046878391135504e-07	4.1496174820384793e-08	15.0	20.0	20.0	1.14241211731576	8.22107173946463	8.22107173946463	10.0	7.0	LoF
FBXW7	1	oncodrivefml,hotmaps,cbase,mutpanning	oncodrivefml,hotmaps,cbase	1.2461751570826392e-12	6.751395926549748e-14	16.0	22.0	22.0	2.31482433126489	9.858971413246712	9.858971413246712	12.0	7.0	LoF
KLF5	1	oncodriveclustl,hotmaps,smregions,mutpanning	hotmaps,smregions,mutpanning	1.5527531245621814e-10		16.0	9.0	9.0	17.211969370584303	0.0	0.0	9.0	0.0	Act
HLA-A	1	dndscv,oncodrivefml,mutpanning	oncodrivefml	6.329122667326337e-05	7.325430937224298e-06	16.0	4.0	3.0	2.15222387543291	75.24619105120999	75.24619105120999	1.0	3.0	LoF
SLITRK4	1	dndscv,oncodrivefml,cbase	dndscv,cbase	1.123981053679632e-05		19.0	20.0	20.0	1.38814971035227	13.4552565179107	13.4552565179107	9.0	7.0	LoF
EP300	1	oncodrivefml,smregions	smregions	3.5890530517065765e-09	2.651507988891789e-10	20.0	14.0	14.0	11.0126302436011	7.52936541724921	7.52936541724921	13.0	1.0	Act
ARID1A	1	oncodrivefml,cbase,mutpanning	cbase	5.6757421475751255e-06	4.441585104696625e-07	21.0	15.0	15.0	1.89244415253152	10.5617023023385	10.5617023023385	10.0	3.0	LoF
TRPS1	1	oncodriveclustl,dndscv,cbase,mutpanning	cbase,mutpanning	1.4628274160941858e-05		22.0	27.0	25.0	26.279946890873603	32.209426019493606	32.209426019493606	24.0	3.0	LoF
GALNT2	1	oncodrivefml,mutpanning	oncodrivefml	5.881396574850662e-11		23.0	5.0	5.0	1.6371488239842702	47.3223133258224	47.3223133258224	1.0	4.0	LoF
ZNF716	1	dndscv,cbase,mutpanning	cbase	0.0007599410590533507		23.0	26.0	25.0	3.87780219073721	12.6203404197682	12.6203404197682	16.0	7.0	LoF
MAML2	1	oncodrivefml,cbase	cbase	1.781842597302267e-08	1.2623779332471422e-09	23.0	15.0	15.0	3.3229605391978403	18.847254441502603	18.847254441502603	9.0	5.0	LoF
HRAS	1	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	7.107553344458825e-05	8.03614968287335e-06	26.0	7.0	7.0	24.3237300358433	0.0	0.0	7.0	0.0	Act
CUL3	1	dndscv,mutpanning	dndscv,mutpanning	5.169645309066703e-06	3.7892577701049686e-07	27.0	11.0	11.0	3.46789962129185	24.369042687810307	24.369042687810307	8.0	2.0	LoF
FAM135B	1	dndscv,cbase	dndscv,cbase	4.760747269427896e-05	5.2765698094700996e-06	27.0	123.0	93.0	2.8968366435061097	2.16319235381974	2.16319235381974	97.0	8.0	Act
OR4C12	1	dndscv,hotmaps	hotmaps	5.186336716850811e-05		27.0	26.0	25.0	3.24672233082582	14.1439744713114	14.1439744713114	16.0	4.0	LoF
ZNF479	1	dndscv,cbase	dndscv,cbase	4.270048544857272e-05	4.4919286619851195e-06	27.0	35.0	32.0	5.7401313868822	12.307258288966901	12.307258288966901	25.0	7.0	LoF
SLC41A2	1	dndscv,mutpanning		0.0001916393671089107		27.0	3.0	3.0	1.6304277201070705	55.4809563940168	55.4809563940168	1.0	2.0	LoF
PRPF19	1	oncodrivefml		0.00023675937145445372		32.0	5.0	5.0	0.61268715649841	14.0407177610916	14.0407177610916	1.0	3.0	LoF
DUSP1	1	oncodrivefml		0.011823446070409627		32.0	2.0	2.0	2.25679665791947	28.9818824031127	28.9818824031127	1.0	1.0	LoF
PDGFC	1	oncodrivefml		4.760747269427896e-05		32.0	5.0	4.0	4.526177832884679	54.8171615361845	54.8171615361845	2.0	3.0	LoF
SPSB4	1	oncodrivefml		0.0010521406094532574		32.0	3.0	3.0	2.5980080113167	86.1805025567716	86.1805025567716	1.0	2.0	LoF
SYNRG	1	oncodrivefml		7.730006322371412e-06		32.0	8.0	8.0	5.46479679274503	25.9270688023807	25.9270688023807	5.0	3.0	LoF
ATG14	1	oncodrivefml	oncodrivefml	5.43538533099384e-06		32.0	3.0	3.0	0.0	37.8337143082165	37.8337143082165	0.0	3.0	LoF
MGAT2	1	oncodrivefml		0.0004912191298824323		32.0	2.0	2.0	0.0	52.1073876845013	52.1073876845013	0.0	2.0	LoF
CCDC115	1	oncodrivefml		0.00030576977812637123		32.0	4.0	4.0	7.194195696835308	52.524780250446796	52.524780250446796	2.0	2.0	LoF
HNRNPUL2-BSCL2	1	oncodrivefml		0.037039300145327116		32.0	4.0	4.0	2.8154308917087	19.034644639287	19.034644639287	2.0	2.0	LoF
TDGF1	1	oncodrivefml		4.9696346995239056e-06		32.0	3.0	2.0	3.3694176782917102	49.943905558532	49.943905558532	1.0	2.0	LoF
SMAD4	1	oncodrivefml		0.00020939993774303544	3.316127962194969e-05	32.0	6.0	6.0	4.69965641303317	49.3493307652811	49.3493307652811	3.0	3.0	LoF
EDNRB	1	oncodrivefml		0.00110098115042834		32.0	17.0	15.0	2.50493477426004	9.02459754757171	9.02459754757171	10.0	4.0	LoF
HIST1H1E	1	oncodrivefml		8.425980317375912e-05		32.0	2.0	2.0	0.0	162.686514239954	162.686514239954	0.0	2.0	LoF
MAZ	1	oncodrivefml		5.679869770270421e-05		32.0	3.0	3.0	3.86001210360973	29.2004820877501	29.2004820877501	2.0	1.0	LoF
CHEK1	1	oncodrivefml	oncodrivefml	0.00020939993774303544		32.0	6.0	6.0	7.081479856120992	36.1649655806909	36.1649655806909	4.0	2.0	LoF
PAK4	1	oncodrivefml		0.00010666901713000348		32.0	2.0	2.0	0.0	39.9258771655729	39.9258771655729	0.0	2.0	LoF
FAM122A	1	oncodrivefml		0.00014981108422399878		32.0	2.0	2.0	0.0	74.4847443863028	74.4847443863028	0.0	2.0	LoF
CLSTN2	1	oncodrivefml		4.760747269427896e-05		32.0	12.0	12.0	3.87145819969598	10.969385079885399	10.969385079885399	9.0	2.0	LoF
LHX6	1	oncodrivefml	oncodrivefml	8.425980317375912e-05		32.0	2.0	2.0	0.0	36.6643107804557	36.6643107804557	0.0	2.0	LoF
FGFR2	1	oncodriveclustl,hotmaps	hotmaps	0.012047019440165741	0.004593797436563012	51.0	16.0	14.0	2.5445090982419	0.0	0.0	13.0	0.0	Act
FSIP2	1	smregions	smregions	8.425980317375912e-05		52.0	34.0	29.0	1.61479345446336	1.06752066500036	1.06752066500036	27.0	2.0	Act
BCAR1	1	smregions	smregions	0.030611462225682718		53.0	8.0	8.0	1.6489805973564802	0.0	0.0	6.0	0.0	Act
UNC80	4	smregions	smregions	0.14547192714584692		54.0	9.0	8.0	0.4863099203265511	0.0	0.0	5.0	0.0	ambiguous
CHD3	3	smregions	smregions	0.002824777795708025		54.0	12.0	11.0	1.94027729270805	0.0	0.0	10.0	0.0	Act
DENND1C	3	smregions	smregions	0.018937554216073932		56.0	4.0	4.0	0.9864260777795212	3.6218567547554703	3.6218567547554703	2.0	1.0	LoF
TMEM200C	4	smregions	smregions	0.06504431402438107		57.0	8.0	8.0	1.9921647539023	0.0	0.0	6.0	0.0	Act
