SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.1942808904777054e-22	5.787808258691761e-24	1.0	380.0	350.0	11.192593178092	27.874134730268306	27.874134730268306	270.0	49.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	3.3807988113004544e-21	1.6384265575239346e-22	2.0	63.0	58.0	4.68074916454675	0.595437489626726	0.595437489626726	55.0	1.0	Act
CDKN2A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.434286148698811e-08	1.042640799533225e-09	3.0	70.0	65.0	12.349703172235598	137.770932325121	137.770932325121	31.0	22.0	LoF
NFE2L2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	4.640791141678885e-11	2.6988635096651782e-12	4.0	78.0	71.0	12.898376337051499	0.0	0.0	71.0	0.0	Act
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.045129962847697734	0.025329898501572055	5.0	111.0	90.0	1.61040914535755	14.700117997865698	14.700117997865698	46.0	35.0	LoF
FAT1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0010079311916893273	0.0002263247673567397	5.0	75.0	62.0	1.4785627427893702	14.6690215185733	14.6690215185733	35.0	22.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.00026128875901839884	4.8118488269802176e-05	7.0	25.0	24.0	7.56966092036546	113.296876227369	113.296876227369	7.0	12.0	LoF
PTEN	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.6487538788992359e-22	7.990307299504773e-24	8.0	51.0	46.0	3.757674309345661	19.7965212012951	19.7965212012951	22.0	12.0	LoF
RASA1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.223700022429475e-11		9.0	30.0	27.0	2.03442410010435	17.4261905727186	17.4261905727186	10.0	11.0	LoF
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.5460112071049768e-07	1.1862948488729476e-08	10.0	49.0	47.0	1.51090686563223	7.70250119313082	7.70250119313082	25.0	14.0	LoF
KDM6A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.9264962125960293e-08	1.4428860933240885e-09	11.0	20.0	18.0	11.7521557793749	56.252389052630996	56.252389052630996	13.0	6.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml,cbase,mutpanning	3.3361998387774857e-10	2.5407056541397947e-11	12.0	30.0	29.0	1.6495510035172098	11.3350040158835	11.3350040158835	13.0	6.0	LoF
HRAS	1	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	9.465887629992572e-11	6.881137809063263e-12	13.0	7.0	7.0	19.483542849293602	0.0	0.0	7.0	0.0	Act
KLF5	1	oncodriveclustl,hotmaps,smregions,mutpanning	hotmaps,smregions,mutpanning	1.2874708882431706e-13		14.0	10.0	10.0	4.7302650389712815	0.0	0.0	9.0	0.0	Act
KEAP1	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase	4.640791141678885e-11	2.6988635096651782e-12	15.0	59.0	50.0	13.741386028137601	3.3454676080736805	3.3454676080736805	49.0	1.0	Act
MB21D2	1	oncodriveclustl,mutpanning	mutpanning	3.0724512039316405e-06	2.65891601057191e-07	16.0	18.0	17.0	2.87078014721276	5.9965113519214	5.9965113519214	13.0	2.0	LoF
CUL3	1	dndscv,mutpanning	dndscv,mutpanning	1.4786574420917232e-09	1.0748960931240328e-10	17.0	16.0	16.0	2.4551407141267902	14.156597709560499	14.156597709560499	11.0	3.0	LoF
NSD1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.2340907307155456e-06	2.821190135562837e-07	17.0	27.0	26.0	2.24695371102632	13.5449159149549	13.5449159149549	15.0	9.0	LoF
ARHGAP35	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.96179841081661e-07		19.0	27.0	25.0	5.46500815895091	24.7789082807625	24.7789082807625	17.0	7.0	LoF
CHD3	1	smregions,mutpanning	smregions,mutpanning	3.02390643664307e-06		20.0	12.0	10.0	1.82030831802668	0.0	0.0	10.0	0.0	Act
TPTE	1	mutpanning	mutpanning	6.547965141922634e-11		21.0	64.0	60.0	3.08492274441015	3.47984968962317	3.47984968962317	47.0	6.0	LoF
PDE4DIP	1	mutpanning	mutpanning	0.0005410057827704818	9.439083406499373e-05	22.0	34.0	32.0	1.64725275075808	1.29222823182136	1.29222823182136	25.0	3.0	Act
CACNA1A	1	oncodrivefml,cbase,mutpanning	cbase,mutpanning	7.522173529542223e-09		23.0	32.0	29.0	9.148254210089892	9.06405995637925	9.06405995637925	28.0	2.0	ambiguous
RBP3	1	mutpanning		0.00934848011025763		24.0	23.0	19.0	2.40590219291487	2.09850078532823	2.09850078532823	18.0	1.0	Act
SLIT2	1	mutpanning		6.670798005047083e-05		25.0	31.0	29.0	1.38817216315556	3.94371440619764	3.94371440619764	20.0	4.0	LoF
AGAP4	4	oncodriveclustl,mutpanning		0.16981658060371355		26.0	13.0	13.0	1.29870095007515	0.0	0.0	9.0	0.0	Act
OTOF	3	cbase,mutpanning	cbase	5.300774361991372e-05		27.0	36.0	35.0	3.04740891844199	5.5531099812642095	5.5531099812642095	27.0	5.0	LoF
ZNF80	3	dndscv,mutpanning	dndscv	3.5911810462244085e-05		28.0	19.0	19.0	1.74599672531973	15.0657402658216	15.0657402658216	8.0	7.0	LoF
ZNF750	3	dndscv,oncodrivefml,mutpanning	dndscv,oncodrivefml	3.160672745348323e-10		29.0	8.0	8.0	0.443317956603576	28.198285485138804	28.198285485138804	1.0	5.0	LoF
ZBBX	3	dndscv,cbase,mutpanning	cbase	4.750138617344541e-05		30.0	39.0	36.0	6.52076095151752	9.418306472933633	9.418306472933633	31.0	6.0	LoF
FN1	3	smregions,cbase,mutpanning	smregions,cbase	7.708322244594825e-08		31.0	35.0	32.0	4.983210903177911	5.23249219841482	5.23249219841482	29.0	4.0	LoF
MAML2	2	oncodrivefml,cbase,mutpanning	cbase	1.854039529945962e-05	2.0778222034599656e-06	32.0	16.0	16.0	1.5752568368773898	11.945707548015498	11.945707548015498	8.0	6.0	LoF
CFH	3	cbase,mutpanning	cbase	0.0003914331477144641		33.0	26.0	25.0	5.395240029636168	10.534432492834	10.534432492834	19.0	6.0	LoF
NUP133	3	mutpanning		8.075082961960652e-05		34.0	14.0	13.0	3.3745948854193	13.6326696399999	13.6326696399999	10.0	3.0	LoF
ZNF716	3	dndscv,cbase,mutpanning	cbase	0.00020718710511892177		34.0	34.0	34.0	4.84695349503693	10.6033569725933	10.6033569725933	24.0	7.0	LoF
SLC44A5	3	mutpanning		0.0006367686822094964		36.0	23.0	21.0	4.81506033219299	9.36507015260499	9.36507015260499	19.0	2.0	LoF
ITGA10	3	mutpanning		0.009300379034049858		37.0	18.0	16.0	2.18881186218905	1.13248978465078	1.13248978465078	14.0	0.0	Act
IBTK	3	mutpanning		0.0009885468814887644		38.0	17.0	17.0	1.38574125014843	5.105846935100209	5.105846935100209	11.0	3.0	LoF
GALNT2	3	oncodrivefml,smregions,mutpanning	oncodrivefml	1.9264962125960293e-08		39.0	6.0	6.0	2.78023116502584	40.42901467086271	40.42901467086271	2.0	4.0	LoF
KCNQ3	3	mutpanning		5.550739758604312e-05		40.0	24.0	23.0	4.99323306379152	4.6501057295378	4.6501057295378	20.0	2.0	Act
CNTNAP4	3	hotmaps,cbase	cbase	1.0888311362957495e-06		41.0	58.0	48.0	3.4322330593346804	3.2022137876931698	3.2022137876931698	46.0	6.0	Act
KIR3DX1	3	dndscv,cbase	cbase	0.00040065164011289023		41.0	16.0	16.0	3.35154206306881	18.572458315823607	18.572458315823607	9.0	5.0	LoF
DPPA4	3	dndscv,cbase	dndscv,cbase	0.000874814943529534		43.0	24.0	24.0	7.333261079352519	15.260292791212098	15.260292791212098	18.0	4.0	LoF
FBXW7	2	oncodrivefml,hotmaps	oncodrivefml,hotmaps	2.335424780073429e-09	1.6348367009123482e-10	44.0	27.0	27.0	2.3252155651623	8.55183757833713	8.55183757833713	14.0	7.0	LoF
RYR2	3	hotmaps,cbase	hotmaps,cbase	9.56132382993112e-06		44.0	271.0	192.0	1.7390027144743898	1.26570452725173	1.26570452725173	207.0	13.0	Act
SLITRK4	3	dndscv,oncodrivefml	dndscv	0.0001718072240370827		46.0	25.0	25.0	0.944393841286018	9.39931836838874	9.39931836838874	10.0	8.0	LoF
COMMD2	3	dndscv,oncodrivefml	oncodrivefml	4.2334496459296e-06		47.0	3.0	3.0	0.0	61.481403199421905	61.481403199421905	0.0	3.0	LoF
TTN	3	oncodriveclustl	oncodriveclustl	2.8530203480979302e-05		47.0	988.0	365.0	0.973054424747966	0.628134055247025	0.628134055247025	538.0	36.0	ambiguous
KIAA1257	3	oncodriveclustl	oncodriveclustl	8.19532390975125e-06		49.0	7.0	7.0	11.839260673406699	0.0	0.0	7.0	0.0	Act
KMT2A	2	oncodriveclustl		0.0990129707952699	0.06639887638680134	50.0	28.0	25.0	1.49953957523534	0.6339462188433411	0.6339462188433411	22.0	1.0	Act
ADRA1A	4	oncodriveclustl		0.055793980615760776		50.0	12.0	11.0	1.5489219407750905	0.0	0.0	8.0	0.0	Act
FGGY	4	oncodriveclustl		0.07421309566428576		50.0	9.0	9.0	0.385825534575494	1.85097491684878	1.85097491684878	3.0	1.0	LoF
CCDC40	4	oncodriveclustl		0.14923663838563478		50.0	16.0	15.0	0.541068819997066	1.1648592803581002	1.1648592803581002	7.0	2.0	LoF
RAD21	2	oncodriveclustl		0.10586375477481506	0.0712181582922571	50.0	10.0	9.0	3.12657041491091	0.0	0.0	8.0	0.0	Act
