SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
BAP1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.3549645651775056e-14	1.0584467853856468e-13	1.0	8.0	8.0	87.08467416685909	1304.8049540501402	1304.8049540501402	4.0	4.0	LoF
NF2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.69581399790816e-11	8.504935311984592e-11	2.0	6.0	6.0	0.0	2073.9489501505104	2073.9489501505104	0.0	6.0	LoF
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	9.39018994448003e-10	2.962480278944364e-09	3.0	9.0	9.0	279.908735251638	713.472393968445	713.472393968445	8.0	1.0	LoF
SETD2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.5737769137330605e-09	4.96505725438793e-09	4.0	6.0	6.0	15.482078369621696	286.311276858677	286.311276858677	2.0	4.0	LoF
LATS2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	2.69581399790816e-11	8.504935311984592e-11	5.0	7.0	6.0	62.052864429936896	402.75379729783896	402.75379729783896	5.0	2.0	LoF
SHROOM1	1	dndscv,smregions,cbase	cbase	2.4482166922445644e-06		6.0	3.0	3.0	25.090606068530693	224.51845565638402	224.51845565638402	2.0	1.0	LoF
NLRP7	1	dndscv,smregions		2.9471561689142448e-06		6.0	3.0	3.0	44.524529914912605	0.0	0.0	3.0	0.0	Act
NDST2	1	dndscv,smregions		1.9194188372980828e-05		6.0	3.0	3.0	36.991965674762994	0.0	0.0	3.0	0.0	Act
NCOR1	1	dndscv,smregions		6.896955963403092e-06	3.626496756568144e-05	6.0	3.0	3.0	12.621496487184599	52.3923590026618	52.3923590026618	2.0	1.0	LoF
PTEN	1	oncodriveclustl,dndscv		0.0009649719701001012	0.009399149709338531	10.0	2.0	2.0	97.9225131053535	0.0	0.0	2.0	0.0	Act
FLG	1	oncodrivefml,smregions	smregions	5.3593558155448025e-06		13.0	3.0	3.0	7.18963829536258	42.4810001776329	42.4810001776329	2.0	1.0	LoF
ALPK3	1	oncodrivefml,smregions		0.00037276687038017545		14.0	3.0	3.0	19.9340800967124	0.0	0.0	3.0	0.0	Act
CCDC168	4	smregions		0.10618532248206998		15.0	6.0	6.0	3.2274506602820403	0.0	0.0	4.0	0.0	Act
NEXMIF	4	smregions		0.08267173312711854		15.0	3.0	3.0	34.0499157265671	0.0	0.0	3.0	0.0	Act
TTN	4	smregions	smregions	0.06339736179831194		15.0	13.0	13.0	0.950524479822568	0.0	0.0	9.0	0.0	ambiguous
OGDHL	3	dndscv,smregions		2.17512814201288e-05		15.0	3.0	3.0	35.39002231643929	0.0	0.0	3.0	0.0	Act
WWP2	3	smregions		0.0003393693997429221		15.0	4.0	3.0	19.8265311224402	0.0	0.0	3.0	0.0	Act
FAT4	4	smregions	smregions	0.14512862086778058	0.8290172512427918	15.0	5.0	5.0	3.56771805793192	0.0	0.0	3.0	0.0	Act
DNHD1	3	smregions		0.003048346730751761		15.0	3.0	3.0	8.29985206338557	0.0	0.0	3.0	0.0	Act
ZNF469	3	oncodriveclustl,oncodrivefml		6.019226183733607e-06		23.0	4.0	3.0	13.0115321986299	0.0	0.0	4.0	0.0	Act
KIAA1211	3	oncodriveclustl		0.004810102220550323		24.0	4.0	3.0	9.64160838452523	65.0355956419201	65.0355956419201	2.0	1.0	LoF
SMURF1	3	oncodriveclustl		0.0011099648204279506		24.0	3.0	2.0	21.493271829161802	0.0	0.0	2.0	0.0	Act
PLEKHG4	3	oncodriveclustl		0.002752155789044603		24.0	2.0	2.0	22.6961053093894	0.0	0.0	2.0	0.0	Act
MYBL1	3	dndscv,oncodrivefml		4.947872723486959e-05		33.0	2.0	2.0	20.386128286728894	144.01242912671302	144.01242912671302	1.0	1.0	LoF
PIPOX	3	dndscv,oncodrivefml		8.873414154876629e-06		68.0	2.0	2.0	33.3038149548673	307.099171431429	307.099171431429	1.0	1.0	LoF
LMO4	3	dndscv,oncodrivefml		7.715996122658705e-05		68.0	2.0	2.0	129.365237680499	0.0	0.0	2.0	0.0	Act
