SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
NF2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.3283837244623254e-17	3.9629188097976486e-17	1.0	5.0	5.0	0.0	1730.99061224668	1730.99061224668	0.0	5.0	LoF
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	2.077353716779799e-13	6.197293724117142e-13	2.0	9.0	9.0	242.382228795789	620.82826677632	620.82826677632	8.0	1.0	LoF
BAP1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.844732785962912e-12	1.4453114963981407e-11	3.0	7.0	7.0	74.0466481740103	887.940669087558	887.940669087558	4.0	3.0	LoF
SETD2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.60529682066764e-12	1.3738814364585886e-11	4.0	5.0	5.0	6.95985793245569	259.536370396361	259.536370396361	1.0	4.0	LoF
LATS2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.1092892758102296e-10	6.292565914864828e-10	5.0	7.0	6.0	52.644879238452795	346.5579118462989	346.5579118462989	5.0	2.0	LoF
PTCH1	1	dndscv,oncodrivefml,mutpanning	mutpanning	1.655693566450394e-07	4.939370346774607e-07	6.0	2.0	2.0	8.06190417928966	216.729432258958	216.729432258958	1.0	1.0	LoF
PHRF1	1	oncodrivefml,mutpanning		5.116771487461073e-05		7.0	3.0	3.0	17.4883597071417	0.0	0.0	3.0	0.0	Act
SRGAP3	1	dndscv,oncodrivefml,smregions		0.0015172773936798086	0.016774448251711382	9.0	3.0	3.0	25.304490517822103	0.0	0.0	3.0	0.0	Act
PTEN	1	oncodriveclustl,dndscv		0.001916916506542329	0.02197172148183697	12.0	2.0	2.0	81.33952634230229	0.0	0.0	2.0	0.0	Act
NOTCH3	4	mutpanning		0.4032961522145932		27.0	2.0	2.0	2.77522302650334	0.0	0.0	1.0	0.0	Act
BLNK	4	mutpanning		0.114102802758417		28.0	2.0	2.0	16.6095909710271	0.0	0.0	1.0	0.0	Act
FLG	3	oncodrivefml,smregions	smregions	0.00016836627173676583		46.0	3.0	3.0	6.390995807466	38.473438785578296	38.473438785578296	2.0	1.0	LoF
PIPOX	3	dndscv,oncodrivefml		9.029335474352056e-06		47.0	2.0	2.0	35.5291956344433	326.907894113238	326.907894113238	1.0	1.0	LoF
LMO4	3	dndscv,oncodrivefml		9.375864561162959e-05		47.0	2.0	2.0	119.860815290394	0.0	0.0	2.0	0.0	Act
ALPK3	3	oncodrivefml,smregions		0.00010733788044691156		49.0	3.0	3.0	17.853678247138607	0.0	0.0	3.0	0.0	Act
ZNF469	3	oncodriveclustl,oncodrivefml		0.0007701900690481158		49.0	4.0	3.0	11.1074929599154	0.0	0.0	4.0	0.0	Act
NLRP7	3	dndscv,smregions		0.00018802305236377163		51.0	3.0	3.0	40.5537072743317	0.0	0.0	3.0	0.0	Act
NDST2	3	dndscv,smregions		0.0005027090332042081		51.0	3.0	3.0	33.776193270262496	0.0	0.0	3.0	0.0	Act
SHROOM1	3	dndscv,smregions,cbase	cbase	0.0013797694534368773		53.0	3.0	3.0	22.97869760192	206.68773342987598	206.68773342987598	2.0	1.0	LoF
NEXMIF	4	dndscv,smregions		0.07130979262577537		54.0	3.0	3.0	29.5933485796428	0.0	0.0	3.0	0.0	Act
PLEKHG4	4	oncodriveclustl		0.06886361159528659		55.0	2.0	2.0	20.472779127831	0.0	0.0	2.0	0.0	Act
KIAA1211	3	oncodriveclustl		0.004326188261724596		55.0	4.0	3.0	9.16260215666219	62.94627412806021	62.94627412806021	2.0	1.0	LoF
SMURF1	3	oncodriveclustl		0.002308198704438366		55.0	3.0	2.0	18.5841727415144	0.0	0.0	2.0	0.0	Act
MMP20	3	dndscv		0.001451059157388521		67.0	2.0	2.0	68.6879507147028	0.0	0.0	2.0	0.0	Act
LRP4	3	oncodrivefml		3.941496084255477e-05		67.0	2.0	2.0	5.2330001313596295	55.999291527831296	55.999291527831296	1.0	1.0	LoF
ITGBL1	3	dndscv		0.0012949281660864823		67.0	2.0	2.0	56.1694850041852	0.0	0.0	2.0	0.0	Act
NLRP9	3	dndscv		7.650045426490968e-05		67.0	3.0	3.0	59.52724854417279	0.0	0.0	3.0	0.0	Act
TTN	4	smregions	smregions	0.12528057228570902		67.0	13.0	13.0	0.926140760294787	0.0	0.0	9.0	0.0	ambiguous
FRMD1	3	dndscv		0.001997913790977354		67.0	2.0	2.0	38.7305970708531	0.0	0.0	2.0	0.0	Act
MROH2B	3	dndscv		0.00020263942129983335		67.0	3.0	3.0	30.004692016416307	0.0	0.0	3.0	0.0	Act
DBX1	3	dndscv		0.0006417361819962606		67.0	2.0	2.0	58.174190229355496	0.0	0.0	2.0	0.0	Act
TECTB	3	dndscv		0.00047126222537541913		67.0	2.0	2.0	81.8421934461399	0.0	0.0	2.0	0.0	Act
OR5F1	3	dndscv		0.0051782188644690814		67.0	2.0	2.0	74.0674119355902	0.0	0.0	2.0	0.0	Act
MYBL1	3	oncodrivefml		3.3042122215744516e-05		92.0	2.0	2.0	17.724074901252802	125.711992629539	125.711992629539	1.0	1.0	LoF
PCLO	3	oncodrivefml		0.002693106087060743		94.0	2.0	2.0	2.896975275193069	31.398623118008494	31.398623118008494	1.0	1.0	LoF
FAT4	4	smregions		0.07534508767516856	0.3724203145719443	94.0	6.0	6.0	4.502357126667901	0.0	0.0	4.0	0.0	Act
NCOR1	2	smregions		0.0004094239504355555	0.0025446240992028513	94.0	3.0	3.0	12.2395716005076	51.42147106006829	51.42147106006829	2.0	1.0	LoF
WWP2	3	smregions		0.0041603043705945655		94.0	4.0	3.0	18.2588767752997	0.0	0.0	3.0	0.0	Act
CCDC168	4	smregions		0.13772877438533015		94.0	6.0	6.0	3.04298545746397	0.0	0.0	4.0	0.0	Act
TMEM132C	3	oncodrivefml		9.927378184065215e-06		99.0	2.0	2.0	10.319826462750699	160.29661928977	160.29661928977	1.0	1.0	LoF
NIN	2	oncodrivefml		0.00010733788044691156	0.0005612924919737929	100.0	2.0	2.0	5.97451984959839	45.7650165053689	45.7650165053689	1.0	1.0	LoF
SPATA31D1	3	oncodrivefml		0.0005996182947960428		100.0	2.0	2.0	10.376849495207301	142.212854809545	142.212854809545	1.0	1.0	LoF
DNMT3B	3	oncodrivefml		3.3329549614797995e-05		100.0	2.0	2.0	14.846550248552699	122.149431620091	122.149431620091	1.0	1.0	LoF
GCN1	3	oncodrivefml		0.03648912632961423		100.0	2.0	2.0	0.0	22.3382629588284	22.3382629588284	0.0	1.0	LoF
DOCK2	3	oncodrivefml		5.116771487461073e-05		100.0	2.0	2.0	7.83246200226765	62.7794107956493	62.7794107956493	1.0	1.0	LoF
MGA	3	oncodrivefml		0.0028909124333185788		100.0	2.0	2.0	9.665335779595653	0.0	0.0	2.0	0.0	Act
SCN11A	3	oncodrivefml		0.0012949281660864823		100.0	2.0	2.0	16.3937991587637	0.0	0.0	2.0	0.0	Act
KLC1	3	oncodrivefml		0.00047126222537541913		100.0	2.0	2.0	39.5034563714447	0.0	0.0	2.0	0.0	Act
VEPH1	3	oncodrivefml		0.0005300671578983154		100.0	2.0	2.0	39.1774861178359	0.0	0.0	2.0	0.0	Act
AKAP6	3	oncodrivefml		0.00161339056879365		100.0	2.0	2.0	13.723237651680801	0.0	0.0	2.0	0.0	Act
SKOR2	3	oncodrivefml		0.0030417242766918907		100.0	2.0	2.0	17.3887759304044	0.0	0.0	2.0	0.0	Act
NRAP	3	oncodrivefml		0.001451059157388521		100.0	2.0	2.0	8.213526466941769	64.3677169917574	64.3677169917574	1.0	1.0	LoF
FHOD3	3	oncodrivefml		5.116771487461073e-05		100.0	2.0	2.0	8.677409341303559	86.43808598964459	86.43808598964459	1.0	1.0	LoF
DNHD1	3	smregions		0.0012603112582613542		113.0	3.0	3.0	7.659766928003679	0.0	0.0	3.0	0.0	Act
OGDHL	3	smregions		0.0016492841259735042		114.0	3.0	3.0	31.6323456387108	0.0	0.0	3.0	0.0	Act
SLIT1	3	oncodrivefml		0.0007701900690481158		115.0	2.0	2.0	14.264733528140097	0.0	0.0	2.0	0.0	Act
TMEM132A	3	oncodrivefml		0.0008304505208882253		116.0	2.0	2.0	19.4085527219028	0.0	0.0	2.0	0.0	Act
SMTN	3	oncodrivefml		0.0009840543686908318		116.0	2.0	2.0	21.205326720561	0.0	0.0	2.0	0.0	Act
EML5	3	oncodrivefml		0.000195495872718608		116.0	2.0	2.0	6.84535046559237	54.1715422417035	54.1715422417035	1.0	1.0	LoF
AVPR2	3	oncodrivefml		0.0003851815561147332		119.0	2.0	2.0	50.4990558497569	0.0	0.0	2.0	0.0	Act
RYR2	3	oncodrivefml		0.01449065880911024		119.0	2.0	2.0	2.6052748647873902	22.459324244286197	22.459324244286197	1.0	1.0	LoF
CCDC86	3	oncodrivefml		0.0005027090332042081		121.0	2.0	2.0	46.3785521458563	0.0	0.0	2.0	0.0	Act
