SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
NF2	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.1576429219618106e-10	7.606079065401253e-10	1.0	13.0	13.0	0.0	1465.07312618585	1465.07312618585	0.0	7.0	LoF
BAP1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.661334624122728e-16	1.6045714820944274e-15	2.0	14.0	14.0	50.26172048136341	726.70606641952	726.70606641952	4.0	4.0	LoF
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.661334624122728e-16	1.6045714820944274e-15	3.0	9.0	9.0	137.528786112988	340.215248413449	340.215248413449	8.0	1.0	LoF
LATS2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.620992742370118e-10	1.3539756166587485e-09	4.0	7.0	6.0	32.553840818952196	205.954173175825	205.954173175825	5.0	2.0	LoF
SETD2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.6931992763743753e-09	8.8961185272126e-09	5.0	7.0	7.0	8.39159048706491	153.849399948436	153.849399948436	2.0	4.0	LoF
LMO4	1	dndscv,oncodrivefml		0.0006878496448041165		6.0	2.0	2.0	75.5481837157851	0.0	0.0	2.0	0.0	Act
SETDB1	1	dndscv,oncodrivefml		0.0023896162483632018	0.0186327345453608	6.0	2.0	2.0	0.0	54.1400962258084	54.1400962258084	0.0	1.0	LoF
PTCH1	1	dndscv,oncodrivefml		0.0001565189783521595	0.0006463206461298634	6.0	3.0	3.0	10.705367576232302	68.5380113544209	68.5380113544209	2.0	0.0	Act
PIPOX	1	dndscv,oncodrivefml		0.00010601295033679244		6.0	2.0	2.0	19.009249416472198	172.012646227502	172.012646227502	1.0	1.0	LoF
TOP2A	4	mutpanning		0.2496479558918329		21.0	2.0	2.0	6.35567525772141	0.0	0.0	1.0	0.0	Act
ENOX2	4	mutpanning		0.2806412820582727		39.0	2.0	2.0	11.913180072737902	0.0	0.0	1.0	0.0	Act
SHROOM1	3	dndscv,smregions,cbase	cbase	0.0027266250563615533		45.0	3.0	3.0	13.1363952472586	111.345304376495	111.345304376495	2.0	1.0	LoF
EML5	3	oncodrivefml,smregions		0.0007966120530123539		45.0	3.0	3.0	7.52637322060959	29.357208556864705	29.357208556864705	2.0	1.0	LoF
ALPK3	3	oncodrivefml,smregions		0.0005005407791737953		45.0	3.0	3.0	11.531842469367001	0.0	0.0	3.0	0.0	Act
FLG	3	oncodrivefml,smregions		0.0004030531577784277		45.0	3.0	3.0	3.6572493038218097	21.225040202994002	21.225040202994002	2.0	1.0	LoF
SRGAP3	2	oncodrivefml,smregions		0.0027266250563615533	0.02395333609728116	45.0	3.0	3.0	13.7005818345293	0.0	0.0	3.0	0.0	Act
RPTOR	3	oncodriveclustl,oncodrivefml		0.0008813311865080908		50.0	3.0	2.0	14.5614508705276	0.0	0.0	3.0	0.0	Act
ZBTB20	3	oncodrivefml		0.0013082025674251321		51.0	2.0	2.0	13.650260589565802	0.0	0.0	2.0	0.0	Act
SPATA31D1	3	oncodrivefml		0.0002696075439929736		51.0	2.0	2.0	6.0460747811775	78.8822589049399	78.8822589049399	1.0	1.0	LoF
PCLO	3	oncodrivefml		0.000483707753872217		51.0	2.0	2.0	1.62589713339753	17.2465942285434	17.2465942285434	1.0	1.0	LoF
NIN	2	oncodrivefml		0.0002696075439929736	0.0010702846947704227	51.0	2.0	2.0	3.55468817964069	26.8112916648388	26.8112916648388	1.0	1.0	LoF
FHOD3	3	oncodrivefml		0.00020513370488903012		51.0	2.0	2.0	5.30357889988511	51.460423911490295	51.460423911490295	1.0	1.0	LoF
DOCK2	3	oncodrivefml		0.00016166190320707267		51.0	2.0	2.0	5.0580463377706915	39.4808140332386	39.4808140332386	1.0	1.0	LoF
MYBL1	3	oncodrivefml		0.0001565189783521595		51.0	2.0	2.0	11.1350160015068	78.2345373854489	78.2345373854489	1.0	1.0	LoF
LRP4	3	oncodrivefml		0.00010601295033679244		51.0	2.0	2.0	2.9167666217266803	30.1007355305207	30.1007355305207	1.0	1.0	LoF
DNMT3A	2	oncodrivefml		7.034581436348461e-05	0.00019768916637846385	51.0	2.0	2.0	7.23036301013403	73.0011295428038	73.0011295428038	1.0	1.0	LoF
TMEM132C	3	oncodrivefml		7.034581436348461e-05		51.0	2.0	2.0	6.15790280238723	93.1562019597353	93.1562019597353	1.0	1.0	LoF
NRAP	3	oncodrivefml		0.000483707753872217		51.0	2.0	2.0	4.5445000432958	35.1849854402955	35.1849854402955	1.0	1.0	LoF
KLC1	3	oncodrivefml		0.0018323250166184558		51.0	2.0	2.0	20.7566395963062	0.0	0.0	2.0	0.0	Act
SLIT1	3	oncodrivefml		0.0016518943209809186		51.0	2.0	2.0	8.01784428024455	0.0	0.0	2.0	0.0	Act
PLEKHG3	4	oncodrivefml		0.07692742918976297		51.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	ambiguous
SKOR2	3	oncodrivefml		0.0013082025674251321		51.0	2.0	2.0	9.95494621559049	0.0	0.0	2.0	0.0	Act
GCN1	3	oncodrivefml		0.0328896163862404		51.0	2.0	2.0	0.0	23.6069987476303	23.6069987476303	0.0	1.0	LoF
HTT	3	oncodrivefml		0.0019886430030505464		51.0	2.0	2.0	0.0	23.007914211504893	23.007914211504893	0.0	1.0	LoF
HTR7	3	oncodrivefml	oncodrivefml	0.013313335049940409		51.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	ambiguous
SCN11A	3	oncodrivefml		0.002667743109721133		51.0	2.0	2.0	10.185347574261801	0.0	0.0	2.0	0.0	Act
MGA	3	oncodrivefml		0.004293784016189211		51.0	3.0	3.0	5.36202944788124	0.0	0.0	2.0	0.0	Act
AKAP6	3	oncodrivefml		0.003266190233473673		51.0	2.0	2.0	8.26848579976368	0.0	0.0	2.0	0.0	Act
VEPH1	3	oncodrivefml		0.0019886430030505464		51.0	2.0	2.0	21.3545568896419	0.0	0.0	2.0	0.0	Act
PHRF1	3	oncodrivefml		0.00012951310339937702		73.0	3.0	3.0	9.62134557867484	0.0	0.0	3.0	0.0	Act
DNAH6	3	oncodrivefml		0.0023896162483632018		73.0	2.0	2.0	1.95947865037445	15.6799373879605	15.6799373879605	1.0	1.0	LoF
CCDC86	3	oncodrivefml		0.0018530073074407246		75.0	2.0	2.0	29.4257826298206	0.0	0.0	2.0	0.0	Act
AVPR2	3	oncodrivefml		0.0015019776686154935		75.0	2.0	2.0	31.923511914817706	0.0	0.0	2.0	0.0	Act
OGDHL	3	dndscv,smregions		0.004108840399292674		78.0	3.0	3.0	20.8287217535731	0.0	0.0	3.0	0.0	Act
C2orf81	4	dndscv		0.06173120556950237		80.0	2.0	2.0	7.8289836291088095	0.0	0.0	1.0	0.0	Act
NLRP9	3	dndscv		0.0006545762348998119		80.0	3.0	3.0	29.8126054802564	0.0	0.0	3.0	0.0	Act
POLR2G	3	dndscv		0.040969165900004316		80.0	2.0	2.0	48.578459164700796	0.0	0.0	1.0	0.0	Act
DTWD1	3	dndscv		0.0004807293372447256		80.0	2.0	2.0	30.9458734878895	253.471721778897	253.471721778897	1.0	1.0	LoF
ARID2	4	dndscv		0.4479970014729096	0.42525633285960507	80.0	4.0	4.0	4.03733383478653	0.0	0.0	1.0	0.0	Act
TM9SF2	4	dndscv		0.07963371316225101		80.0	2.0	2.0	12.815985100350304	0.0	0.0	1.0	0.0	Act
ZNF469	3	oncodriveclustl		0.0013710314566362245		141.0	4.0	3.0	6.227677952475751	0.0	0.0	4.0	0.0	Act
PTEN	2	oncodriveclustl		0.0199630146042737	0.18924398303916226	141.0	2.0	2.0	44.4178097314859	0.0	0.0	2.0	0.0	Act
SMURF1	3	oncodriveclustl		0.01874499648620496		141.0	3.0	2.0	15.5905139812645	0.0	0.0	2.0	0.0	Act
TTN	3	smregions		0.012897317803494174		141.0	12.0	12.0	1.06029687364953	0.0	0.0	9.0	0.0	Act
KIAA1211	3	oncodriveclustl		0.00017887206647016577		141.0	4.0	3.0	9.003354411080641	59.256031010026796	59.256031010026796	2.0	1.0	LoF
USH2A	3	smregions		0.008377127472499774		141.0	4.0	4.0	4.2186633405420295	0.0	0.0	3.0	0.0	Act
BAZ2B	3	smregions		0.0036471105916388133		158.0	3.0	3.0	10.2846059779405	0.0	0.0	3.0	0.0	Act
NCOR1	2	smregions		0.0011311219088820045	0.006811570278993828	158.0	3.0	3.0	7.20541054189917	29.5604717057894	29.5604717057894	2.0	1.0	LoF
NDST2	3	smregions		0.0019347889977357718		158.0	3.0	3.0	19.963019747959798	0.0	0.0	3.0	0.0	Act
WWP2	3	smregions		0.002667743109721133		161.0	4.0	3.0	17.498469164854697	0.0	0.0	3.0	0.0	Act
CCDC168	3	smregions		0.028213736953068107		161.0	6.0	6.0	3.3887686651413897	0.0	0.0	4.0	0.0	Act
DNHD1	3	smregions		0.0018323250166184558		161.0	3.0	3.0	4.12164048333592	0.0	0.0	3.0	0.0	Act
RYR2	3	smregions		0.0008263479175349179		161.0	3.0	3.0	1.2865097397592802	10.898939656789501	10.898939656789501	1.0	1.0	LoF
FAT4	2	smregions		0.003266190233473673	0.027896776370717653	161.0	6.0	6.0	4.8732823892196695	0.0	0.0	4.0	0.0	Act
