SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	8.500192773323634e-10	3.3118237417375693e-09	1.0	11.0	11.0	325.378378838701	1151.22245466517	1151.22245466517	9.0	2.0	LoF
NF2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.6233802766223677e-07	6.324973427495891e-07	2.0	6.0	6.0	0.0	2667.94736828992	2667.94736828992	0.0	6.0	LoF
BAP1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.937761380812278e-12	1.1446032046552756e-11	3.0	7.0	7.0	74.32463831489221	1568.09197363344	1568.09197363344	3.0	4.0	LoF
SETD2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.6652086666761536e-11	1.038411901278742e-10	4.0	6.0	6.0	19.6615886790702	373.664834905267	373.664834905267	2.0	4.0	LoF
LATS2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.029758658525361e-08	1.570064439086657e-07	5.0	6.0	5.0	52.87477248915261	457.843240410111	457.843240410111	4.0	2.0	LoF
TTN	1	smregions	smregions	0.04273187065647936		6.0	10.0	10.0	0.6533790447840201	0.0	0.0	6.0	0.0	ambiguous
FLG	1	oncodrivefml,smregions	smregions	4.0604402575146495e-06		7.0	3.0	3.0	7.96354158990821	50.830566332614794	50.830566332614794	2.0	1.0	LoF
FAT4	4	smregions	smregions	0.05144268419409362	0.5295803861078016	8.0	5.0	5.0	3.85921354345293	0.0	0.0	3.0	0.0	Act
CCDC168	4	smregions		0.15477204788518975		9.0	5.0	5.0	2.81106136947969	0.0	0.0	3.0	0.0	Act
NLRP7	3	dndscv,smregions		1.804737557758244e-05		10.0	3.0	3.0	48.862755677716294	0.0	0.0	3.0	0.0	Act
NCOR1	2	smregions		1.804737557758244e-05	9.375430810066504e-05	12.0	3.0	3.0	12.3685956543065	53.145097665131594	53.145097665131594	2.0	1.0	LoF
ALPK3	3	oncodrivefml,smregions		0.0006121401955240897		13.0	3.0	3.0	22.657780738747892	0.0	0.0	3.0	0.0	Act
OGDHL	3	dndscv,oncodrivefml,smregions		5.334350881167936e-05		14.0	3.0	3.0	37.01700202189871	0.0	0.0	3.0	0.0	Act
NEXMIF	4	dndscv,smregions		0.059770502385209014		15.0	3.0	3.0	35.9892784136282	0.0	0.0	3.0	0.0	Act
GSTT4	3	oncodriveclustl,dndscv	oncodriveclustl,dndscv	2.2865364252541665e-05		16.0	4.0	4.0	277.798716479109	0.0	0.0	4.0	0.0	Act
PTEN	2	oncodriveclustl,dndscv		0.0009641428147010387	0.0093911724983858	19.0	2.0	2.0	108.320006247359	0.0	0.0	2.0	0.0	Act
PIPOX	3	dndscv,oncodrivefml		0.0007583613613602204		55.0	2.0	2.0	29.459602427005702	280.123696869358	280.123696869358	1.0	1.0	LoF
MYBL1	3	dndscv,oncodrivefml		0.0007626020998437795		55.0	2.0	2.0	23.687309162519398	171.99666531744703	171.99666531744703	1.0	1.0	LoF
DNMT3B	3	dndscv,oncodrivefml		0.0015052601230196227		55.0	2.0	2.0	20.4396633881527	170.241808999902	170.241808999902	1.0	1.0	LoF
LMO4	3	dndscv,oncodrivefml		0.0026566427139143554		55.0	2.0	2.0	136.385182746791	0.0	0.0	2.0	0.0	Act
DCLRE1B	3	dndscv,oncodrivefml		0.01276942892994387		55.0	2.0	2.0	69.32619588072829	0.0	0.0	2.0	0.0	Act
SHROOM1	3	dndscv,oncodrivefml		0.0015195735912292409		55.0	2.0	2.0	12.743095193791802	248.191051676254	248.191051676254	1.0	1.0	LoF
ZNF469	3	oncodriveclustl,oncodrivefml		8.128228817612118e-05		96.0	3.0	2.0	9.43814830352167	0.0	0.0	3.0	0.0	Act
DBX1	3	dndscv		0.03315500554551469		97.0	2.0	2.0	73.164612012511	0.0	0.0	2.0	0.0	Act
MMP20	3	dndscv		0.047326664763679686		97.0	2.0	2.0	79.3475747660406	0.0	0.0	2.0	0.0	Act
NLRP9	3	dndscv		0.005016837216136858		97.0	3.0	3.0	68.0103685686081	0.0	0.0	3.0	0.0	Act
GPRC5C	3	dndscv		0.009185129100430112		97.0	2.0	2.0	62.940234746592395	0.0	0.0	2.0	0.0	Act
KIAA1211	3	oncodriveclustl		0.003352144533396632		119.0	3.0	2.0	5.44028966621953	79.068694862471	79.068694862471	1.0	1.0	LoF
PLEKHG4	3	oncodriveclustl		0.0026566427139143554		119.0	2.0	2.0	23.920755827416606	0.0	0.0	2.0	0.0	Act
LRP4	3	oncodrivefml		0.0009296846876455752		125.0	2.0	2.0	6.03709194241868	66.57961416399701	66.57961416399701	1.0	1.0	LoF
TMEM132C	3	oncodrivefml		0.0006740147672284985		126.0	2.0	2.0	12.565864913303699	205.156190226289	205.156190226289	1.0	1.0	LoF
NRAP	3	oncodrivefml		8.728257472242622e-05		127.0	2.0	2.0	10.097217251030699	82.5977154246303	82.5977154246303	1.0	1.0	LoF
GCN1	4	oncodrivefml		0.07605143197969848		127.0	2.0	2.0	0.0	33.0189808661333	33.0189808661333	0.0	1.0	LoF
SKOR2	3	oncodrivefml		0.000583671910415843		127.0	2.0	2.0	19.9664773323919	0.0	0.0	2.0	0.0	Act
MGA	3	oncodrivefml		0.021933723732470045		127.0	2.0	2.0	15.0991937695189	0.0	0.0	2.0	0.0	Act
NIN	2	oncodrivefml		0.0025896531030760433	0.0210967318615718	127.0	2.0	2.0	6.9833083205343405	55.2925520262233	55.2925520262233	1.0	1.0	LoF
AKAP6	3	oncodrivefml		0.01629811658600757		127.0	2.0	2.0	16.18145935559	0.0	0.0	2.0	0.0	Act
VEPH1	3	oncodrivefml		0.007808088564559661		127.0	2.0	2.0	47.2506623338843	0.0	0.0	2.0	0.0	Act
