SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
NF2	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.970562912431131e-14	6.322421959890738e-14	1.0	13.0	13.0	0.0	1454.58858796962	1454.58858796962	0.0	7.0	LoF
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.388058429073812e-13	1.359607659680486e-12	2.0	11.0	11.0	159.465347169722	532.802637636627	532.802637636627	9.0	2.0	LoF
BAP1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.587201201952762e-20	1.6148281961171104e-19	3.0	14.0	14.0	47.060859181794214	697.217273129091	697.217273129091	4.0	4.0	LoF
LATS2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.717011646468352e-14	1.0039490459498312e-13	4.0	10.0	8.0	38.0383018043114	206.74407061720902	206.74407061720902	6.0	2.0	LoF
SETD2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.930766759304664e-11	6.237721490699181e-11	5.0	9.0	8.0	13.347638680390801	163.611830093013	163.611830093013	3.0	4.0	LoF
PTCH1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase	9.543619146145653e-06	2.369761351164824e-05	6.0	4.0	3.0	11.014277981910698	144.59773544691998	144.59773544691998	2.0	1.0	LoF
SETDB1	1	dndscv,oncodrivefml		0.009117342976919105	0.04096836246329662	7.0	2.0	2.0	0.0	58.4874629436897	58.4874629436897	0.0	1.0	LoF
NLRP7	1	dndscv,smregions		0.004644439453300697		7.0	3.0	3.0	24.112059802603504	0.0	0.0	3.0	0.0	Act
LMO4	1	dndscv,oncodrivefml		0.0034099422551894173		7.0	2.0	2.0	76.1031706441164	0.0	0.0	2.0	0.0	Act
SHROOM1	1	dndscv,smregions,cbase	cbase	0.014208620044469903		7.0	3.0	3.0	13.5177458762512	119.49069514575001	119.49069514575001	2.0	1.0	LoF
MYBL1	1	dndscv,oncodrivefml		0.00020578173462242532		7.0	2.0	2.0	11.687434329738801	82.3530753993683	82.3530753993683	1.0	1.0	LoF
PIPOX	1	dndscv,oncodrivefml		0.0007381800155423957		7.0	2.0	2.0	21.898525532084694	199.52433260140702	199.52433260140702	1.0	1.0	LoF
CNTNAP2	1	dndscv,smregions		0.02506647379285989	0.19020589964611892	7.0	3.0	3.0	14.7041557999674	0.0	0.0	3.0	0.0	Act
GSTT4	1	oncodriveclustl,dndscv	oncodriveclustl,dndscv	1.7310859712566892e-06		48.0	4.0	4.0	133.74566634864598	0.0	0.0	4.0	0.0	Act
EML5	1	oncodrivefml,smregions		0.004644439453300697		50.0	3.0	3.0	8.24439081704061	32.2688176146771	32.2688176146771	2.0	1.0	LoF
