SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
NF2	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.125612024747126e-09	1.394870753299504e-08	1.0	13.0	13.0	0.0	2076.9841546434805	2076.9841546434805	0.0	7.0	LoF
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	1.7414989773356426e-09	4.739270117711119e-09	2.0	10.0	10.0	231.336493759981	876.5545762728709	876.5545762728709	8.0	2.0	LoF
BAP1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.849003377537892e-14	7.753203848032506e-14	3.0	13.0	13.0	72.4654442155541	1078.02402538179	1078.02402538179	4.0	4.0	LoF
SETD2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.7414989773356426e-09	4.739270117711119e-09	4.0	9.0	8.0	19.548970677602	237.219872772347	237.219872772347	3.0	4.0	LoF
LATS2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	5.251243727546705e-11	1.4290598388323662e-10	5.0	9.0	7.0	50.1600799177144	326.193343360183	326.193343360183	5.0	2.0	LoF
PTEN	1	oncodriveclustl,dndscv		0.008327764130297054	0.0995199598929774	6.0	2.0	2.0	82.0198349142418	0.0	0.0	2.0	0.0	Act
PIPOX	1	dndscv,oncodrivefml		2.2415242402846732e-05		9.0	2.0	2.0	27.9824793341816	255.931547286497	255.931547286497	1.0	1.0	LoF
MYBL1	1	dndscv,oncodrivefml		4.164189670288064e-05		9.0	2.0	2.0	17.4681312517974	121.54609367143	121.54609367143	1.0	1.0	LoF
HTT	1	dndscv,oncodrivefml		0.001386592065087916		9.0	2.0	2.0	0.0	36.997628689930394	36.997628689930394	0.0	1.0	LoF
SETDB1	1	dndscv,oncodrivefml		0.0012932142158422536	0.010809338779582236	12.0	2.0	2.0	0.0	102.34931875139401	102.34931875139401	0.0	1.0	LoF
ZNF469	1	oncodriveclustl,oncodrivefml		0.001902782641996326		13.0	4.0	3.0	9.85168244462481	0.0	0.0	4.0	0.0	Act
GOLGB1	4	mutpanning		0.4930191435700842		19.0	3.0	3.0	2.80942305962256	0.0	0.0	1.0	0.0	Act
UHRF1BP1L	4	mutpanning		0.29686440732807284		30.0	2.0	2.0	6.1028880364806115	0.0	0.0	1.0	0.0	Act
ENOX2	4	mutpanning		0.20457980293876815		35.0	2.0	2.0	14.085521420330696	0.0	0.0	1.0	0.0	Act
FSIP2	4	mutpanning		0.4134852003269544		43.0	2.0	2.0	1.94572228730832	0.0	0.0	1.0	0.0	Act
ALPK3	3	oncodrivefml,smregions		0.00016440209026807748		49.0	3.0	3.0	15.941173910432699	0.0	0.0	3.0	0.0	Act
FLG	3	oncodrivefml,smregions	smregions	0.0005125748757399463		49.0	3.0	3.0	5.7396025947908695	33.8439337400486	33.8439337400486	2.0	1.0	LoF
SHROOM1	3	dndscv,smregions,cbase	cbase	0.001178411373309134		51.0	3.0	3.0	20.7739280395208	185.59811720199505	185.59811720199505	2.0	1.0	LoF
KIAA1211	3	oncodriveclustl		0.007332620443418258		52.0	4.0	3.0	8.980383770824051	60.458476693988885	60.458476693988885	2.0	1.0	LoF
SMURF1	3	oncodriveclustl		0.0056460281896323185		52.0	3.0	2.0	20.1006254953825	0.0	0.0	2.0	0.0	Act
PLEKHG4	4	oncodriveclustl		0.09687929660346456		52.0	2.0	2.0	19.0321708098925	0.0	0.0	2.0	0.0	Act
NDST2	3	dndscv,smregions		0.0007077460296315887		62.0	3.0	3.0	31.1797492591513	0.0	0.0	3.0	0.0	Act
NLRP7	3	dndscv,smregions		0.00014945022714838048		62.0	3.0	3.0	36.7159938394778	0.0	0.0	3.0	0.0	Act
OGDHL	3	dndscv,smregions		0.0016423879788616945		64.0	3.0	3.0	29.7985522393188	0.0	0.0	3.0	0.0	Act
KLC1	3	oncodrivefml		0.0005764623932822362		65.0	2.0	2.0	33.7326533609954	0.0	0.0	2.0	0.0	Act
EML5	3	oncodrivefml		0.0005125748757399463		65.0	2.0	2.0	6.076862411079	47.7662832502981	47.7662832502981	1.0	1.0	LoF
NIN	2	oncodrivefml		0.00039100972002377216	0.00212816740745763	65.0	2.0	2.0	5.31084035602221	39.4208514988203	39.4208514988203	1.0	1.0	LoF
GCN1	3	oncodrivefml		0.033827136011324616		65.0	2.0	2.0	0.0	22.359026363445395	22.359026363445395	0.0	1.0	LoF
