SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.969109072956799e-14	7.240515088496424e-15	1.0	215.0	214.0	229.760148721443	683.128293791244	683.128293791244	182.0	31.0	LoF
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.3549689570257114e-06	7.395593761318587e-07	2.0	15.0	15.0	4.44591101021208	54.225414277969	54.225414277969	7.0	8.0	LoF
BRCA1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.348622256105509e-06	4.748122004659261e-07	3.0	8.0	8.0	0.773492603719452	55.276748466704596	55.276748466704596	1.0	7.0	LoF
NRAS	1	oncodriveclustl,dndscv,hotmaps		1.2429991335975302e-05	2.2616324827876127e-06	4.0	5.0	5.0	24.6563439144978	55.5449879204685	55.5449879204685	4.0	1.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	hotmaps,mutpanning	3.348764224952061e-07	8.124086057811568e-08	4.0	5.0	5.0	31.1701377940448	0.0	0.0	5.0	0.0	Act
ARHGAP35	1	dndscv,oncodrivefml,cbase	cbase	6.824790868594001e-08		6.0	10.0	8.0	1.23415862553324	29.1945107550078	29.1945107550078	3.0	5.0	LoF
LRRC30	1	dndscv,oncodrivefml,cbase		1.074078949359818e-05		7.0	4.0	3.0	7.45479338024791	190.11308193935295	190.11308193935295	2.0	2.0	LoF
CDK12	1	dndscv,oncodrivefml,cbase		3.3907289516697948e-06	6.169419213696572e-07	7.0	6.0	6.0	2.86203242104227	42.86023286946821	42.86023286946821	3.0	3.0	LoF
GNAS	1	oncodriveclustl,smregions,cbase		1.5481050802550375e-05	2.8757128719815613e-06	9.0	4.0	4.0	2.15557784204213	30.398677480208306	30.398677480208306	2.0	2.0	LoF
CACNG6	1	dndscv,oncodrivefml,cbase		4.709431893577927e-05		10.0	3.0	3.0	3.90985777196602	117.384579155753	117.384579155753	1.0	2.0	LoF
ZNF133	1	oncodriveclustl,smregions,mutpanning	oncodriveclustl,smregions,mutpanning	9.520412896380892e-10		11.0	8.0	8.0	8.33633515881997	0.0	0.0	7.0	0.0	Act
IGSF3	1	oncodrivefml,cbase		0.0015306900415839409		12.0	9.0	8.0	8.33240181199987	12.9818706090291	12.9818706090291	8.0	1.0	LoF
DOCK5	1	oncodrivefml,cbase		1.5481050802550375e-05		12.0	7.0	6.0	4.02173714762847	11.9699343968589	11.9699343968589	5.0	2.0	LoF
NOTCH4	1	dndscv,smregions,cbase		0.0003710106784549099		14.0	12.0	12.0	4.7412675790099685	16.7891199645843	16.7891199645843	10.0	1.0	LoF
TAS2R1	1	dndscv,cbase	dndscv	5.7373235132923495e-05		14.0	8.0	8.0	28.1330474833009	103.90303490707701	103.90303490707701	7.0	1.0	LoF
CUL9	3	cbase		0.00017231127759719775		16.0	9.0	7.0	5.15714024176462	6.708027311648982	6.708027311648982	8.0	1.0	LoF
SNTG1	3	cbase		0.00017914458429861994		16.0	5.0	5.0	7.33181109730318	33.313256702421896	33.313256702421896	3.0	2.0	LoF
DNAH3	3	cbase		0.012035211695619292		16.0	18.0	18.0	3.0920635910113	6.59331865965528	6.59331865965528	14.0	2.0	LoF
PALB2	2	cbase		0.0002646364980843257	9.187844534743963e-05	16.0	6.0	6.0	4.5028550384797805	23.4504521210476	23.4504521210476	4.0	2.0	LoF
SCN10A	4	cbase		0.052749622100956135		16.0	6.0	6.0	3.5892520756244504	20.4260896899865	20.4260896899865	4.0	2.0	LoF
PIKFYVE	3	cbase		0.0041075661116039		16.0	8.0	8.0	4.3148797056537305	11.489362709058199	11.489362709058199	6.0	2.0	LoF
TICRR	3	cbase		0.0044462403621080135		16.0	7.0	7.0	3.4832001342308505	15.0529354481071	15.0529354481071	5.0	2.0	LoF
LCT	3	cbase		0.0022580263128126835		16.0	11.0	11.0	4.48877573068282	6.100228953710589	6.100228953710589	9.0	1.0	LoF
TENM1	3	cbase		0.005111693349812886		16.0	12.0	12.0	7.26199115517994	0.0	0.0	12.0	0.0	Act
MDN1	3	cbase		0.0012749059202460955		16.0	16.0	16.0	3.1392768511095	1.8900580081152	1.8900580081152	14.0	1.0	Act
PLCH1	3	cbase		0.0005035947134142098		16.0	8.0	8.0	6.02213687849123	8.25244565151938	8.25244565151938	7.0	1.0	LoF
IQGAP2	3	cbase		0.0012589466353844572		16.0	9.0	9.0	7.85637532410087	7.43849042243497	7.43849042243497	8.0	1.0	Act
BRCA2	2	cbase		0.0001811621171689956	4.639150129084692e-05	16.0	6.0	6.0	1.5570776560044302	17.0432660888861	17.0432660888861	3.0	3.0	LoF
MAP3K19	3	cbase		0.0008900949482715084		16.0	9.0	9.0	8.054790875671241	11.221395637343399	11.221395637343399	8.0	1.0	LoF
TLE4	3	oncodrivefml,cbase		0.0005035947134142098		16.0	4.0	4.0	2.9896356143854903	24.6218462419122	24.6218462419122	2.0	2.0	LoF
MYH9	2	cbase		0.005614613221707101	0.004310942789202649	16.0	5.0	5.0	2.22844872467045	13.2016896912612	13.2016896912612	3.0	2.0	LoF
KMT2A	2	cbase		0.000470468721215283	0.00017595887680589174	16.0	11.0	11.0	5.26030741071897	0.0	0.0	11.0	0.0	Act
DNAH5	3	cbase		0.009603505765403786		16.0	15.0	14.0	2.41824833884416	4.02041372710317	4.02041372710317	11.0	2.0	LoF
ANKRD35	3	cbase		0.0002646364980843257		16.0	9.0	9.0	9.958899918154893	12.138652624235101	12.138652624235101	8.0	1.0	LoF
ACTN2	3	cbase		0.00021363072465848009		16.0	7.0	7.0	8.28889923133852	12.392403533413804	12.392403533413804	6.0	1.0	LoF
DNAH1	3	cbase		0.003510910097950046		16.0	11.0	10.0	2.71019548668658	5.9513173739629295	5.9513173739629295	9.0	1.0	LoF
RASGRF1	3	cbase		0.0012589466353844572		16.0	7.0	7.0	6.23496088393976	10.0961147199638	10.0961147199638	6.0	1.0	LoF
MYH1	3	cbase		0.01104278279284597		38.0	12.0	12.0	5.17187465022635	8.70085819536235	8.70085819536235	10.0	1.0	LoF
TAF1	3	cbase		0.0014203862087729961		38.0	8.0	7.0	4.92234360430752	6.236365837719459	6.236365837719459	7.0	1.0	LoF
ATM	2	cbase		0.009913845766205728	0.00781655634628793	40.0	8.0	7.0	3.73600347068931	4.0604254159803	4.0604254159803	7.0	1.0	LoF
ROBO1	3	cbase		0.005053788769960461		40.0	7.0	7.0	4.96444006962914	7.01761383247728	7.01761383247728	6.0	1.0	LoF
SORBS2	3	cbase		0.003677322518719144		40.0	6.0	6.0	5.39947618776235	11.089408919533696	11.089408919533696	5.0	1.0	LoF
PRUNE2	3	cbase		0.004111239291384175		40.0	10.0	10.0	5.527258174391	0.0	0.0	10.0	0.0	Act
PLA2G4F	3	oncodriveclustl	oncodriveclustl	0.00021363072465848009		44.0	4.0	4.0	6.17225508305717	0.0	0.0	4.0	0.0	Act
COL4A4	3	oncodriveclustl,smregions		0.011041190765793149		45.0	8.0	8.0	1.88826366234258	3.34739507601998	3.34739507601998	5.0	1.0	LoF
ENPP1	3	oncodriveclustl,smregions		0.04261835514358827		46.0	4.0	4.0	2.71007205886136	0.0	0.0	3.0	0.0	Act
CSMD1	4	oncodriveclustl		0.08544560280286898		47.0	21.0	19.0	0.829426271692218	0.0	0.0	11.0	0.0	ambiguous
ZFAND1	3	oncodriveclustl		0.0002646364980843257		47.0	3.0	3.0	4.55532883418159	56.90736353080551	56.90736353080551	1.0	2.0	LoF
MTA2	3	oncodriveclustl		0.04261835514358827		47.0	3.0	3.0	6.28502940931723	17.3736385371543	17.3736385371543	3.0	0.0	Act
PLK3	4	oncodriveclustl		0.2496082706664908		47.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	ambiguous
TP53TG5	4	oncodriveclustl		0.08984468265518966		47.0	4.0	4.0	4.77731644140201	20.3161022216899	20.3161022216899	2.0	1.0	LoF
HIST1H4H	4	oncodriveclustl		0.08561974256697218		47.0	3.0	3.0	25.600408386463695	0.0	0.0	3.0	0.0	Act
NRSN2	4	oncodriveclustl		0.1132338992062738		47.0	2.0	2.0	10.1607155473159	0.0	0.0	2.0	0.0	Act
PCDHGA3	4	oncodriveclustl		0.15286522240265096		47.0	7.0	7.0	3.007585010545569	0.0	0.0	5.0	0.0	Act
NOP56	4	oncodriveclustl		0.15599201376550084		47.0	5.0	5.0	1.86020078593644	8.17957812763555	8.17957812763555	2.0	1.0	LoF
CASC1	4	oncodriveclustl		0.2308360845405073		47.0	3.0	3.0	5.430843780916	0.0	0.0	3.0	0.0	Act
NPAS2	4	oncodriveclustl		0.09922414616891463		47.0	5.0	5.0	2.04627605392346	0.0	0.0	3.0	0.0	Act
ANO2	3	oncodriveclustl		0.002185728377930764		47.0	5.0	5.0	0.5812628055463779	8.950674493955859	8.950674493955859	1.0	2.0	LoF
FIGN	4	oncodriveclustl		0.11191163998697327		47.0	3.0	3.0	4.87476542233383	0.0	0.0	3.0	0.0	Act
PLA1A	4	oncodriveclustl		0.06574376590933025		47.0	2.0	2.0	4.82140695619718	0.0	0.0	2.0	0.0	Act
LRRC2	3	oncodriveclustl		0.01250677718246854		47.0	4.0	4.0	9.40999853943579	27.0867508967054	27.0867508967054	3.0	1.0	LoF
SRRM2	4	oncodriveclustl		0.053042570722833096		47.0	9.0	9.0	2.75899498218037	0.0	0.0	8.0	0.0	Act
CCDC88B	4	oncodriveclustl		0.3056961466928308		47.0	4.0	4.0	1.69899513802973	0.0	0.0	3.0	0.0	Act
SLC26A9	4	oncodriveclustl		0.3102442096112588		47.0	3.0	3.0	1.99963250367151	0.0	0.0	2.0	0.0	Act
EBP	4	oncodriveclustl		0.3261205706037205		47.0	2.0	2.0	11.535355293686399	0.0	0.0	2.0	0.0	Act
PSMB5	4	oncodriveclustl		0.05299390258797377		47.0	3.0	2.0	12.053181530237902	0.0	0.0	3.0	0.0	Act
FRAS1	3	oncodriveclustl		0.008180783658522872		47.0	9.0	8.0	1.34940835653765	2.16941473601202	2.16941473601202	6.0	1.0	LoF
RIF1	3	hotmaps	hotmaps	0.009041314195034407		47.0	9.0	9.0	3.23940438991913	0.0	0.0	8.0	0.0	Act
ADAMTSL1	4	oncodriveclustl		0.2719413747566056		47.0	6.0	6.0	1.46710370751723	0.0	0.0	4.0	0.0	Act
SLC5A7	4	oncodriveclustl		0.36297570186152905		47.0	5.0	5.0	2.79271789524988	0.0	0.0	3.0	0.0	Act
PPM1F	3	oncodriveclustl		0.01687425051890166		47.0	4.0	4.0	9.44353257227808	0.0	0.0	4.0	0.0	Act
IGSF21	3	oncodriveclustl		0.016299005585663905		47.0	7.0	7.0	9.15385762770476	0.0	0.0	6.0	0.0	Act
TUBA3C	4	oncodriveclustl		0.4400826599289556		47.0	8.0	7.0	2.7887773652909305	0.0	0.0	4.0	0.0	Act
HAO2	4	oncodriveclustl		0.3605901849424898		47.0	3.0	3.0	4.11781428314942	0.0	0.0	2.0	0.0	Act
RYR2	3	oncodriveclustl		0.0025254732483130705		47.0	27.0	26.0	2.12976008521237	2.6815648785427	2.6815648785427	20.0	2.0	LoF
PIK3CA	2	oncodriveclustl		0.05304238409940615	0.07399132841495079	47.0	8.0	8.0	2.26682333969149	0.0	0.0	5.0	0.0	Act
UXS1	3	oncodriveclustl		0.01781550578573439		47.0	3.0	3.0	8.083137812045129	0.0	0.0	3.0	0.0	Act
DNAH10	3	hotmaps	hotmaps	0.04238977720012705		80.0	15.0	14.0	1.5568361384111802	0.0	0.0	11.0	0.0	Act
OR2G3	3	hotmaps		0.013131022102902205		81.0	3.0	2.0	11.3345286486273	0.0	0.0	3.0	0.0	Act
USP15	3	hotmaps		0.032891015919465465		82.0	4.0	4.0	5.50727381857393	0.0	0.0	4.0	0.0	Act
CCR3	3	hotmaps		0.011170205884821741		83.0	3.0	3.0	9.5993430231112	0.0	0.0	3.0	0.0	Act
FANCL	4	hotmaps		0.13743677778343738		84.0	2.0	2.0	6.60616014383992	0.0	0.0	2.0	0.0	Act
PHKA1	3	hotmaps		0.011509945844860064		85.0	8.0	8.0	8.48785977504062	0.0	0.0	8.0	0.0	Act
MGAT4C	3	hotmaps		0.02026673141445913		86.0	6.0	6.0	7.89685326351838	0.0	0.0	5.0	0.0	Act
GABRA6	3	hotmaps		0.0008044155102211157		87.0	5.0	5.0	12.6637421362064	0.0	0.0	5.0	0.0	Act
AAMP	3	dndscv,oncodrivefml		0.00025728188680646365		88.0	2.0	2.0	0.0	52.642468648802996	52.642468648802996	0.0	2.0	LoF
WDR45	3	dndscv,oncodrivefml		0.00021363072465848009		88.0	2.0	2.0	0.0	54.9583631267381	54.9583631267381	0.0	2.0	LoF
ZNF232	3	dndscv,oncodrivefml		0.0005035947134142098		88.0	3.0	3.0	2.9156270994390296	56.57245072338061	56.57245072338061	1.0	2.0	LoF
ERCC6	3	dndscv,oncodrivefml		6.207776787985067e-05		88.0	2.0	2.0	0.0	29.3070492904362	29.3070492904362	0.0	2.0	LoF
NXPH2	3	dndscv,oncodrivefml		0.00010449490708550032		92.0	3.0	2.0	4.23165248050995	121.967495172645	121.967495172645	1.0	2.0	LoF
PSMC3	3	oncodrivefml		0.0062126451833804395		128.0	3.0	3.0	2.71480572974795	50.981867233736295	50.981867233736295	1.0	2.0	LoF
EFCAB13	4	oncodrivefml		0.07236502340206609		128.0	2.0	2.0	1.35556125867642	10.48320156638	10.48320156638	1.0	1.0	LoF
CDYL	3	oncodrivefml		0.0221459908166276		128.0	2.0	2.0	2.14512287622501	27.267892568220105	27.267892568220105	1.0	1.0	LoF
KCNRG	3	oncodrivefml		0.021185824897058395		128.0	2.0	2.0	4.44407169791295	71.3886895345361	71.3886895345361	1.0	1.0	LoF
NLGN3	3	oncodrivefml		0.018590782295432148		128.0	4.0	4.0	4.18942473528669	21.9319353899983	21.9319353899983	3.0	1.0	LoF
KLB	3	oncodrivefml		0.0007162673661631928		128.0	4.0	4.0	2.64665851882026	32.7632486494616	32.7632486494616	2.0	2.0	LoF
EFCAB6	3	oncodrivefml		0.0033194327071689005		128.0	6.0	5.0	1.84515930392153	10.6516349478126	10.6516349478126	3.0	2.0	LoF
YES1	3	oncodrivefml		0.001244680244970559		128.0	2.0	2.0	0.0	32.57193754064	32.57193754064	0.0	2.0	LoF
ADH5	3	oncodrivefml		0.032906503685619364		128.0	2.0	2.0	3.24155646792599	29.6685848120757	29.6685848120757	1.0	1.0	LoF
CLCN6	3	oncodrivefml		0.003109159191151274		128.0	5.0	5.0	5.46857871965911	12.356432361506	12.356432361506	4.0	1.0	LoF
ESYT2	3	oncodrivefml		0.036322101716232055		128.0	2.0	2.0	1.3745849091604	13.1344953861799	13.1344953861799	1.0	1.0	LoF
ZPR1	3	oncodrivefml		0.002462275437863467		128.0	2.0	2.0	0.0	45.87182264245671	45.87182264245671	0.0	2.0	LoF
ARID1A	2	oncodrivefml		0.0005035947134142098	0.00018948430838250033	128.0	2.0	2.0	0.0	17.9849486134915	17.9849486134915	0.0	2.0	LoF
EOMES	3	oncodrivefml		0.00025142190223451766		128.0	3.0	3.0	1.6096126287817298	43.6832218864332	43.6832218864332	1.0	2.0	LoF
TNRC6A	3	oncodrivefml		0.0002646364980843257		128.0	7.0	6.0	4.75320209820758	7.3777066779478	7.3777066779478	6.0	1.0	LoF
BAG1	3	oncodrivefml		0.027666039873670927		128.0	2.0	2.0	2.8960173602568	31.482326576231	31.482326576231	1.0	1.0	LoF
RB1CC1	3	oncodrivefml		0.0016510660645518095		128.0	7.0	7.0	1.7287187137184798	14.0719357923855	14.0719357923855	3.0	3.0	LoF
RS1	3	oncodrivefml		0.0003980477827938422		128.0	2.0	2.0	0.0	73.8976855024448	73.8976855024448	0.0	2.0	LoF
NEXN	3	oncodrivefml		0.00320121826593371		128.0	3.0	3.0	1.90538314913552	25.3301534431152	25.3301534431152	1.0	2.0	LoF
PELO	3	oncodrivefml		0.021460311922036096		147.0	2.0	2.0	2.6848443390186296	49.299049762960394	49.299049762960394	1.0	1.0	LoF
ACVR1C	3	oncodrivefml		0.0016510660645518095		147.0	3.0	2.0	4.43765406431416	19.032425272860202	19.032425272860202	2.0	1.0	LoF
PAGE2	3	oncodrivefml		0.03822974332569853		147.0	2.0	2.0	9.74060208271331	74.38958235354879	74.38958235354879	1.0	1.0	LoF
MAML3	3	oncodrivefml		0.04351108609273775		147.0	2.0	2.0	1.12490526878331	14.422114397395802	14.422114397395802	1.0	1.0	LoF
SYVN1	3	oncodrivefml		0.035827549723255615		147.0	2.0	2.0	1.92200889470882	20.8514681824595	20.8514681824595	1.0	1.0	LoF
SMURF1	3	oncodrivefml		0.046888358538881764		147.0	2.0	2.0	1.58002577691656	12.4899602799859	12.4899602799859	1.0	1.0	LoF
RASA2	3	smregions	smregions	0.045982376001284124		153.0	4.0	3.0	6.186451420581942	0.0	0.0	4.0	0.0	Act
OR4N2	4	dndscv		0.2030664327242411		153.0	6.0	6.0	22.7695632861416	0.0	0.0	6.0	0.0	Act
SVIL	3	smregions		0.0017916987839862915		155.0	10.0	9.0	2.29024580888294	3.20895563571168	3.20895563571168	7.0	1.0	LoF
NCF2	3	dndscv		0.04412416710391075		155.0	7.0	6.0	16.632988200611802	0.0	0.0	7.0	0.0	Act
NEB	4	smregions		0.09115946429928544		155.0	17.0	17.0	0.8005031863311329	0.569525786376311	0.569525786376311	11.0	0.0	ambiguous
DYNAP	3	dndscv		0.006066886127727377		158.0	2.0	2.0	5.64230027811024	141.444146599571	141.444146599571	1.0	1.0	LoF
