SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.764790112558033e-23	4.128291138868035e-24	1.0	274.0	272.0	255.48874358239	742.71839113024	742.71839113024	230.0	42.0	LoF
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.1475526609876025e-06	3.1398731777138965e-07	2.0	17.0	17.0	2.66070118000513	35.215866988000606	35.215866988000606	7.0	9.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	hotmaps,mutpanning	6.371284658454721e-09	9.315266708040696e-10	2.0	5.0	5.0	28.8794000901679	0.0	0.0	5.0	0.0	Act
BRCA1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.371284658454721e-09	9.315266708040696e-10	2.0	10.0	10.0	2.3562222901568703	62.49683273519671	62.49683273519671	3.0	7.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml	2.3340118301112733e-07	3.199209009062989e-08	5.0	3.0	3.0	0.0	27.487344385806107	27.487344385806107	0.0	3.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	6.387543232566807e-07	9.805989782393154e-08	5.0	7.0	7.0	3.57927070026137	37.6523852409869	37.6523852409869	3.0	4.0	LoF
NRAS	1	oncodriveclustl,dndscv,hotmaps		6.604035621371364e-06	1.034524821584346e-06	5.0	5.0	5.0	22.8001848996308	52.0484173028917	52.0484173028917	4.0	1.0	LoF
CDK12	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	3.204606534562939e-05	7.028040535946799e-06	5.0	7.0	7.0	3.78813878021324	42.5520980739866	42.5520980739866	4.0	3.0	LoF
MAP3K19	1	hotmaps,cbase		0.0008832755835780871		9.0	10.0	10.0	9.15785549106117	11.1888636984028	11.1888636984028	9.0	1.0	LoF
ZNF569	1	oncodriveclustl,smregions,mutpanning	smregions,mutpanning	0.0044307498696594325		10.0	10.0	8.0	3.9974433726554	0.0	0.0	7.0	0.0	Act
ZNF133	1	oncodriveclustl,smregions,mutpanning	oncodriveclustl,smregions,mutpanning	2.90896542881399e-09		10.0	18.0	15.0	4.09664269537993	0.0	0.0	12.0	0.0	Act
BRCA2	1	cbase,mutpanning	cbase	3.8630993739740745e-05	8.47218486945492e-06	12.0	8.0	8.0	2.6927917182538503	17.2291995906674	17.2291995906674	5.0	3.0	LoF
MYH9	1	cbase,mutpanning	cbase	0.0006340060443484442	0.0003194113125615074	12.0	7.0	6.0	4.00839514761376	13.6698068125666	13.6698068125666	5.0	2.0	LoF
CUL9	1	cbase,mutpanning	cbase	3.204606534562939e-05		12.0	12.0	10.0	7.223991098520499	14.490193118013101	14.490193118013101	10.0	2.0	LoF
LRRC30	1	dndscv,oncodrivefml,cbase		2.2831705863604487e-05		15.0	4.0	3.0	7.45838819249606	182.108106949747	182.108106949747	2.0	2.0	LoF
ENPP2	1	cbase,mutpanning		0.004637114512816183		15.0	6.0	6.0	2.59093961806225	18.4401764325352	18.4401764325352	3.0	2.0	LoF
COL4A4	1	oncodriveclustl,smregions		0.008767236178875542		17.0	12.0	11.0	2.06330847861053	2.24686380060367	2.24686380060367	8.0	1.0	LoF
GNAS	1	oncodriveclustl,smregions		4.270756359989397e-05	9.366219688262504e-06	18.0	5.0	5.0	1.2897770092013798	17.4343038191753	17.4343038191753	2.0	2.0	LoF
NPAS2	1	oncodriveclustl,smregions	smregions	0.006478698582216982		18.0	6.0	6.0	2.40696647532034	0.0	0.0	4.0	0.0	Act
ZNF12	1	oncodriveclustl,smregions		0.016236457058593008		18.0	8.0	6.0	7.129613459370941	9.75699246085058	9.75699246085058	7.0	0.0	Act
CACNG6	1	dndscv,oncodrivefml,cbase		1.9787832757576366e-05		18.0	3.0	3.0	3.9315322879449903	108.717589332654	108.717589332654	1.0	2.0	LoF
ZNF816	1	oncodriveclustl,smregions		0.004680440055032375		18.0	4.0	4.0	2.15472348517942	11.7320694740817	11.7320694740817	2.0	1.0	LoF
OR2F2	1	dndscv,hotmaps		0.02159410397248184		23.0	5.0	5.0	19.277564113118398	0.0	0.0	5.0	0.0	Act
TENM1	1	dndscv,cbase	cbase	0.0016101271646932025		23.0	15.0	15.0	9.30546026873299	0.0	0.0	15.0	0.0	Act
TAS2R1	1	dndscv,cbase	dndscv	0.0006340060443484442		23.0	8.0	8.0	28.054914307121898	99.7617493071192	99.7617493071192	7.0	1.0	LoF
TNRC6A	3	oncodrivefml,cbase		4.232410276335562e-06		26.0	8.0	7.0	4.81968215033134	14.654422107641699	14.654422107641699	6.0	2.0	LoF
TMPRSS11E	4	hotmaps		0.27816399513660506		26.0	2.0	2.0	5.42699190790174	0.0	0.0	2.0	0.0	Act
PHKA1	4	hotmaps		0.0569211943645059		26.0	8.0	8.0	8.391626855497499	0.0	0.0	8.0	0.0	Act
USP15	3	hotmaps		0.04301642262472458		26.0	5.0	5.0	6.778889174327638	0.0	0.0	5.0	0.0	Act
DOCK5	3	oncodrivefml,cbase	cbase	1.03569237716335e-05		26.0	8.0	7.0	5.14212433664283	12.4854344307895	12.4854344307895	6.0	2.0	LoF
FANCL	4	hotmaps		0.22910069990557475		26.0	2.0	2.0	5.887524714455428	0.0	0.0	2.0	0.0	Act
OAS2	3	hotmaps	hotmaps	0.009239612202423222		26.0	7.0	3.0	2.14297284130847	0.0	0.0	3.0	0.0	Act
DNAH10	3	hotmaps		0.01435188077872883		26.0	15.0	14.0	1.46649650014811	1.24927164782454	1.24927164782454	11.0	0.0	Act
RIF1	3	hotmaps		0.002072330101615038		26.0	9.0	9.0	3.05197086222314	0.0	0.0	8.0	0.0	Act
GABRA6	3	hotmaps		0.002530758579914419		26.0	5.0	5.0	12.4295047457269	0.0	0.0	5.0	0.0	Act
AOC1	3	hotmaps	hotmaps	0.0030677560128425287		26.0	5.0	5.0	7.51369941721786	0.0	0.0	5.0	0.0	Act
OR2G3	3	hotmaps		0.01435188077872883		26.0	3.0	2.0	11.0772559512676	0.0	0.0	3.0	0.0	Act
MGAT4C	3	hotmaps		0.006239888409365851		26.0	6.0	6.0	7.19018496302248	0.0	0.0	5.0	0.0	Act
PLA2G4A	3	hotmaps		0.006948877191378972		26.0	4.0	2.0	6.456593693469388	0.0	0.0	4.0	0.0	Act
PPP2R1A	2	hotmaps		0.013858191261645916	0.0143564463054471	26.0	3.0	3.0	5.873018506732548	0.0	0.0	3.0	0.0	Act
SRP68	3	hotmaps		0.008783612729102608		26.0	5.0	5.0	9.41744023299441	0.0	0.0	5.0	0.0	Act
DNM1L	3	hotmaps		0.026741275383958745		42.0	4.0	4.0	6.11143023580137	0.0	0.0	4.0	0.0	Act
CCR3	3	hotmaps		0.004680440055032375		44.0	4.0	4.0	12.8671732306311	0.0	0.0	4.0	0.0	Act
ERCC6	3	dndscv,oncodrivefml,mutpanning	oncodrivefml,mutpanning	4.045927683069871e-07		45.0	3.0	3.0	0.0	37.8110469356879	37.8110469356879	0.0	3.0	LoF
RASGRF1	3	cbase		0.0002036699369069869		46.0	7.0	7.0	6.375560201785589	9.89709860681998	9.89709860681998	6.0	1.0	LoF
ZNF614	3	cbase		0.0017316867735479393		46.0	15.0	3.0	2.49541069773994	26.4595705509929	26.4595705509929	2.0	2.0	LoF
SCN10A	3	cbase	cbase	0.0006985782704815249		46.0	7.0	7.0	3.58143220863101	29.9938134255205	29.9938134255205	4.0	3.0	LoF
KIF17	3	cbase		0.0030677560128425287		46.0	7.0	7.0	7.46186968446655	14.7554560269564	14.7554560269564	6.0	1.0	LoF
TAF1	3	cbase		0.000309877007324653		46.0	10.0	9.0	6.70496352946287	6.436434267815371	6.436434267815371	9.0	1.0	Act
SUPT5H	3	cbase		0.0003636234107519077		46.0	6.0	4.0	4.69189565556259	19.3586230413301	19.3586230413301	4.0	2.0	LoF
IQGAP2	3	cbase	cbase	0.0037204079003753843		46.0	11.0	11.0	9.79271257908037	7.24969894940308	7.24969894940308	10.0	1.0	Act
ZNF560	3	cbase		0.0004234697780830617		46.0	7.0	6.0	7.30337913480286	26.0613079648007	26.0613079648007	5.0	2.0	LoF
DNAH5	3	cbase	cbase	0.0006340060443484442		46.0	18.0	17.0	2.6266460652667702	7.25540728011154	7.25540728011154	13.0	3.0	LoF
TICRR	3	cbase		0.00016662757060739294		46.0	6.0	6.0	2.96778740577352	15.7742806819656	15.7742806819656	4.0	2.0	LoF
DYNC1H1	3	cbase		0.0021862476826702217		46.0	15.0	14.0	2.2719204978512404	5.87005243776863	5.87005243776863	11.0	2.0	LoF
F8	3	cbase		0.01224382478929993		46.0	11.0	11.0	3.49045926706244	3.81593739591802	3.81593739591802	9.0	1.0	LoF
PIKFYVE	3	cbase		0.0091469113179468		46.0	6.0	6.0	2.836295711724249	11.2843790118063	11.2843790118063	4.0	2.0	LoF
HECTD4	3	cbase		0.008201019536388396		46.0	7.0	7.0	3.08201449712648	10.1236606542505	10.1236606542505	6.0	1.0	LoF
DNAH3	3	cbase		0.014858877844255184		46.0	17.0	17.0	2.7609108227920096	6.154357674495679	6.154357674495679	13.0	2.0	LoF
GABBR2	3	cbase		3.268403960024741e-05		46.0	5.0	5.0	4.08750335541418	26.6586447223239	26.6586447223239	3.0	2.0	LoF
MXRA5	3	cbase		7.296501690870349e-05		46.0	9.0	9.0	5.225788891485281	10.9116189054231	10.9116189054231	8.0	1.0	LoF
ANKRD35	3	cbase		0.00048422395196305763		46.0	9.0	9.0	10.2820456629756	12.1867642730971	12.1867642730971	8.0	1.0	LoF
RB1CC1	3	oncodrivefml,cbase		6.081530330434031e-05		64.0	9.0	9.0	2.62971483033169	12.712275281845901	12.712275281845901	5.0	3.0	LoF
PRDM9	3	cbase		0.0001201301947124931		65.0	8.0	8.0	9.83445470870207	13.2732392357079	13.2732392357079	7.0	1.0	LoF
CSMD3	2	cbase		0.0009523117077578373	0.0005012448333579857	65.0	36.0	34.0	3.08696744785682	1.75141191068449	1.75141191068449	29.0	2.0	Act
PALB2	2	cbase		0.00018681751289658646	6.408392572310984e-05	65.0	5.0	5.0	3.34912309222883	22.863365483575397	22.863365483575397	3.0	2.0	LoF
ABCA1	3	cbase		0.0007395856225932719		65.0	12.0	9.0	3.84629234482642	3.66006905221965	3.66006905221965	9.0	1.0	Act
PADI1	3	oncodriveclustl,oncodrivefml		1.7928603852500594e-05		69.0	3.0	3.0	1.82527256855058	33.4323661000279	33.4323661000279	1.0	2.0	LoF
PLA2G4F	3	oncodriveclustl		0.013808063328091577		71.0	4.0	4.0	6.01146891981913	0.0	0.0	4.0	0.0	Act
PPIAL4F	4	oncodriveclustl		0.2375863642568663		72.0	2.0	2.0	13.4595790935464	0.0	0.0	2.0	0.0	Act
B2M	2	oncodriveclustl		0.12290469367380813	0.17663233402906275	72.0	2.0	2.0	17.309961964205	0.0	0.0	2.0	0.0	Act
PLA1A	3	oncodriveclustl		0.019030104176528798		72.0	3.0	3.0	6.84949355126928	0.0	0.0	3.0	0.0	Act
KCNQ3	3	oncodriveclustl		0.021326433947030685		72.0	7.0	6.0	1.26041703755198	4.43487500466385	4.43487500466385	3.0	1.0	LoF
KIF21B	4	oncodriveclustl		0.2566694168899484		72.0	9.0	8.0	1.7255070521873102	0.0	0.0	6.0	0.0	Act
