SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.0337258656365166e-23	2.009904140554586e-24	1.0	295.0	292.0	141.35077317373	481.73665030764295	481.73665030764295	203.0	42.0	LoF
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.057170979894856e-05	6.9981279242880615e-06	2.0	23.0	23.0	1.31447469343125	19.5322511954238	19.5322511954238	6.0	8.0	LoF
BRCA1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.819581910273642e-15	3.1930695343722273e-16	3.0	20.0	20.0	0.790840847085716	22.1292594432405	22.1292594432405	3.0	7.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml,mutpanning	3.3369788351122814e-06	3.8689267853141885e-07	4.0	13.0	13.0	1.72780936403856	14.6746891429864	14.6746891429864	4.0	4.0	LoF
TNRC6A	1	oncodrivefml,cbase,mutpanning	oncodrivefml,cbase	1.7808027343379074e-06		5.0	13.0	12.0	3.63821707983265	12.075580562676699	12.075580562676699	9.0	3.0	LoF
LRRC30	1	dndscv,oncodrivefml,cbase	cbase	5.228687575049568e-05		6.0	7.0	6.0	8.858097228762471	90.93681194097721	90.93681194097721	5.0	2.0	LoF
SCYL1	1	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	0.00015031184731645922		7.0	7.0	7.0	3.12052597661884	0.0	0.0	6.0	0.0	Act
KRAS	1	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	0.0004234389017845214	0.0001402683761919322	7.0	5.0	5.0	13.533590910245302	0.0	0.0	5.0	0.0	Act
ZNF12	1	oncodriveclustl,dndscv,smregions,mutpanning	smregions,mutpanning	3.7638032120504895e-09		7.0	17.0	10.0	7.869839016215058	11.116730923118801	11.116730923118801	14.0	1.0	LoF
ERCC6	1	oncodrivefml,smregions,mutpanning	smregions	1.192154363031642e-05		10.0	7.0	6.0	0.9582551535748728	14.005275079175401	14.005275079175401	2.0	2.0	LoF
CDK12	1	dndscv,cbase,mutpanning	cbase,mutpanning	1.3492061827810486e-06	1.1918348210914171e-07	10.0	16.0	16.0	3.37376946963041	22.713414984653696	22.713414984653696	7.0	3.0	LoF
ENPP2	1	cbase,mutpanning		5.057170979894856e-05		12.0	8.0	8.0	1.90218563110073	14.064315387029	14.064315387029	4.0	3.0	LoF
CACNA1G	1	cbase,mutpanning	cbase,mutpanning	3.6087923749049723e-06		12.0	17.0	16.0	5.58754482405928	4.67088484854074	4.67088484854074	15.0	1.0	Act
FUK	1	cbase,mutpanning		5.228687575049568e-05		12.0	7.0	7.0	3.14687919242229	12.9939089373822	12.9939089373822	5.0	2.0	LoF
