SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.3631294359301895e-17	2.268601029156316e-17	1.0	81.0	81.0	621.205658633663	1670.4040589005801	1670.4040589005801	59.0	12.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	8.604816932614844e-05	8.291977933442876e-05	2.0	90.0	88.0	1908.5654700569296	0.0	0.0	89.0	0.0	Act
CDKN2A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	3.5448578482068235e-08	2.3911860414110362e-08	3.0	23.0	23.0	126.499553974307	3716.387828948	3716.387828948	7.0	9.0	LoF
SMAD4	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.3131035047526463e-12	8.857547766212268e-13	4.0	27.0	26.0	112.21484846102	941.569566491561	941.569566491561	10.0	9.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.6923751501214906e-11	2.4906939281330396e-11	5.0	5.0	5.0	0.0	163.237017858862	163.237017858862	0.0	4.0	LoF
TGFBR2	1	dndscv,oncodrivefml,cbase	dndscv,oncodrivefml,cbase	0.0002489528925621948	0.0002239084356945379	6.0	7.0	7.0	32.1221917388662	221.042258184789	221.042258184789	4.0	2.0	LoF
GNAS	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	hotmaps,mutpanning	5.395057556743308e-10	3.6392393925808687e-10	7.0	5.0	5.0	19.4763931875804	0.0	0.0	5.0	0.0	Act
RNF43	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	3.5448578482068235e-08	2.3911860414110362e-08	8.0	8.0	7.0	27.891011990823003	211.723760215088	211.723760215088	4.0	2.0	LoF
EEF2	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase	cbase	3.14798195004297e-07		9.0	3.0	3.0	4.97477648457034	150.684129073993	150.684129073993	1.0	2.0	LoF
HECW2	1	oncodriveclustl,dndscv,smregions,cbase	cbase	1.2416181433959007e-05		10.0	7.0	7.0	21.0984964904434	0.0	0.0	7.0	0.0	Act
SACS	1	oncodrivefml,cbase	cbase	0.0006256643348258571		11.0	3.0	3.0	1.47939821815864	33.525185123113395	33.525185123113395	1.0	2.0	LoF
