SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.647090096333225e-17	2.5594244475251868e-17	1.0	71.0	71.0	615.464510072542	1642.55200112573	1642.55200112573	59.0	12.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	8.515495457202472e-05	8.537047611059284e-05	2.0	89.0	87.0	1806.34542483705	0.0	0.0	88.0	0.0	Act
SMAD4	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	3.834500198657967e-13	2.690943544924341e-13	3.0	20.0	19.0	125.325664158435	947.35987885383	947.35987885383	11.0	9.0	LoF
CDKN2A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.881291128251516e-06	5.503097866723532e-06	4.0	19.0	17.0	102.96890354848101	2325.00954799703	2325.00954799703	9.0	9.0	LoF
GNAS	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	hotmaps,mutpanning	1.32925590374326e-10	9.328341135521106e-11	5.0	5.0	5.0	18.9204341498431	0.0	0.0	5.0	0.0	Act
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.103740152022126e-10	4.985203472826552e-10	6.0	4.0	4.0	0.0	157.139274715586	157.139274715586	0.0	4.0	LoF
TGFBR2	1	dndscv,oncodrivefml,cbase	dndscv,oncodrivefml,cbase	9.340091845098968e-05	9.645838969862862e-05	7.0	6.0	6.0	31.7308108821775	216.060373955615	216.060373955615	4.0	2.0	LoF
RNF43	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	3.453062824143911e-08	2.4232616078883943e-08	8.0	6.0	5.0	27.5720313073571	207.72882080282002	207.72882080282002	4.0	2.0	LoF
EEF2	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase	cbase	1.0199483893898393e-07		9.0	3.0	3.0	4.8005440908086605	143.952023318666	143.952023318666	1.0	2.0	LoF
HECW2	1	oncodriveclustl,dndscv,smregions,cbase	cbase	4.998946605910875e-06		10.0	7.0	7.0	20.443606166891197	0.0	0.0	7.0	0.0	Act
SACS	1	oncodrivefml,cbase	cbase	0.0003783149154944397		11.0	3.0	3.0	1.4179016253043402	31.874813472615102	31.874813472615102	1.0	2.0	LoF
FAM135B	1	oncodrivefml,cbase		0.0011822819239556588	0.0022216367079192947	12.0	3.0	3.0	9.12801082126575	46.9504852469619	46.9504852469619	2.0	1.0	LoF
RDX	1	dndscv,oncodrivefml		0.000271775031165753		13.0	2.0	2.0	0.0	113.317556795777	113.317556795777	0.0	2.0	LoF
RYBP	4	oncodrivefml		0.06274891467644769		14.0	2.0	2.0						ambiguous
SPEN	2	oncodrivefml		0.015250928969730529	0.052278424785662816	14.0	2.0	2.0	1.8394915364155	20.846374920857606	20.846374920857606	1.0	1.0	LoF
HCN4	3	oncodrivefml		0.0043139744288758905		14.0	2.0	2.0	3.40214318483423	87.05498222472141	87.05498222472141	1.0	1.0	LoF
DIO3	3	oncodrivefml		0.008178983427520754		14.0	3.0	3.0						ambiguous
LATS1	2	oncodrivefml		0.01715373320392663	0.056177350669814864	14.0	2.0	2.0	4.64709635375086	38.6881342225887	38.6881342225887	1.0	1.0	LoF
CPXM2	3	oncodrivefml		0.006639070298036428		14.0	2.0	2.0	5.875363367101259	72.63574906681941	72.63574906681941	1.0	1.0	LoF
ATM	2	oncodrivefml,cbase		9.515756990012516e-05	9.645838969862862e-05	20.0	4.0	4.0	5.879704052995289	26.5341538280368	26.5341538280368	3.0	1.0	LoF
AFF2	3	dndscv,oncodrivefml		0.004161098670176936		21.0	4.0	4.0	24.846438156839	0.0	0.0	4.0	0.0	Act
ELK1	3	oncodrivefml		0.0030160915563494897		22.0	2.0	2.0	12.1597473243471	266.71217909645196	266.71217909645196	1.0	1.0	LoF
DOCK3	3	oncodrivefml		0.0043139744288758905		22.0	3.0	3.0	5.416375684822558	22.185593368813898	22.185593368813898	2.0	1.0	LoF
FAM83H	3	oncodrivefml		0.0277975140801642		22.0	2.0	2.0	0.0	77.8446808327253	77.8446808327253	0.0	1.0	LoF
CHAT	3	oncodrivefml		0.008015610447741144		25.0	2.0	2.0	4.94002706708212	54.7988982419978	54.7988982419978	1.0	1.0	LoF
KLHDC8A	3	dndscv,oncodrivefml,cbase		0.0010350753837456443		26.0	3.0	3.0	30.9076051660464	207.858720131227	207.858720131227	2.0	1.0	LoF
