SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	9.310709710475998e-19	5.17422916879921e-19	1.0	84.0	84.0	453.842193275922	1709.54753289047	1709.54753289047	53.0	17.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	2.9742278718551088e-05	2.685903950138835e-05	2.0	100.0	100.0	2476.80946584006	0.0	0.0	100.0	0.0	Act
SMAD4	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	6.282140733163133e-13	3.491166284290969e-13	3.0	34.0	33.0	122.46416291869801	854.239716380995	854.239716380995	14.0	11.0	LoF
CDKN2A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.5127709222303706e-08	8.406903098599018e-09	4.0	26.0	26.0	103.06173767325899	3318.6708774158196	3318.6708774158196	7.0	10.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.3170614568680014e-14	1.2876576919305418e-14	5.0	6.0	6.0	0.0	118.332641520098	118.332641520098	0.0	4.0	LoF
GNAS	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	hotmaps,mutpanning	1.0065302128355523e-09	5.593577878033897e-10	6.0	5.0	5.0	15.557942247270804	0.0	0.0	5.0	0.0	Act
TGFBR2	1	dndscv,oncodrivefml,cbase	dndscv,oncodrivefml,cbase	3.85068922468854e-06	3.057055358203907e-06	7.0	7.0	7.0	28.9577486350967	186.81548651471599	186.81548651471599	4.0	2.0	LoF
RNF43	1	dndscv,oncodrivefml,cbase	dndscv,cbase	4.3412082381409284e-07	2.4125342741967895e-07	8.0	9.0	8.0	20.570928863672897	147.94743373881	147.94743373881	4.0	2.0	LoF
DNAH9	1	oncodrivefml,smregions,cbase	cbase	1.4220354291485226e-05		9.0	4.0	4.0	2.75239242091393	8.88511798542421	8.88511798542421	3.0	1.0	LoF
EEF2	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase	cbase	1.934843245070257e-06		10.0	3.0	3.0	4.02286368565098	111.036046255452	111.036046255452	1.0	2.0	LoF
ADAMTS12	1	dndscv,oncodrivefml,cbase	dndscv,cbase	1.922057925979372e-06		11.0	7.0	6.0	20.5278653134071	83.4881393944026	83.4881393944026	5.0	2.0	LoF
HECW2	1	oncodriveclustl,dndscv,smregions,cbase	cbase	1.5698394415923866e-05		12.0	7.0	7.0	15.914156113434998	0.0	0.0	7.0	0.0	Act
KCNA4	1	dndscv,smregions		0.0020011134788282046		13.0	4.0	4.0	31.37080043517	0.0	0.0	4.0	0.0	Act
FAM135B	1	dndscv,oncodrivefml,cbase	cbase	0.0001524154204570245	0.0001494479389515536	14.0	5.0	5.0	15.6088469717537	39.821374034681	39.821374034681	4.0	1.0	LoF
MEFV	1	oncodrivefml,smregions		0.0038181976452583686		15.0	3.0	3.0	15.150425844946596	0.0	0.0	3.0	0.0	Act
KLHDC8A	1	dndscv,oncodrivefml,cbase		0.002103710233781777		15.0	3.0	3.0	21.372540500525602	143.741342844918	143.741342844918	2.0	1.0	LoF
ATM	1	smregions,cbase		0.000483326952375567	0.0005371973765296638	15.0	4.0	4.0	4.684572198554969	20.4586220735407	20.4586220735407	3.0	1.0	LoF
RDX	1	dndscv,oncodrivefml		0.00018870843091427203		18.0	2.0	2.0	0.0	94.00266149644207	94.00266149644207	0.0	2.0	LoF
KDM6A	1	dndscv,oncodrivefml		6.346978038766241e-05	6.270574648501366e-05	18.0	3.0	3.0	0.0	55.430641855213096	55.430641855213096	0.0	1.0	LoF
RBM10	1	dndscv,mutpanning		0.0003536911788256078	0.00041098148101474826	20.0	4.0	3.0	0.0	73.9927177692015	73.9927177692015	0.0	1.0	LoF
SACS	1	oncodrivefml,cbase	cbase	6.346978038766241e-05		21.0	3.0	3.0	1.15148925127422	25.090297825230397	25.090297825230397	1.0	2.0	LoF
HYDIN	1	oncodrivefml,cbase	cbase	0.0006490935799188857		21.0	4.0	4.0	2.698536124225149	8.59768494185053	8.59768494185053	3.0	1.0	LoF
HCN4	1	oncodrivefml,cbase	cbase	0.001957821191040248		21.0	3.0	3.0	6.4318151620057415	74.2792387859895	74.2792387859895	2.0	1.0	LoF
STAG2	1	hotmaps,smregions		0.004070537835076349	0.009500882775463472	24.0	3.0	3.0	9.820054470271302	0.0	0.0	3.0	0.0	Act
SPTA1	1	hotmaps,smregions		0.0011408278958649786		24.0	3.0	3.0	7.52181744843204	0.0	0.0	3.0	0.0	Act
