SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	2.4883947601893083e-10	4.887673454586714e-10	1.0	60.0	59.0	6130.91257704593	0.0	0.0	60.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.874658388384336e-23	1.3503116889581358e-22	2.0	44.0	43.0	1227.6948783400098	2645.43090759087	2645.43090759087	38.0	6.0	LoF
SMAD4	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.4883947601893083e-10	4.887673454586714e-10	3.0	12.0	11.0	239.959046404362	2377.50569236356	2377.50569236356	6.0	6.0	LoF
CDKN2A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.8840827696694913e-10	7.629066156403162e-10	4.0	12.0	12.0	248.060057372987	11640.5802304049	11640.5802304049	4.0	8.0	LoF
GNAS	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,mutpanning	oncodrivefml,hotmaps,smregions	3.2656994933922937e-12	6.4144455614013925e-12	5.0	4.0	4.0	41.5676568419019	0.0	0.0	4.0	0.0	Act
RNF43	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase	3.258052458384657e-08	6.399425352143968e-08	6.0	6.0	6.0	101.72171531944599	808.960197406608	808.960197406608	4.0	2.0	LoF
TGFBR2	1	dndscv,oncodrivefml,cbase	dndscv,oncodrivefml,cbase	9.673525290150964e-09	1.900061579029652e-08	7.0	4.0	4.0	79.46878790482009	387.558916257423	387.558916257423	3.0	1.0	LoF
FLG	1	smregions,cbase	smregions,cbase	4.588973252679376e-05		8.0	5.0	5.0	16.102367312716698	55.04204442704911	55.04204442704911	4.0	1.0	LoF
MUC16	1	smregions,cbase	smregions,cbase	8.406036444358599e-05	0.0002384926593289252	9.0	6.0	5.0	11.388597973505002	0.0	0.0	6.0	0.0	Act
PCDH15	1	dndscv,smregions		0.0009648305470519404		10.0	4.0	4.0	40.0656933268966	0.0	0.0	4.0	0.0	Act
KCNA6	1	dndscv,smregions		0.0022730477253608025		10.0	5.0	4.0	37.9249862805914	0.0	0.0	4.0	0.0	Act
PCDHB7	1	dndscv,smregions		0.002277438606600473		10.0	3.0	3.0	62.235603164893206	0.0	0.0	3.0	0.0	Act
CTNNB1	1	dndscv,smregions		0.00401504697744941	0.021733152014808518	10.0	3.0	3.0	64.0146775755015	0.0	0.0	3.0	0.0	Act
COL24A1	1	dndscv,smregions		0.00464350963153769		10.0	3.0	3.0	45.6368879146142	0.0	0.0	3.0	0.0	Act
ATM	1	dndscv,oncodrivefml,smregions	smregions	3.119057511906001e-05	6.892214894593942e-05	15.0	3.0	3.0	14.4828947692695	102.494833394533	102.494833394533	2.0	1.0	LoF
CNTN3	1	oncodriveclustl,oncodrivefml,smregions		0.00028016716509209755		16.0	3.0	2.0	30.2789862609941	127.352870064219	127.352870064219	2.0	1.0	LoF
APBA2	1	dndscv,oncodrivefml,smregions		0.002043764553113033		17.0	3.0	3.0	55.1260575033284	0.0	0.0	3.0	0.0	Act
FBXO47	4	mutpanning		0.3077533438855727		20.0	2.0	2.0	28.060796954822006	0.0	0.0	1.0	0.0	Act
ASH1L	4	mutpanning		0.3621748064436804		40.0	2.0	2.0	2.33611688503532	0.0	0.0	1.0	0.0	Act
CSMD3	4	mutpanning		0.4745784719413119	0.4559336196768998	42.0	3.0	3.0	1.54087598715148	0.0	0.0	1.0	0.0	Act
C10orf71	3	dndscv,cbase	cbase	6.278830284798014e-06		52.0	4.0	4.0	29.8542934280887	216.753439532284	216.753439532284	3.0	1.0	LoF
TTN	3	oncodrivefml,smregions	smregions	0.0009638010826712553		53.0	14.0	13.0	2.83524512957352	3.0755314017727704	3.0755314017727704	10.0	1.0	LoF
CACNA1H	3	oncodriveclustl,smregions	smregions	0.0001959970017865019		53.0	3.0	2.0	15.312758451263099	0.0	0.0	3.0	0.0	Act
PREX1	3	oncodrivefml,smregions		0.00018251713500257876		53.0	5.0	5.0	11.2817580764504	46.9893908229132	46.9893908229132	3.0	1.0	LoF
FN1	3	smregions		0.003457547851901973		56.0	3.0	3.0	21.010929631861107	0.0	0.0	3.0	0.0	Act
STAB1	3	smregions	smregions	0.0025213497539943483		56.0	3.0	3.0	16.6597881244217	0.0	0.0	3.0	0.0	Act
GLI3	3	smregions	smregions	0.0003151532731948412		56.0	5.0	5.0	4.890671937266942	43.0066600067128	43.0066600067128	2.0	1.0	LoF
FAT2	3	smregions		0.0022419948767460423		56.0	5.0	5.0	8.05086821438978	0.0	0.0	4.0	0.0	Act
CSMD2	3	smregions	smregions	5.7722967226289317e-05		56.0	4.0	4.0	20.8951842149744	0.0	0.0	4.0	0.0	Act
SYNE1	3	smregions	smregions	0.0009648305470519404		56.0	3.0	3.0	8.388783632904309	22.2400145151968	22.2400145151968	3.0	0.0	Act
KIF26B	3	smregions		0.00401504697744941		62.0	3.0	3.0	26.156895828741302	0.0	0.0	3.0	0.0	Act
RIMS4	3	dndscv,oncodrivefml		0.002043764553113033		63.0	2.0	2.0	88.7246312219043	0.0	0.0	2.0	0.0	Act
AFF2	3	dndscv,oncodrivefml		0.00664971630958625		63.0	3.0	3.0	44.4072630041708	0.0	0.0	3.0	0.0	Act
ELK1	3	dndscv,oncodrivefml		4.588973252679376e-05		63.0	2.0	2.0	37.008280980926706	923.809322809951	923.809322809951	1.0	1.0	LoF
HBE1	3	dndscv		0.015114130267928232		97.0	2.0	2.0	315.36169264087397	0.0	0.0	2.0	0.0	Act
PRAMEF11	3	dndscv		0.003249792352854955		97.0	3.0	3.0	124.489450468487	0.0	0.0	3.0	0.0	Act
DNMT3A	2	dndscv		0.0006274775298393796	0.0026890547184100838	99.0	3.0	3.0	41.8588693318004	0.0	0.0	3.0	0.0	Act
ARMC7	3	dndscv		0.004841774116434688		99.0	2.0	2.0	127.87551488229799	0.0	0.0	2.0	0.0	Act
PRL	3	dndscv		0.01177281566869848		99.0	2.0	2.0	108.070933628058	0.0	0.0	2.0	0.0	Act
OR1C1	3	dndscv		0.026715675864172277		99.0	2.0	2.0	128.09783395941298	0.0	0.0	2.0	0.0	Act
SRFBP1	3	dndscv		0.019688437067806427		99.0	2.0	2.0	86.40990741094221	0.0	0.0	2.0	0.0	Act
OR10K2	4	dndscv		0.06033627636977117		99.0	2.0	2.0	0.0	861.73868354502	861.73868354502	0.0	1.0	LoF
KIR3DX1	3	dndscv		0.011277249863714991		99.0	2.0	2.0	85.60598900146809	0.0	0.0	2.0	0.0	Act
PIK3CA	2	dndscv		0.008651210413279799	0.06797039145640217	99.0	3.0	3.0	62.6012109138223	0.0	0.0	3.0	0.0	Act
OR2M4	4	dndscv		0.21697794131077816		99.0	2.0	2.0	115.299281167215	0.0	0.0	2.0	0.0	Act
SF3B1	2	dndscv		0.0038042288709521054	0.019882921243283863	99.0	3.0	2.0	41.561239635826794	0.0	0.0	3.0	0.0	Act
FLRT2	3	dndscv		0.0009648305470519404		99.0	3.0	3.0	60.678388964985	0.0	0.0	3.0	0.0	Act
TOX2	3	dndscv		0.00028016716509209755		99.0	3.0	3.0	65.5687631279752	0.0	0.0	3.0	0.0	Act
WNT7B	3	oncodriveclustl		0.0004929782553939803		119.0	2.0	2.0	55.657130451221704	0.0	0.0	2.0	0.0	Act
DST	3	oncodrivefml		0.0009638010826712553		119.0	2.0	2.0	2.6144475570925896	19.7857187149453	19.7857187149453	1.0	1.0	LoF
ZNF585A	3	oncodriveclustl		0.023273852841231776		119.0	3.0	3.0	19.934384331720107	0.0	0.0	2.0	0.0	Act
TRPM2	3	oncodrivefml		0.00018251713500257876		127.0	2.0	2.0	8.2517402999087	110.258669692313	110.258669692313	1.0	1.0	LoF
PDZRN3	3	oncodrivefml		0.0015008235304673962		127.0	2.0	2.0	22.885691981487106	0.0	0.0	2.0	0.0	Act
FAM83H	3	oncodrivefml		0.0015008235304673962		127.0	2.0	2.0	0.0	151.786371212788	151.786371212788	0.0	1.0	LoF
DOCK3	3	oncodrivefml		0.0004929782553939803		127.0	2.0	2.0	7.52467435246269	64.0515276058935	64.0515276058935	1.0	1.0	LoF
KMT2C	2	oncodrivefml		0.0009648305470519404	0.004275890215608367	131.0	2.0	2.0	3.94949427221146	34.807621367905	34.807621367905	1.0	1.0	LoF
FLNA	2	oncodrivefml		0.002277495769847825	0.011536736220265834	132.0	2.0	2.0	11.581675365032401	0.0	0.0	2.0	0.0	Act
IGSF1	3	oncodrivefml		0.0007953049932904679		133.0	2.0	2.0	12.227808193984801	100.67387405826	100.67387405826	1.0	1.0	LoF
ADGRL2	3	oncodriveclustl		0.047344554106228856		133.0	2.0	2.0	22.3667156349413	0.0	0.0	2.0	0.0	Act
PREX2	2	oncodrivefml		0.005621701965272889	0.035171056127599534	133.0	2.0	2.0	18.4014479594102	0.0	0.0	2.0	0.0	Act
GPR156	4	oncodriveclustl		0.15359766367083302		137.0	2.0	2.0	9.138517183270801	0.0	0.0	1.0	0.0	Act
FLNC	3	oncodrivefml		0.003216334761967685		137.0	2.0	2.0	11.2885482198706	0.0	0.0	2.0	0.0	Act
DPP6	3	oncodrivefml		0.0022419948767460423		139.0	2.0	2.0	26.6669036489984	0.0	0.0	2.0	0.0	Act
MAP1B	3	oncodrivefml		0.0007572255302075647		141.0	2.0	2.0	9.123152583626302	127.91693732122	127.91693732122	1.0	1.0	LoF
UBASH3B	3	oncodrivefml		0.0031973553930351845		142.0	2.0	2.0	40.1036719925952	0.0	0.0	2.0	0.0	Act
