SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.2031517785956378e-09	5.932553375786238e-10	1.0	104.0	101.0	1704.63622694874	0.0	0.0	103.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.79261400572144e-11	8.839099488792438e-12	2.0	89.0	89.0	512.3131836611129	1389.8344216901	1389.8344216901	62.0	13.0	LoF
SMAD4	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.6254304572653873e-13	8.014743541011212e-14	3.0	30.0	29.0	95.7150734658809	798.541332012632	798.541332012632	11.0	10.0	LoF
CDKN2A	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	2.536610225679063e-07	1.2507628567836595e-07	4.0	34.0	31.0	106.17020879906099	2247.37979365293	2247.37979365293	12.0	11.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.935568208425437e-11	2.4336515439884767e-11	5.0	6.0	6.0	0.0	123.26262633285299	123.26262633285299	0.0	4.0	LoF
GNAS	1	oncodriveclustl,oncodrivefml,hotmaps,smregions,cbase,mutpanning	hotmaps,mutpanning	4.935568208425437e-11	2.4336515439884767e-11	6.0	5.0	5.0	14.624583503973902	0.0	0.0	5.0	0.0	Act
TGFBR2	1	dndscv,oncodrivefml,cbase	dndscv,oncodrivefml,cbase	0.0003328919218464034	0.00040124040925792873	7.0	7.0	7.0	26.7495038370166	180.67047599801003	180.67047599801003	4.0	2.0	LoF
RNF43	1	dndscv,oncodrivefml,cbase	dndscv,cbase	6.174314241682282e-06	4.349225503180664e-06	8.0	9.0	8.0	21.531498212724	159.865297129277	159.865297129277	4.0	2.0	LoF
EEF2	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase	cbase	2.76843843694863e-06		9.0	3.0	3.0	3.85775057677123	109.872897746641	109.872897746641	1.0	2.0	LoF
ADAMTS12	1	dndscv,oncodrivefml,cbase	dndscv,cbase	4.962434613993098e-07		10.0	8.0	7.0	23.7888344444108	83.8171070647847	83.8171070647847	6.0	2.0	LoF
NOS1	1	oncodriveclustl,dndscv,hotmaps,cbase	cbase	0.0006762076525293631		10.0	6.0	6.0	15.0904659468348	0.0	0.0	6.0	0.0	Act
FAM135B	1	dndscv,oncodrivefml,cbase	cbase	0.0008442779799338633	0.0012835925189393295	13.0	5.0	5.0	14.954815634385	38.52231134298	38.52231134298	4.0	1.0	LoF
DNAH9	1	oncodrivefml,smregions,cbase	cbase	0.00019968686149786485		13.0	4.0	4.0	3.0499767034339498	10.1817904280207	10.1817904280207	3.0	1.0	LoF
HECW2	1	oncodriveclustl,dndscv,smregions,cbase	cbase	0.0014938203325246735		15.0	7.0	7.0	16.4391327715278	0.0	0.0	7.0	0.0	Act
USP8	4	dndscv,oncodrivefml		0.1465172261516375	0.5069116178397735	16.0	4.0	4.0	4.4133647263441	0.0	0.0	1.0	0.0	Act
SACS	3	oncodrivefml,cbase		5.8748744922195204e-05		16.0	3.0	3.0	1.18788262572684	25.8856280972055	25.8856280972055	1.0	2.0	LoF
TRPM2	3	oncodrivefml,cbase		0.014114060538579372		18.0	3.0	3.0	4.50219739876836	28.346503262061898	28.346503262061898	2.0	1.0	LoF
KDM6A	2	dndscv,oncodrivefml		0.0018762630254514	0.005088357852218303	18.0	3.0	3.0	0.0	38.9816904464706	38.9816904464706	0.0	1.0	LoF
RDX	3	dndscv,oncodrivefml		0.003693248218453172		18.0	2.0	2.0	0.0	93.5314130896849	93.5314130896849	0.0	2.0	LoF
NTF3	3	dndscv,hotmaps		0.0034539201854590588		21.0	5.0	5.0	34.567447128347396	0.0	0.0	4.0	0.0	Act
