SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.1451725477433607e-17	1.0631614928919482e-17	1.0	75.0	74.0	1216.29144730283	3196.3075163587896	3196.3075163587896	55.0	10.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	2.0620055605155406e-07	1.9143358914682047e-07	2.0	85.0	84.0	7156.25062397932	0.0	0.0	85.0	0.0	Act
SMAD4	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	6.901531292259751e-14	6.407281004402607e-14	3.0	24.0	23.0	175.070842357501	1717.4844544018	1717.4844544018	8.0	8.0	LoF
CDKN2A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	5.650190758670117e-07	5.245554701734107e-07	4.0	24.0	23.0	244.229448568511	8580.87054700189	8580.87054700189	6.0	9.0	LoF
GNAS	1	oncodriveclustl,oncodrivefml,hotmaps,smregions,mutpanning	oncodrivefml,hotmaps,smregions,mutpanning	2.68989486102942e-13	2.4972591613463227e-13	5.0	4.0	4.0	33.6897347546305	0.0	0.0	4.0	0.0	Act
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.497951804860688e-08	6.960989110502175e-08	6.0	3.0	3.0	0.0	231.501843619108	231.501843619108	0.0	2.0	LoF
RNF43	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	2.238035250125906e-05	2.968227554575467e-05	7.0	11.0	9.0	84.308649880788	527.018748229341	527.018748229341	5.0	2.0	LoF
TGFBR2	1	dndscv,oncodrivefml,cbase	cbase	9.325536841357852e-05	0.00011904327058393492	8.0	5.0	5.0	60.98268951158871	293.616683778083	293.616683778083	3.0	1.0	LoF
SACS	1	oncodrivefml,cbase	cbase	6.169364641771266e-06		9.0	3.0	3.0	3.06193839914663	73.58504785686159	73.58504785686159	1.0	2.0	LoF
ATM	1	oncodrivefml,smregions,cbase		0.000511993403563845	0.0011090968216958114	10.0	4.0	4.0	15.536216162741802	73.1501336062594	73.1501336062594	3.0	1.0	LoF
KLHDC8A	1	oncodrivefml		0.00021180795732664756		10.0	2.0	2.0	36.1130480157816	502.395220620871	502.395220620871	1.0	1.0	LoF
RYBP	1	oncodrivefml		0.009575878317758994		12.0	2.0	2.0						ambiguous
