SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
HRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	4.7307607070648936e-07	3.977632528463762e-06	1.0	18.0	18.0	1048.00165705291	0.0	0.0	18.0	0.0	Act
EPAS1	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,smregions,cbase,mutpanning	5.666116586942101e-34	3.811265213669545e-33	2.0	8.0	8.0	111.203400933626	0.0	0.0	8.0	0.0	Act
RET	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.283554158855251e-17	8.633718068526358e-17	3.0	7.0	6.0	69.486734614305	0.0	0.0	7.0	0.0	Act
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	5.824055426585121e-12	3.9175014331652746e-11	4.0	10.0	9.0	8.86956789082056	183.136765161156	183.136765161156	2.0	3.0	LoF
MUC16	1	oncodrivefml,smregions,cbase	smregions,cbase	0.0014539551813001035	0.010866562308878136	5.0	5.0	5.0	4.36127063703461	0.0	0.0	5.0	0.0	Act
ABCA13	1	dndscv,smregions,cbase	cbase	0.004903433929396301		6.0	5.0	5.0	12.786371253875696	0.0	0.0	5.0	0.0	Act
P4HTM	4	dndscv,oncodrivefml		0.06825211000752297		7.0	2.0	2.0	18.7764940804347	0.0	0.0	1.0	0.0	Act
STAG2	2	dndscv,oncodrivefml		0.05425673140524444	0.2475096176310695	7.0	2.0	2.0	9.9651255639141	0.0	0.0	1.0	0.0	Act
COLGALT2	3	dndscv,oncodrivefml		0.0026014623548487803		7.0	2.0	2.0	37.244714295607	0.0	0.0	2.0	0.0	Act
ARNT	2	dndscv,oncodrivefml,mutpanning		0.03996700995453674	0.2475096176310695	7.0	2.0	2.0	15.6701786268789	0.0	0.0	1.0	0.0	Act
RYR1	3	oncodrivefml,smregions	smregions	0.009071177705313068		11.0	3.0	3.0	6.503908256567099	0.0	0.0	3.0	0.0	Act
FGFR1	2	oncodriveclustl,oncodrivefml	oncodriveclustl	0.00012851645277067313	0.0010085308424189145	14.0	2.0	2.0	27.6207546495663	0.0	0.0	2.0	0.0	Act
