SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
EPAS1	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase	oncodriveclustl,dndscv,smregions,cbase	1.4663678669655124e-12	1.2017474587889776e-11	1.0	8.0	8.0	118.608298620496	0.0	0.0	8.0	0.0	Act
HRAS	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	oncodriveclustl,dndscv,hotmaps,smregions,cbase	1.4663678669655124e-12	1.2017474587889776e-11	2.0	18.0	18.0	1121.57993147521	0.0	0.0	18.0	0.0	Act
RET	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	oncodriveclustl,dndscv,hotmaps,smregions,cbase	1.2410211736218126e-11	1.0170667779222443e-10	3.0	7.0	6.0	74.73022396858941	0.0	0.0	7.0	0.0	Act
NF1	1	dndscv,oncodrivefml,cbase	dndscv,oncodrivefml,cbase	1.0754124581517398e-05	0.00011016797164686646	4.0	5.0	5.0	9.4205379705738	197.42384145794	197.42384145794	2.0	3.0	LoF
MUC16	4	oncodrivefml,smregions,cbase	smregions,cbase	0.0560619778430198	0.43552286438356136	5.0	5.0	5.0	4.64933807504071	0.0	0.0	5.0	0.0	Act
RANBP2	2	oncodrivefml		4.46709818561722e-05	0.0005583489352670745	7.0	2.0	2.0	4.34028087017102	54.987411270316	54.987411270316	1.0	1.0	LoF
BCAR1	3	oncodriveclustl,dndscv,oncodrivefml	oncodriveclustl	8.24240796236733e-06		8.0	2.0	2.0	12.8604967755872	206.008455794601	206.008455794601	1.0	1.0	LoF
PLEKHA7	3	dndscv,oncodrivefml		4.46709818561722e-05		9.0	2.0	2.0	10.9639890991131	100.99162206705	100.99162206705	1.0	1.0	LoF
LCT	3	oncodrivefml		4.46709818561722e-05		10.0	2.0	2.0	6.6377351026905504	91.97730171808092	91.97730171808092	1.0	1.0	LoF
COLGALT2	3	dndscv,oncodrivefml		0.0003138402126432989		11.0	2.0	2.0	39.816425272341	0.0	0.0	2.0	0.0	Act
