SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
HRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.0116710220432046e-12	4.452601473560523e-12	1.0	18.0	18.0	898.7909933365131	0.0	0.0	18.0	0.0	Act
EPAS1	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,smregions,cbase,mutpanning	2.2634190488439784e-23	9.96183815941825e-23	2.0	8.0	8.0	94.74151973793992	0.0	0.0	8.0	0.0	Act
RET	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,mutpanning	oncodriveclustl,smregions,mutpanning	3.931902754252958e-17	1.7305226319644191e-16	3.0	4.0	4.0	34.0856251957784	0.0	0.0	4.0	0.0	Act
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	5.6571101059976825e-11	2.4898268552940414e-10	4.0	14.0	13.0	7.6874751103204915	157.142430209044	157.142430209044	2.0	3.0	LoF
ABCA13	1	dndscv,smregions,cbase	cbase	3.7652904576297166e-05		5.0	5.0	5.0	11.107874477836301	0.0	0.0	5.0	0.0	Act
ARNT	1	dndscv,oncodrivefml,mutpanning		0.02960507981876525	0.4177343421152502	7.0	2.0	2.0	13.3569926408169	0.0	0.0	1.0	0.0	Act
COG7	1	oncodriveclustl,dndscv		0.0006797667618172003		7.0	3.0	2.0	25.768423925794	0.0	0.0	2.0	0.0	Act
MUC16	1	oncodrivefml,smregions	smregions	0.00010393155166772121	0.0006653485642117642	11.0	7.0	7.0	4.41102540060454	0.0	0.0	6.0	0.0	Act
RYR1	1	smregions		0.0002560523513379416		12.0	3.0	3.0	5.64931644135105	0.0	0.0	3.0	0.0	Act
PRUNE2	1	smregions		0.0007088049709832753		13.0	3.0	3.0	10.5628059451605	0.0	0.0	3.0	0.0	Act
FGFR1	1	oncodriveclustl	oncodriveclustl	1.7351505098795773e-05	0.0001090972057799064	14.0	2.0	2.0	23.733107835968198	0.0	0.0	2.0	0.0	Act
BCAR1	1	oncodriveclustl,oncodrivefml	oncodriveclustl	8.021561374660032e-08		17.0	2.0	2.0	10.1810943126123	168.508376259163	168.508376259163	1.0	1.0	LoF
CSDE1	1	dndscv		0.00046427970334880574		17.0	2.0	2.0	0.0	272.35931631369704	272.35931631369704	0.0	0.0	ambiguous
MYOM2	4	dndscv		0.1768807501615384		20.0	3.0	3.0	6.38095343248997	0.0	0.0	1.0	0.0	Act
RSRC2	3	dndscv,oncodrivefml		0.00013814612061977295		20.0	2.0	2.0	0.0	197.175971499362	197.175971499362	0.0	1.0	LoF
RRBP1	3	dndscv,oncodrivefml		0.02960507981876525		20.0	2.0	2.0	10.630973195623303	0.0	0.0	1.0	0.0	Act
FAM187B	3	dndscv		0.000509734883537226		20.0	2.0	2.0	55.710221920539595	0.0	0.0	2.0	0.0	Act
SLFN11	3	dndscv		0.0007088049709832753		20.0	3.0	2.0	24.2450897783716	0.0	0.0	2.0	0.0	Act
EGLN1	3	dndscv,oncodrivefml		0.007138152093809422		20.0	2.0	2.0	20.7291785071702	0.0	0.0	1.0	0.0	Act
FEZ1	3	dndscv		0.01196148555430134		20.0	2.0	2.0	54.477276326403505	0.0	0.0	2.0	0.0	Act
CSTL1	3	dndscv		0.020846147328421355		20.0	2.0	2.0	77.6336255901211	0.0	0.0	1.0	0.0	Act
ATRX	4	dndscv		0.11984034049889535	0.6804208429903118	20.0	3.0	3.0	4.57197083758655	0.0	0.0	1.0	0.0	Act
COL6A6	4	oncodriveclustl		0.445691619536821		20.0	3.0	2.0	4.26849041931993	0.0	0.0	1.0	0.0	Act
VHL	2	dndscv		0.00010393155166772121	0.0006653485642117642	20.0	3.0	3.0	81.0932696917393	0.0	0.0	2.0	0.0	Act
NFE2L2	4	oncodriveclustl		0.16377320881683455	0.6804208429903118	65.0	2.0	2.0	17.651070803152198	0.0	0.0	1.0	0.0	Act
PLCL1	4	mutpanning		0.19487459758298867		83.0	2.0	2.0	8.88972760800401	0.0	0.0	1.0	0.0	Act
OGT	4	mutpanning		0.17888375098725112		89.0	2.0	2.0	9.155691374657199	0.0	0.0	1.0	0.0	Act
