SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
HRAS	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	oncodriveclustl,dndscv,hotmaps,smregions,cbase	2.2328536361462926e-07	2.3412127096651563e-06	1.0	18.0	18.0	1301.26249270252	0.0	0.0	18.0	0.0	Act
EPAS1	2	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase	oncodriveclustl,dndscv,smregions,cbase	1.278648901278276e-10	1.3407009803108985e-09	2.0	8.0	8.0	139.022412897276	0.0	0.0	8.0	0.0	Act
RET	2	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	oncodriveclustl,dndscv,hotmaps,smregions,cbase	3.9146098705494815e-06	5.4727781131407454e-05	3.0	7.0	6.0	85.77852979741	0.0	0.0	7.0	0.0	Act
NF1	2	dndscv,oncodrivefml,cbase	dndscv,oncodrivefml,cbase	1.9957021418197733e-05	0.00047082428838446643	4.0	5.0	5.0	11.190730161444499	237.428255742167	237.428255742167	2.0	3.0	LoF
MUC16	2	oncodrivefml,smregions,cbase	smregions,cbase	0.003716664236420976	0.12753922141771876	5.0	5.0	5.0	5.5236521202713	0.0	0.0	5.0	0.0	Act
FGFR1	2	oncodriveclustl,dndscv,oncodrivefml	oncodriveclustl	4.9888299089933756e-05	0.001150805675771619	7.0	2.0	2.0	34.4676117428063	0.0	0.0	2.0	0.0	Act
BCAR1	3	oncodriveclustl,dndscv,oncodrivefml	oncodriveclustl	1.5193325037459875e-06		8.0	2.0	2.0	14.639013064402	235.675476751725	235.675476751725	1.0	1.0	LoF
PLEKHA7	3	dndscv,oncodrivefml		1.3483915351368974e-05		46.0	2.0	2.0	12.697621684542101	114.66815612882	114.66815612882	1.0	1.0	LoF
SVIL	3	oncodrivefml		1.7887299798543782e-05		49.0	2.0	2.0	6.71464151099687	79.0002352585433	79.0002352585433	1.0	1.0	LoF
HUWE1	3	oncodrivefml		3.655831943686476e-05		50.0	3.0	3.0	10.5708962324218	0.0	0.0	3.0	0.0	Act
USP34	3	oncodrivefml		0.000555850639478903		50.0	2.0	2.0	9.03048913208087	0.0	0.0	2.0	0.0	Act
BOD1L1	3	oncodrivefml		1.9957021418197733e-05		50.0	2.0	2.0	5.39525071591109	90.413482656474	90.413482656474	1.0	1.0	LoF
COLGALT2	3	oncodrivefml		7.300367496028953e-05		50.0	2.0	2.0	46.5715698615833	0.0	0.0	2.0	0.0	Act
ABCA12	3	oncodrivefml		0.00033105838826608585		50.0	2.0	2.0	12.3467783478195	0.0	0.0	2.0	0.0	Act
USP15	3	dndscv,oncodrivefml		1.9957021418197733e-05		55.0	2.0	2.0	16.116661235349	154.135060300108	154.135060300108	1.0	1.0	LoF
FGD6	3	oncodrivefml		0.00021618048032999863		56.0	2.0	2.0	23.028795580608893	0.0	0.0	2.0	0.0	Act
WDR11	3	dndscv,oncodrivefml		0.0002469323713788749		57.0	2.0	2.0	25.679469996377602	0.0	0.0	2.0	0.0	Act
PCDHB4	3	dndscv,oncodrivefml		7.464433583187751e-05		57.0	2.0	2.0	34.980150113428394	0.0	0.0	2.0	0.0	Act
DENND4A	3	dndscv,oncodrivefml		0.00048099029021856043		57.0	2.0	2.0	16.7323997763374	0.0	0.0	2.0	0.0	Act
GBA	3	dndscv,oncodrivefml		8.905866998269313e-05		57.0	2.0	2.0	57.0408624660055	0.0	0.0	2.0	0.0	Act
RP1L1	3	dndscv,oncodrivefml		0.0001402317013312032		57.0	4.0	2.0	19.2610380745232	0.0	0.0	3.0	0.0	Act
VHL	2	dndscv,oncodrivefml		0.0001695562879791818	0.0045716079830353355	57.0	3.0	3.0	113.317799129223	0.0	0.0	2.0	0.0	Act
KLHL7	3	dndscv,oncodrivefml		0.0001756465581458127		57.0	2.0	2.0	52.91187752240379	0.0	0.0	2.0	0.0	Act
TFAP2D	3	dndscv,oncodrivefml		5.216286140095897e-05		57.0	2.0	2.0	65.7700822438116	0.0	0.0	2.0	0.0	Act
