SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
HRAS	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	oncodriveclustl,dndscv,hotmaps,smregions,cbase	1.2876461061991284e-16	9.56345493458311e-16	1.0	18.0	18.0	1142.24147052081	0.0	0.0	18.0	0.0	Act
EPAS1	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase	oncodriveclustl,dndscv,smregions,cbase	4.559995771230056e-07	4.233433574071654e-06	2.0	8.0	8.0	121.03640392244301	0.0	0.0	8.0	0.0	Act
RET	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	oncodriveclustl,dndscv,hotmaps,cbase	1.043511053083072e-10	7.7502435505024e-10	3.0	7.0	6.0	75.19128558784229	0.0	0.0	7.0	0.0	Act
NF1	1	dndscv,oncodrivefml,cbase	dndscv,cbase	1.0664712633980251e-07	7.920770945862417e-07	4.0	13.0	12.0	9.74092664486255	209.335753341504	209.335753341504	2.0	3.0	LoF
BCAR1	1	oncodriveclustl,dndscv,oncodrivefml	oncodriveclustl	4.559995771230056e-07		5.0	2.0	2.0	12.8538619731073	216.71193593850103	216.71193593850103	1.0	1.0	LoF
STAG2	1	dndscv,oncodrivefml		0.027570898457339583	0.24426334470079866	6.0	2.0	2.0	10.9052561166878	0.0	0.0	1.0	0.0	Act
MUC16	1	oncodrivefml,smregions,cbase	smregions,cbase	0.013405551130627058	0.21184580800233307	7.0	5.0	5.0	4.95109701468473	0.0	0.0	5.0	0.0	Act
ATP6V1G3	1	dndscv,oncodrivefml		0.004172555082530581		8.0	2.0	2.0	235.48610306074403	0.0	0.0	2.0	0.0	Act
CSDE1	1	dndscv,oncodrivefml		0.02140655855198315		8.0	2.0	2.0	0.0	363.620680093993	363.620680093993	0.0	0.0	ambiguous
ABCA13	4	dndscv,oncodrivefml,smregions,cbase	cbase	0.0571007219393731		11.0	5.0	5.0	14.0656527247898	0.0	0.0	5.0	0.0	Act
OR6Y1	3	dndscv,oncodrivefml		0.006894738196355369		11.0	2.0	2.0	80.6117332978675	0.0	0.0	2.0	0.0	Act
P4HTM	3	dndscv,oncodrivefml		0.026384428487193058		11.0	2.0	2.0	20.246020630335398	0.0	0.0	1.0	0.0	Act
FGFR1	2	oncodriveclustl,oncodrivefml	oncodriveclustl	0.0002465151817220308	0.002409074986588351	14.0	2.0	2.0	30.112903918756103	0.0	0.0	2.0	0.0	Act
TFAP2D	3	dndscv,oncodrivefml		0.006323617676406957		15.0	2.0	2.0	57.407759188183405	0.0	0.0	2.0	0.0	Act
VHL	2	dndscv,oncodrivefml		0.004172555082530581	0.04066370085576474	15.0	3.0	3.0	100.926121467902	0.0	0.0	2.0	0.0	Act
ZFC3H1	4	dndscv		0.29618640220374504		17.0	2.0	2.0	7.0771845389546	0.0	0.0	1.0	0.0	Act
ATRX	2	dndscv		0.2210462025459768	0.24426334470079866	17.0	3.0	3.0	5.80349939315527	0.0	0.0	1.0	0.0	Act
CSTL1	4	dndscv		0.05380062818133784		17.0	2.0	2.0	98.9217117742062	0.0	0.0	1.0	0.0	Act
PRTG	4	oncodrivefml		0.180482866196802		43.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	ambiguous
PLEKHA7	3	oncodrivefml		7.394822633822855e-05		43.0	2.0	2.0	11.178422489774599	103.636258607909	103.636258607909	1.0	1.0	LoF
BOD1L1	3	oncodrivefml		0.0005592459554802479		43.0	2.0	2.0	4.72511348861373	76.18722776431329	76.18722776431329	1.0	1.0	LoF
RAI1	3	oncodrivefml		0.013405551130627058		43.0	2.0	2.0	6.73798225264952	0.0	0.0	1.0	0.0	Act
LCT	3	oncodrivefml		0.00013836919096124584		43.0	2.0	2.0	6.82637759628331	96.9364226699189	96.9364226699189	1.0	1.0	LoF
SACS	3	oncodrivefml		0.009353329653349209		43.0	2.0	2.0	6.18552124522208	0.0	0.0	2.0	0.0	Act
GBA	3	oncodrivefml		0.006260535483806982		43.0	2.0	2.0	49.3437774086609	0.0	0.0	2.0	0.0	Act
FGD6	3	oncodrivefml		0.005923555593162292		43.0	2.0	2.0	19.9408155594642	0.0	0.0	2.0	0.0	Act
MXRA5	3	oncodrivefml		0.011575561166580137		43.0	2.0	2.0	0.0	89.5454901346721	89.5454901346721	0.0	1.0	LoF
USP34	3	oncodrivefml		0.005584163145354986		43.0	2.0	2.0	7.85889061685919	0.0	0.0	2.0	0.0	Act
COLGALT2	3	oncodrivefml		0.0014632120718103894		43.0	2.0	2.0	40.517556317661	0.0	0.0	2.0	0.0	Act
HUWE1	3	oncodrivefml		0.001081205767358839		43.0	3.0	3.0	9.25036195683782	0.0	0.0	3.0	0.0	Act
USP15	3	oncodrivefml		0.0006356472615017556		43.0	2.0	2.0	13.9826496502868	134.918206505712	134.918206505712	1.0	1.0	LoF
ABCA12	3	oncodrivefml		0.005584163145354986		43.0	2.0	2.0	10.7343236956137	0.0	0.0	2.0	0.0	Act
MLLT6	2	oncodrivefml		0.008275801268553816	0.11410601088542233	57.0	2.0	2.0	23.5572895901294	0.0	0.0	2.0	0.0	Act
SORBS1	3	oncodrivefml		0.011575561166580137		57.0	2.0	2.0	20.1720799194645	0.0	0.0	2.0	0.0	Act
POLR1A	3	oncodrivefml		0.013395181058974857		57.0	2.0	2.0	15.1137696195933	0.0	0.0	2.0	0.0	Act
C2CD3	4	oncodrivefml		0.12321792245528737		57.0	2.0	2.0	5.605080438193671	0.0	0.0	1.0	0.0	Act
WDR11	3	oncodrivefml		0.013840894204226862		57.0	2.0	2.0	22.3120018906106	0.0	0.0	2.0	0.0	Act
RYR1	3	oncodrivefml		0.02082630193626304		57.0	2.0	2.0	4.74714631880287	0.0	0.0	2.0	0.0	Act
DENND4A	3	oncodrivefml		0.01387265987220685		57.0	2.0	2.0	14.524047690748803	0.0	0.0	2.0	0.0	Act
