SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
SPOP	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.997903004315816e-17	2.4276308395390278e-17	1.0	47.0	47.0	450.738693997685	0.0	0.0	47.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.53371924783432e-13	2.2867355571331933e-13	2.0	33.0	32.0	239.599182520197	483.87933661496396	483.87933661496396	31.0	2.0	LoF
IDH1	1	oncodriveclustl,dndscv,hotmaps,mutpanning	hotmaps,mutpanning	1.4567051699067036e-09	4.4215869993336724e-10	3.0	4.0	4.0	32.3352606846921	0.0	0.0	4.0	0.0	Act
PIK3CA	1	oncodriveclustl,dndscv,hotmaps		1.4729000167550557e-06	6.457741003406939e-07	4.0	8.0	8.0	12.264957991412802	0.0	0.0	7.0	0.0	Act
APC	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.1951653338693795e-09	3.627726194333196e-10	5.0	7.0	7.0	3.60674725171039	88.64260782906669	88.64260782906669	2.0	5.0	LoF
CDK12	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	2.1958970128652049e-07	7.617464307841105e-08	6.0	8.0	8.0	6.161289377098732	63.9303030741803	63.9303030741803	4.0	3.0	LoF
FOXA1	1	dndscv,oncodrivefml,smregions,mutpanning	smregions,mutpanning	5.6553932731003855e-05	3.6620818197547446e-05	7.0	7.0	7.0	15.120695129419	0.0	0.0	6.0	0.0	Act
KDM6A	1	dndscv,oncodrivefml,smregions,mutpanning		1.4367076475268597e-08	4.36088783604364e-09	8.0	3.0	3.0	0.0	30.9190791353853	30.9190791353853	0.0	2.0	LoF
CSMD3	1	dndscv,smregions,mutpanning		3.749154004411215e-07	1.4224919141896528e-07	9.0	13.0	13.0	4.75307092982993	17.2739824069401	17.2739824069401	9.0	2.0	LoF
PCDHB7	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	4.064703206730938e-05		10.0	5.0	5.0	15.455652915825901	94.8929694248136	94.8929694248136	4.0	1.0	LoF
ZMYM3	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase	1.920307485821437e-06	8.160284939748654e-07	10.0	6.0	5.0	13.064961832662199	53.4656493340804	53.4656493340804	5.0	1.0	LoF
KMT2C	1	oncodriveclustl,cbase,mutpanning	cbase	4.069818047086674e-05	2.471587947551637e-05	12.0	14.0	14.0	3.1765388948526603	9.66748588651315	9.66748588651315	9.0	3.0	LoF
CD5L	1	dndscv,cbase,mutpanning		0.0003260051151520722		13.0	6.0	6.0	14.896781203673699	89.9065934446339	89.9065934446339	3.0	2.0	LoF
PIWIL1	1	dndscv,cbase,mutpanning	cbase	4.069818047086674e-05		14.0	7.0	6.0	24.7155423344418	32.2523881129042	32.2523881129042	6.0	1.0	LoF
BRAF	1	dndscv,hotmaps		4.7659288020080265e-05	3.099897131756726e-05	14.0	5.0	5.0	25.575347604413	0.0	0.0	5.0	0.0	Act
PLCB4	1	hotmaps,cbase,mutpanning	cbase	6.463051419400886e-07		14.0	6.0	6.0	18.004036996458897	24.8065168305721	24.8065168305721	5.0	1.0	LoF
