SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
SPOP	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.783914142206898e-28	7.717460277579775e-29	1.0	48.0	48.0	416.977954710217	0.0	0.0	48.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.0977958719813989e-17	3.04326771665139e-18	2.0	33.0	32.0	222.23340864473	441.542803806772	441.542803806772	31.0	2.0	LoF
FOXA1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	7.449243789712978e-13	2.0650508639445384e-13	3.0	13.0	13.0	28.438766753154002	0.0	0.0	12.0	0.0	Act
IDH1	1	oncodriveclustl,dndscv,hotmaps,mutpanning	hotmaps,mutpanning	2.891825072604819e-08	8.016606830354728e-09	4.0	4.0	4.0	30.2976618532793	0.0	0.0	4.0	0.0	Act
APC	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	4.685795846693277e-11	1.2989783976253136e-11	5.0	7.0	7.0	3.1231589743705697	77.9172125116918	77.9172125116918	2.0	5.0	LoF
CDK12	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	4.998085825407582e-08	1.3855502307603443e-08	6.0	8.0	8.0	5.64009808610373	59.46965046151421	59.46965046151421	4.0	3.0	LoF
KDM6A	1	dndscv,oncodrivefml,mutpanning		8.744953542219186e-09	2.4242425643865786e-09	7.0	4.0	4.0	1.40282934463024	30.7252859813063	30.7252859813063	1.0	2.0	LoF
KMT2C	1	oncodriveclustl,oncodrivefml,cbase,mutpanning	cbase	1.0997842023302498e-07	3.0487796899746034e-08	8.0	16.0	16.0	3.26509298647379	12.026119914593696	12.026119914593696	10.0	4.0	LoF
ZMYM3	1	dndscv,oncodrivefml,smregions,cbase,mutpanning		6.645839259221861e-08	1.8423341336800885e-08	9.0	6.0	5.0	12.1974840029094	49.716860243088895	49.716860243088895	5.0	1.0	LoF
PTEN	1	dndscv,oncodrivefml,smregions,mutpanning		3.874361762460429e-08	1.0740357451921795e-08	10.0	4.0	4.0	26.5559451870993	138.25624848028698	138.25624848028698	3.0	1.0	LoF
CD5L	1	dndscv,cbase,mutpanning		0.00010911105078335688		11.0	6.0	6.0	13.6924864502932	82.3713173661358	82.3713173661358	3.0	2.0	LoF
ASH1L	1	dndscv,cbase,mutpanning		5.030819937489255e-06		12.0	6.0	6.0	1.40091230201741	20.4540368643896	20.4540368643896	2.0	3.0	LoF
HOXB13	1	dndscv,cbase,mutpanning	mutpanning	3.7209985051333764e-06		12.0	5.0	5.0	36.01027120878479	0.0	0.0	4.0	0.0	Act
PLCB4	1	dndscv,hotmaps,cbase,mutpanning		3.9372918136877995e-07		12.0	6.0	6.0	16.192332725273598	22.2840877864678	22.2840877864678	5.0	1.0	LoF
CSMD3	1	dndscv,smregions,mutpanning		8.189171426097468e-07	2.8893082558781605e-07	12.0	13.0	13.0	4.240399420970871	15.478522828394802	15.478522828394802	9.0	2.0	LoF
