SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
SPOP	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.90758322355264e-24	5.434093940741892e-25	1.0	55.0	54.0	324.073334306585	0.0	0.0	54.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.623997848053786e-23	1.051090554564181e-23	2.0	49.0	47.0	188.320996544487	309.965913868719	309.965913868719	39.0	2.0	LoF
IDH1	1	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	3.085487000128534e-08	5.766585140476133e-09	3.0	4.0	4.0	21.056069514817	0.0	0.0	4.0	0.0	Act
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	1.2415540122118171e-11	2.3203879703984952e-12	3.0	27.0	24.0	3.8696251976743103	14.287779425191099	14.287779425191099	10.0	3.0	LoF
ZMYM3	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase,mutpanning	5.877941077548497e-10	1.0985509798930743e-10	5.0	7.0	6.0	8.45502496236932	52.6814737106989	52.6814737106989	5.0	2.0	LoF
APC	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	7.718050454091631e-08	1.4424560874881608e-08	5.0	11.0	10.0	2.51101581838223	73.3941063581729	73.3941063581729	2.0	6.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,mutpanning	hotmaps,mutpanning	5.877941077548497e-10	1.0985509798930743e-10	7.0	13.0	12.0	8.977317935155279	0.0	0.0	10.0	0.0	Act
CDK12	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	1.9114803388891298e-08	3.5724390081990823e-09	8.0	16.0	11.0	6.311270709122501	43.767495192618	43.767495192618	6.0	3.0	LoF
PTEN	1	dndscv,smregions,mutpanning	mutpanning	4.003953065571775e-08	7.483141640242923e-09	8.0	12.0	12.0	18.6755429719476	97.08998341347441	97.08998341347441	3.0	1.0	LoF
FOXA1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodrivefml,smregions,mutpanning	4.58959734716225e-07	1.0137251950636693e-07	8.0	25.0	25.0	15.6239446758916	0.0	0.0	9.0	0.0	Act
HRAS	1	oncodriveclustl,dndscv,hotmaps		0.00024888754268898223	8.140221006295612e-05	11.0	4.0	4.0	33.9722002170348	0.0	0.0	4.0	0.0	Act
KDM6A	1	oncodrivefml,cbase,mutpanning	mutpanning	7.718050454091631e-08	1.4424560874881608e-08	12.0	9.0	9.0	3.03370201464746	21.899744943906608	21.899744943906608	3.0	2.0	LoF
PLCB4	1	dndscv,hotmaps,cbase,mutpanning	cbase	5.488976045128383e-07		12.0	8.0	8.0	16.6528001411277	16.6615137706555	16.6615137706555	7.0	1.0	ambiguous
SMARCA1	1	smregions,mutpanning		8.707996308992048e-07		12.0	7.0	7.0	6.6327582730562815	31.306716171825	31.306716171825	3.0	1.0	LoF
KMT2C	1	oncodriveclustl,mutpanning		2.452422355759302e-06	6.220364286364212e-07	12.0	22.0	21.0	1.9605029773166496	6.001731770534309	6.001731770534309	9.0	3.0	LoF
CTNNB1	1	dndscv,cbase,mutpanning	dndscv	0.00022233394351441426	7.618021489661647e-05	16.0	10.0	10.0	28.386659875543398	0.0	0.0	10.0	0.0	Act
CSMD3	1	dndscv,smregions,mutpanning		1.7804012435803104e-06	4.6072526585562467e-07	16.0	15.0	15.0	4.32228726749183	12.922444920366097	12.922444920366097	11.0	1.0	LoF
LAMA3	3	oncodriveclustl,oncodrivefml,cbase,mutpanning	cbase	3.65965022190762e-07		18.0	9.0	8.0	2.69160213761902	15.287847418118599	15.287847418118599	5.0	3.0	LoF
AKT1	2	oncodriveclustl,hotmaps		0.00022233394351441426	7.618021489661647e-05	18.0	3.0	3.0	10.450078180855499	0.0	0.0	3.0	0.0	Act
TP53BP1	3	oncodrivefml,cbase,mutpanning		5.875838868135581e-06		18.0	5.0	5.0	4.29565718892058	25.5084160819134	25.5084160819134	3.0	2.0	LoF
