SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
SPOP	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.4973822935200688e-20	4.426133669599327e-21	1.0	55.0	54.0	303.112270604594	0.0	0.0	54.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.1765431929189758e-24	3.857507572834277e-25	2.0	51.0	49.0	183.92710933733798	287.408771079936	287.408771079936	41.0	2.0	LoF
FOXA1	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.725572982133467e-19	6.602867353371021e-20	3.0	35.0	33.0	25.0729579230801	61.8811716118336	61.8811716118336	15.0	1.0	LoF
IDH1	1	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	1.0186555399863032e-08	1.8053726075322752e-09	4.0	4.0	4.0	19.301563268598798	0.0	0.0	4.0	0.0	Act
APC	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.956265937537521e-09	3.4671081617306804e-10	5.0	13.0	10.0	2.19135831162731	64.5102346234991	64.5102346234991	2.0	6.0	LoF
ZMYM3	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase,mutpanning	2.3060051033867604e-11	4.086954110650659e-12	6.0	7.0	6.0	7.77559465048056	48.5744443861451	48.5744443861451	5.0	2.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,mutpanning	hotmaps,mutpanning	2.5744252478991217e-10	4.562677608133417e-11	7.0	13.0	12.0	8.61428982640553	0.0	0.0	10.0	0.0	Act
PTEN	1	dndscv,smregions,mutpanning	mutpanning	1.30250726314401e-06	2.803112555763032e-07	8.0	12.0	12.0	17.0401531668954	88.9891202678669	88.9891202678669	3.0	1.0	LoF
CSMD3	1	dndscv,cbase,mutpanning	cbase,mutpanning	1.1576271027243777e-07	2.0516731897650542e-08	8.0	17.0	17.0	4.07710356562205	18.305297035054	18.305297035054	11.0	3.0	LoF
CDK12	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	1.367259930806114e-07	2.4232073842027322e-08	8.0	16.0	11.0	6.079541395187451	42.4621812178281	42.4621812178281	6.0	3.0	LoF
PLCB4	1	dndscv,hotmaps,cbase,mutpanning	cbase	8.872506043129617e-06		11.0	8.0	8.0	15.010679770865801	15.039207632134499	15.039207632134499	7.0	1.0	ambiguous
CTNNB1	1	dndscv,cbase,mutpanning	dndscv	1.824043981279174e-06	3.8793239631679383e-07	12.0	11.0	11.0	28.8822874181141	0.0	0.0	11.0	0.0	Act
HRAS	1	oncodriveclustl,dndscv,hotmaps		9.722541770972024e-05	3.1016430795091964e-05	13.0	4.0	4.0	31.390819126466397	0.0	0.0	4.0	0.0	Act
ATM	1	oncodriveclustl,dndscv,oncodrivefml,smregions		4.173473604995085e-05	1.1916882609783105e-05	13.0	20.0	19.0	5.74404885607634	0.0	0.0	15.0	0.0	Act
KDM6A	1	oncodrivefml,cbase,mutpanning	mutpanning	8.227652670695206e-08	1.4581944703469255e-08	15.0	9.0	9.0	3.0124164656109	21.881054554980306	21.881054554980306	3.0	2.0	LoF
SMARCA1	1	smregions,mutpanning		3.7454948899762236e-06		15.0	7.0	7.0	5.98686752420367	28.3723198062058	28.3723198062058	3.0	1.0	LoF
KMT2D	1	oncodrivefml,cbase,mutpanning	cbase,mutpanning	4.158983895310121e-08	7.371005511698027e-09	15.0	30.0	26.0	3.97996381129507	13.449063769784999	13.449063769784999	11.0	3.0	LoF
TP53BP1	1	oncodrivefml,cbase,mutpanning		2.4713273959443934e-06		15.0	5.0	5.0	3.89382136153831	23.2370544103623	23.2370544103623	3.0	2.0	LoF
KMT2C	1	oncodrivefml,cbase,mutpanning	mutpanning	8.227652670695206e-08	1.4581944703469255e-08	15.0	26.0	25.0	2.5300240858357297	7.79268469047825	7.79268469047825	12.0	4.0	LoF
LAMA3	1	oncodriveclustl,oncodrivefml,cbase,mutpanning	cbase	3.593828465788261e-07		15.0	9.0	8.0	2.51928656293221	14.296331175106499	14.296331175106499	5.0	3.0	LoF
CD5L	1	dndscv,mutpanning		0.010916248085099386		21.0	6.0	6.0	9.727296150469108	59.2249806322034	59.2249806322034	3.0	2.0	LoF
ANAPC5	1	dndscv,cbase,mutpanning	cbase	3.979124224013564e-05		21.0	6.0	5.0	14.691744278567901	30.3112772957999	30.3112772957999	5.0	1.0	LoF
