SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
SPOP	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.951028435510551e-21	1.2580482090231727e-21	1.0	48.0	48.0	389.44970169319197	0.0	0.0	48.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.4963837496285265e-25	3.802286576924945e-26	2.0	43.0	41.0	217.643640372353	404.6380598000551	404.6380598000551	34.0	2.0	LoF
FOXA1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	9.696624293357221e-15	2.4638963368366705e-15	3.0	24.0	22.0	18.0069724445429	83.64725639290029	83.64725639290029	8.0	1.0	LoF
KMT2D	1	oncodrivefml,smregions,cbase,mutpanning	cbase,mutpanning	2.777851715356791e-13	7.058475670168894e-14	4.0	25.0	21.0	3.6506428723240494	16.6685242718576	16.6685242718576	8.0	3.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,mutpanning	hotmaps,mutpanning	3.2327385473369277e-12	8.214335653069242e-13	5.0	10.0	9.0	12.8794258799738	0.0	0.0	8.0	0.0	Act
IDH1	1	oncodriveclustl,dndscv,hotmaps,mutpanning	hotmaps,mutpanning	9.718758855929844e-10	2.4695206929002067e-10	6.0	4.0	4.0	26.857312619739105	0.0	0.0	4.0	0.0	Act
APC	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.2955773509889248e-08	3.2920408098898913e-09	7.0	11.0	10.0	4.52060244450608	87.12349531206829	87.12349531206829	3.0	6.0	LoF
CDK12	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	3.4743918497366326e-07	9.507478327778679e-08	8.0	14.0	9.0	6.97389169929125	57.25350393700721	57.25350393700721	5.0	3.0	LoF
KDM6A	1	oncodrivefml,cbase,mutpanning	mutpanning	1.6210692315341843e-08	4.1191103424229255e-09	9.0	6.0	6.0	1.32553387294114	28.348053840598002	28.348053840598002	1.0	2.0	LoF
PTEN	1	dndscv,smregions,mutpanning	mutpanning	3.04060306186329e-08	7.726122534242788e-09	10.0	12.0	12.0	25.152049785996102	128.68047830430902	128.68047830430902	3.0	1.0	LoF
KMT2C	1	oncodriveclustl,oncodrivefml,cbase,mutpanning	cbase,mutpanning	1.2485048207721753e-09	3.172430282289954e-10	11.0	21.0	20.0	3.32920087344523	12.0367947182305	12.0367947182305	10.0	4.0	LoF
ZMYM3	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase	1.2955773509889248e-08	3.2920408098898913e-09	12.0	6.0	5.0	10.7878688545456	44.240918538754215	44.240918538754215	5.0	1.0	LoF
CSMD3	1	dndscv,smregions,cbase,mutpanning	cbase,mutpanning	2.6035901152116973e-08	6.6156798009477546e-09	13.0	14.0	14.0	4.34478051623728	19.5562889952948	19.5562889952948	9.0	3.0	LoF
ZFHX3	1	cbase,mutpanning	cbase	1.4935000378695095e-05	5.218068779851463e-06	14.0	11.0	11.0	1.30525933006799	21.4353912241618	21.4353912241618	3.0	3.0	LoF
ANOS1	1	oncodrivefml,mutpanning		3.439142161866324e-05		15.0	3.0	3.0	4.072496236279689	54.36581784494122	54.36581784494122	1.0	2.0	LoF
PCDHB7	1	cbase,mutpanning	cbase	0.00018240070040293768		16.0	5.0	5.0	12.690637503787196	77.7136991086221	77.7136991086221	4.0	1.0	LoF
PLCB4	1	hotmaps,cbase,mutpanning	cbase	1.956450822294005e-07		17.0	6.0	6.0	15.162277143164502	20.8631973411769	20.8631973411769	5.0	1.0	LoF
AGAP4	1	oncodriveclustl,dndscv,mutpanning	oncodriveclustl,mutpanning	9.818019443233824e-05		18.0	5.0	5.0	24.3908475662012	0.0	0.0	5.0	0.0	Act
CD5L	1	dndscv,cbase,mutpanning		0.0013897754908006412		19.0	6.0	6.0	13.4363242942088	81.3665793929465	81.3665793929465	3.0	2.0	LoF
RNF43	1	oncodrivefml,cbase,mutpanning		3.638742210823985e-06	1.1711580121176654e-06	20.0	3.0	3.0	4.16911917483428	91.80163935868349	91.80163935868349	1.0	2.0	LoF
STAB2	1	smregions,cbase,mutpanning		1.0621964992731079e-06		21.0	8.0	8.0	11.5933363635166	0.0	0.0	8.0	0.0	Act
ATM	1	oncodriveclustl,dndscv,oncodrivefml,mutpanning		2.8828619220346734e-06	9.418249136389624e-07	22.0	15.0	15.0	8.535207031714881	0.0	0.0	12.0	0.0	Act
GRM1	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	2.7373130805406874e-05		23.0	7.0	7.0	14.8997297551019	41.4989034672921	41.4989034672921	6.0	1.0	LoF
OBSCN	1	smregions,mutpanning		0.0002106396659303081		24.0	17.0	15.0	1.95424306070811	0.0	0.0	13.0	0.0	Act
SMARCA1	1	smregions,mutpanning		1.0621964992731079e-06		24.0	6.0	6.0	8.912890751049	41.551786627844	41.551786627844	3.0	1.0	LoF
ASTN1	1	dndscv,cbase,mutpanning	cbase	4.11668866992432e-07		26.0	7.0	7.0	15.5686426974665	29.864306698935	29.864306698935	6.0	1.0	LoF
ASH1L	1	cbase,mutpanning		1.918421047397137e-05		27.0	7.0	7.0	1.38656203876392	19.617890613153502	19.617890613153502	2.0	3.0	LoF
CUL3	1	oncodriveclustl,mutpanning		0.0004066989230550143	0.0002468714318908625	28.0	4.0	4.0	13.0744040149944	0.0	0.0	4.0	0.0	Act
SCN1A	1	oncodrivefml,cbase,mutpanning	cbase	0.00012511401183121242		29.0	6.0	6.0	7.21521834659353	33.69134569989649	33.69134569989649	4.0	2.0	LoF
PIWIL1	1	dndscv,cbase,mutpanning	cbase	0.0004086975775963549		30.0	7.0	6.0	20.228277627521894	26.271751457399997	26.271751457399997	6.0	1.0	LoF
DAPK1	1	cbase,mutpanning		0.000500165365550075		31.0	4.0	4.0	6.284249630525429	26.7301619311389	26.7301619311389	3.0	1.0	LoF
ELOVL6	1	dndscv,oncodrivefml,mutpanning		3.3575875388730704e-05		32.0	2.0	2.0	0.0	173.458350011825	173.458350011825	0.0	2.0	LoF
OR4P4	1	oncodriveclustl,hotmaps		0.008588476227447513		33.0	4.0	4.0	32.3919697400278	0.0	0.0	3.0	0.0	Act
HOXB13	1	dndscv,mutpanning		0.013715595551909234		34.0	4.0	4.0	30.8110583404663	0.0	0.0	4.0	0.0	Act
ANO4	1	dndscv,mutpanning		0.0014100273801335966		34.0	4.0	4.0	13.4904987778715	42.878710657143394	42.878710657143394	4.0	0.0	Act
BRAF	1	dndscv,hotmaps		1.7433967958529794e-05	5.9934518584531075e-06	36.0	6.0	6.0	21.418587499549197	0.0	0.0	5.0	0.0	Act
COL5A3	1	oncodrivefml,cbase		2.7373130805406874e-05		37.0	2.0	2.0	0.0	33.9892023470191	33.9892023470191	0.0	2.0	LoF
ETV3	1	oncodrivefml,smregions	smregions	1.1892448268890068e-05		38.0	4.0	4.0	11.9807432179539	85.9203421109678	85.9203421109678	2.0	1.0	LoF
VPS52	1	oncodrivefml,cbase		0.0004086975775963549		39.0	3.0	2.0	4.01569308837125	61.458796163472606	61.458796163472606	1.0	2.0	LoF
