SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.6856833469447e-21	6.812138834477307e-22	1.0	79.0	77.0	762.4952977059061	1784.2567249889898	1784.2567249889898	68.0	11.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	8.732580939755796e-08	2.8190751573572123e-08	2.0	49.0	47.0	1509.5188887284805	0.0	0.0	49.0	0.0	Act
APC	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	7.837042218683789e-26	1.9878374606622344e-26	3.0	106.0	82.0	10.900863436645901	2452.54117124502	2452.54117124502	4.0	102.0	LoF
FBXW7	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	9.031480415765827e-20	2.2908023964571448e-20	4.0	18.0	15.0	102.117727667462	490.196727594531	490.196727594531	12.0	6.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	2.218147530949664e-19	5.626251119057668e-20	5.0	19.0	18.0	94.17951038126249	0.0	0.0	19.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	2.887225906101947e-20	7.323344258451399e-21	6.0	14.0	14.0	381.7931188995049	0.0	0.0	14.0	0.0	Act
SMAD4	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	2.7727259321963503e-14	7.0329192090216934e-15	7.0	15.0	15.0	169.93596695031	0.0	0.0	15.0	0.0	Act
SOX9	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.3456868965760825e-12		8.0	5.0	5.0	6.4169128463279295	576.998275179824	576.998275179824	1.0	4.0	LoF
TCF7L2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	4.5352047661273434e-10	1.2941306022874052e-10	9.0	10.0	9.0	15.1959574081004	94.0635791915864	94.0635791915864	6.0	3.0	LoF
SLITRK5	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	1.6607213012368113e-07		10.0	9.0	9.0	46.777916362284	0.0	0.0	9.0	0.0	Act
AMER1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	8.250273031862223e-11	2.3916022449429345e-11	10.0	6.0	6.0	0.0	86.75604891694479	86.75604891694479	0.0	5.0	LoF
SMAD2	1	dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase	1.7938109469745027e-08	5.055485217569155e-09	12.0	5.0	5.0	32.5590590592352	215.62258864733602	215.62258864733602	3.0	2.0	LoF
RUNX1T1	1	dndscv,oncodrivefml,cbase	dndscv,oncodrivefml,cbase	1.6607213012368113e-07	5.6112636392513834e-08	13.0	8.0	8.0	36.3998387422941	135.436472611111	135.436472611111	6.0	2.0	LoF
PCBP1	1	oncodriveclustl,dndscv,smregions,mutpanning		1.7888585863912327e-06	6.631548386788721e-07	14.0	5.0	5.0	58.9449793402638	0.0	0.0	5.0	0.0	Act
ZNF493	1	dndscv,cbase,mutpanning	cbase	1.0174182447008678e-06		15.0	8.0	3.0	24.4995196372937	143.68454436269502	143.68454436269502	3.0	2.0	LoF
ASTN2	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	2.097114342559836e-08		15.0	8.0	7.0	22.8504127994064	101.32014694883199	101.32014694883199	6.0	2.0	LoF
NKX6-1	1	dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml,cbase	6.906091573924793e-08		17.0	3.0	3.0	9.05417142845106	482.958844034513	482.958844034513	1.0	2.0	LoF
NEB	1	smregions,cbase,mutpanning	cbase	6.057948807862012e-07		18.0	9.0	8.0	10.6920363055174	10.8803995460675	10.8803995460675	8.0	1.0	LoF
DYNC2H1	1	oncodrivefml,cbase	cbase	0.002954894768375885		19.0	7.0	7.0	8.82994733942711	23.709120467137197	23.709120467137197	5.0	2.0	LoF
FAT3	1	cbase	cbase	8.109345776593456e-05	4.113812549776688e-05	20.0	12.0	12.0	6.151134283763831	9.61393459783453	9.61393459783453	10.0	1.0	LoF
FBN3	1	cbase	cbase	1.5911583136520127e-05		20.0	6.0	6.0	10.8796286759147	25.565762122987	25.565762122987	5.0	1.0	LoF
ATM	1	oncodriveclustl,oncodrivefml,cbase	cbase	2.1699979546009457e-08	6.604945748689325e-09	22.0	9.0	8.0	16.2502970494264	29.348827999018894	29.348827999018894	8.0	1.0	LoF
FLRT2	1	dndscv,cbase	cbase	0.0012765670453942293		23.0	6.0	6.0	36.3872729639055	139.863506110421	139.863506110421	5.0	1.0	LoF
LRP1B	1	cbase	cbase	1.974121458387304e-06	7.153268281903483e-07	24.0	19.0	18.0	2.10162996112643	6.339466975513751	6.339466975513751	11.0	4.0	LoF
LRRK2	1	cbase	cbase	1.5911583136520127e-05		25.0	5.0	5.0	7.93994470250203	38.1597265426484	38.1597265426484	3.0	2.0	LoF
PKHD1	1	cbase	cbase	0.0005752995152778628		26.0	9.0	9.0	4.02798453125981	13.106961686819199	13.106961686819199	6.0	2.0	LoF
MYOM2	1	cbase	cbase	0.00033678275057083404		27.0	5.0	5.0	13.411716324567802	32.5694559896995	32.5694559896995	4.0	1.0	LoF
GPR158	1	oncodriveclustl,cbase	cbase	1.0487358636765276e-05		28.0	6.0	5.0	19.8616173932116	41.6608518024038	41.6608518024038	5.0	1.0	LoF
MARK1	1	dndscv,cbase	cbase	4.3299091082555154e-05		29.0	5.0	4.0	28.635051724492804	126.176084389113	126.176084389113	3.0	2.0	LoF
SYNE1	1	cbase	cbase	0.0020017271956151808		30.0	33.0	28.0	2.90132209741405	3.9412597814987897	3.9412597814987897	24.0	4.0	LoF
LILRB5	1	cbase	cbase	0.0027201966089260518		31.0	5.0	5.0	37.8638388190151	0.0	0.0	4.0	0.0	Act
ZC3HAV1	1	cbase	cbase	1.4547027695628371e-05		31.0	5.0	5.0	19.3583002468949	61.424536290199796	61.424536290199796	4.0	1.0	LoF
CDHR2	1	oncodrivefml,cbase	cbase	0.0003939079911538823		33.0	4.0	4.0	14.078548790318198	61.0841776610415	61.0841776610415	3.0	1.0	LoF
TRPM6	1	oncodrivefml,cbase	cbase	0.00027820378430362577		34.0	6.0	4.0	17.0557389449152	27.0647190060322	27.0647190060322	5.0	1.0	LoF
ADRA1A	1	dndscv,cbase	cbase	0.002425761064979594		35.0	4.0	4.0	29.429663822688106	243.340731568341	243.340731568341	3.0	1.0	LoF
CNTNAP2	1	cbase		0.0001496677168039887	8.932394339987356e-05	36.0	6.0	6.0	3.86574641427768	27.325796088780304	27.325796088780304	3.0	2.0	LoF
PGR	1	dndscv,oncodrivefml,cbase		2.522561667437927e-05		37.0	2.0	2.0	0.0	227.132448759418	227.132448759418	0.0	2.0	LoF
ERBB4	1	cbase		1.4797009875301624e-05	6.255346876016872e-06	38.0	6.0	6.0	19.4639259435666	32.4471178421093	32.4471178421093	5.0	1.0	LoF
GABBR2	1	cbase		0.0030941566223970304		38.0	4.0	4.0	15.1578554211564	61.730409283847706	61.730409283847706	3.0	1.0	LoF
SNTG2	1	dndscv,cbase	dndscv	0.00027820378430362577		40.0	7.0	7.0	62.0628196751894	0.0	0.0	7.0	0.0	Act
ACTN2	1	cbase		0.001151053093145563		41.0	4.0	4.0	14.806603778020596	58.570506857638904	58.570506857638904	3.0	1.0	LoF
SALL3	1	oncodrivefml,smregions	smregions	4.562217896599371e-05		42.0	4.0	4.0	2.17558811225836	48.965914083543	48.965914083543	2.0	1.0	LoF
PNLDC1	1	dndscv,hotmaps		0.00012380964693800518		43.0	5.0	5.0	55.3232993645462	0.0	0.0	5.0	0.0	Act
FGF13	1	oncodriveclustl,dndscv,smregions		1.4797009875301624e-05		44.0	4.0	4.0	57.4253928235526	113.822717704242	113.822717704242	3.0	1.0	LoF
HYDIN	1	oncodriveclustl,hotmaps		0.0001328624685123513		45.0	16.0	12.0	4.90618747487658	0.0	0.0	14.0	0.0	Act
TMPRSS11A	1	oncodriveclustl,smregions		0.009997667464709986		69.0	3.0	3.0	37.8031540635127	0.0	0.0	3.0	0.0	Act
PITRM1	1	hotmaps		4.3299091082555154e-05		71.0	5.0	5.0	23.790659074435506	0.0	0.0	5.0	0.0	Act
MAP3K21	1	dndscv,oncodrivefml		0.006150281055322789		73.0	7.0	7.0	36.7708422690695	0.0	0.0	7.0	0.0	Act
SEMG2	1	dndscv,oncodrivefml		0.0006178070725832379		73.0	3.0	3.0	11.2831983651604	217.853260224324	217.853260224324	1.0	2.0	LoF
SP1	1	dndscv,oncodrivefml		0.00033678275057083404		73.0	2.0	2.0	0.0	198.002792248069	198.002792248069	0.0	2.0	LoF
MEGF10	3	smregions		0.002040421311556617		76.0	3.0	3.0	14.0091371201139	0.0	0.0	3.0	0.0	Act
FREM2	3	smregions	smregions	0.001630094497202717		76.0	10.0	10.0	3.29440395472237	0.0	0.0	8.0	0.0	Act
THSD7A	3	smregions		0.0009440040797034725		76.0	4.0	4.0	13.6644004605139	0.0	0.0	4.0	0.0	Act
