SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.185765384834661e-14	1.4253009064368292e-14	1.0	87.0	84.0	790.4129058953688	2006.32428294326	2006.32428294326	74.0	13.0	LoF
APC	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	1.318143929517258e-28	3.037217903804105e-29	2.0	112.0	86.0	10.1538138896931	2407.89295541129	2407.89295541129	4.0	108.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	4.909134449032029e-07	1.357373261620262e-07	3.0	50.0	47.0	1474.6613585262396	0.0	0.0	50.0	0.0	Act
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	1.4786632052911545e-13	3.4070804107495306e-14	4.0	19.0	18.0	90.19545626456328	0.0	0.0	19.0	0.0	Act
FBXW7	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.992213777927516e-10	1.1502872126788081e-10	5.0	19.0	16.0	97.2373679244247	524.74700393863	524.74700393863	12.0	7.0	LoF
NRAS	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	4.623690410757178e-15	1.0653734378113066e-15	6.0	13.0	13.0	339.573110589815	0.0	0.0	13.0	0.0	Act
SMAD4	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,cbase,mutpanning	3.986104139499204e-10	9.184631956958178e-11	7.0	15.0	15.0	152.742597585308	0.0	0.0	15.0	0.0	Act
PCBP1	1	oncodriveclustl,dndscv,smregions,mutpanning	dndscv,mutpanning	3.711569227526565e-06	1.1661898484630259e-06	8.0	6.0	6.0	66.99008041604179	0.0	0.0	6.0	0.0	Act
ATM	1	oncodriveclustl,oncodrivefml,cbase	cbase	9.695543684710243e-06	2.9786811800945254e-06	9.0	9.0	8.0	15.4152393988775	27.839452663935102	27.839452663935102	8.0	1.0	LoF
SMAD2	1	dndscv,hotmaps,cbase,mutpanning	dndscv,cbase	3.503443649169214e-09	8.072503721291241e-10	10.0	5.0	5.0	30.304681750271396	202.036849930318	202.036849930318	3.0	2.0	LoF
ERBB2	1	oncodriveclustl,hotmaps		1.2830159051832068e-05	3.865900986522578e-06	11.0	6.0	6.0	22.6159262387867	0.0	0.0	6.0	0.0	Act
HYDIN	1	oncodriveclustl,hotmaps		0.0001336201324232489		11.0	16.0	12.0	4.60770159943524	0.0	0.0	14.0	0.0	Act
ASTN2	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	0.0006340612293154782		13.0	9.0	8.0	26.070711134067803	97.8619111750256	97.8619111750256	7.0	2.0	LoF
TCF7L2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	1.3830452337267672e-07	3.585106192145712e-08	13.0	11.0	10.0	16.5886965881155	87.69337400595758	87.69337400595758	7.0	3.0	LoF
AMER1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	4.317983214294911e-07	1.1054816998613653e-07	13.0	6.0	6.0	0.0	83.05167471853841	83.05167471853841	0.0	5.0	LoF
SOX9	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	9.622577666182793e-09		13.0	4.0	4.0	0.0	564.23973347819	564.23973347819	0.0	4.0	LoF
NKX6-1	1	dndscv,oncodrivefml,cbase	oncodrivefml,cbase	1.331602873878585e-06		17.0	3.0	3.0	8.73681280554519	458.79443558087996	458.79443558087996	1.0	2.0	LoF
RUNX1T1	1	dndscv,oncodrivefml,cbase	dndscv,oncodrivefml,cbase	1.3223094309093355e-05	3.917334723679995e-06	17.0	8.0	8.0	35.6326545700447	130.731721630786	130.731721630786	6.0	2.0	LoF
PNLDC1	1	dndscv,hotmaps		0.0009293095376225924		19.0	5.0	5.0	52.96528162964021	0.0	0.0	5.0	0.0	Act
FSHB	1	oncodriveclustl,dndscv	dndscv	0.0027408253875641393		19.0	2.0	2.0	0.0	764.666022885715	764.666022885715	0.0	2.0	LoF
PGR	1	dndscv,oncodrivefml,cbase		1.331602873878585e-06		21.0	2.0	2.0	0.0	204.036820163194	204.036820163194	0.0	2.0	LoF
SEMG2	1	dndscv,oncodrivefml		0.0008512341152920136		22.0	3.0	3.0	10.496694119280301	200.044893686623	200.044893686623	1.0	2.0	LoF
MAP3K21	1	dndscv,oncodrivefml		0.0020955744471874388		22.0	7.0	7.0	34.4318585341706	0.0	0.0	7.0	0.0	Act
SP1	1	dndscv,oncodrivefml		2.975113681407052e-05		22.0	2.0	2.0	0.0	183.68978962604805	183.68978962604805	0.0	2.0	LoF
MAP2K4	1	dndscv,oncodrivefml		4.146586454067008e-05	1.3376173018986395e-05	25.0	2.0	2.0	12.1904185484392	196.954580512598	196.954580512598	1.0	1.0	LoF
ZNF493	1	oncodrivefml,cbase,mutpanning	cbase	0.001833434381907723		26.0	13.0	3.0	5.00660177508499	44.222281893316094	44.222281893316094	2.0	2.0	LoF
GPR158	3	oncodriveclustl,cbase	cbase	0.002317783930241784		27.0	6.0	5.0	18.963914816706602	39.772128926017	39.772128926017	5.0	1.0	LoF
TMPRSS11A	4	oncodriveclustl,smregions		0.05719641441738015		27.0	3.0	3.0	36.2403354946292	0.0	0.0	3.0	0.0	Act
SALL3	3	oncodrivefml,smregions	smregions	0.00024820786207664034		29.0	4.0	4.0	2.09593960414358	46.4697534445049	46.4697534445049	2.0	1.0	LoF
TRPM6	3	oncodrivefml,cbase	cbase	0.004457699347881946		30.0	6.0	4.0	16.092244810977	25.418717772185197	25.418717772185197	5.0	1.0	LoF
PITRM1	3	hotmaps		8.697677234295004e-05		30.0	5.0	5.0	22.7535834579211	0.0	0.0	5.0	0.0	Act
MOCOS	4	oncodriveclustl		0.101707315698627		32.0	3.0	2.0	16.5575597644934	0.0	0.0	3.0	0.0	Act
PCDHB5	3	oncodriveclustl		0.029619488856495818		32.0	6.0	6.0	9.107674575317741	0.0	0.0	5.0	0.0	Act
ETS1	4	oncodriveclustl		0.05719641441738015		32.0	2.0	2.0	19.07368453722	0.0	0.0	2.0	0.0	Act
CNTNAP4	3	oncodriveclustl		0.041777493353965335		32.0	3.0	3.0	2.8579474039997	0.0	0.0	2.0	0.0	Act
NLRP7	4	oncodriveclustl		0.1183378460677432		32.0	5.0	5.0	2.82421305120984	0.0	0.0	3.0	0.0	Act
RAI2	3	oncodriveclustl		0.02563200295542083		32.0	2.0	2.0	20.2722915786572	0.0	0.0	2.0	0.0	Act
