SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.9092388981366404e-15	3.48333504189208e-16	1.0	80.0	79.0	309.802146781434	1003.86788743765	1003.86788743765	57.0	12.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	1.852837012071909e-06	4.6805980263229045e-07	2.0	43.0	42.0	574.714986188558	0.0	0.0	42.0	0.0	Act
APC	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	5.916193676497528e-20	1.0793874338133925e-20	3.0	148.0	104.0	3.21695000209428	649.433951943516	649.433951943516	5.0	107.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	3.846199777184528e-19	7.017247802283951e-20	4.0	19.0	18.0	43.53593906315129	0.0	0.0	19.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	6.688434355526914e-24	1.2202798606680374e-24	5.0	14.0	14.0	179.137678240978	0.0	0.0	14.0	0.0	Act
FBXW7	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.1380330712581079e-14	2.076298822433549e-15	6.0	19.0	16.0	43.6664828639421	250.37858385363202	250.37858385363202	11.0	6.0	LoF
SMAD4	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.0115929650707752e-16	3.670076213140898e-17	7.0	21.0	21.0	90.17134156495449	0.0	0.0	18.0	0.0	Act
PCBP1	1	oncodriveclustl,dndscv,smregions,cbase,mutpanning	dndscv,cbase,mutpanning	1.9375145988004102e-10	3.5349230013937884e-11	8.0	8.0	7.0	48.9385574446449	0.0	0.0	8.0	0.0	Act
SOX9	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.00404297305294e-10		8.0	10.0	9.0	3.3866805755053297	288.659503280031	288.659503280031	1.0	4.0	LoF
AMER1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.1037566978194983e-11	3.8382255003718085e-12	10.0	8.0	8.0	1.25577436611853	74.05026451093559	74.05026451093559	1.0	5.0	LoF
TCF7L2	1	dndscv,oncodrivefml,cbase	dndscv,oncodrivefml,cbase	1.0312810338189506e-09	2.2996523223706443e-10	10.0	11.0	10.0	13.322513270013197	53.2167893513721	53.2167893513721	7.0	2.0	LoF
SLITRK5	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	4.730554554893778e-10		12.0	11.0	11.0	28.408376545546798	0.0	0.0	11.0	0.0	Act
SMAD2	1	dndscv,hotmaps,mutpanning		1.5593957491438782e-08	3.620984546374381e-09	13.0	4.0	4.0	10.191467238200303	108.466273390703	108.466273390703	2.0	2.0	LoF
ASTN2	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	4.364713036074965e-05		14.0	9.0	8.0	13.3583824851634	48.49308270220821	48.49308270220821	7.0	2.0	LoF
RUNX1T1	1	dndscv,oncodrivefml,cbase	oncodrivefml,cbase	7.911057191824877e-09	1.876345678378321e-09	14.0	7.0	7.0	16.590346007668	72.28257360916221	72.28257360916221	5.0	2.0	LoF
NKX6-1	1	dndscv,oncodrivefml,cbase	cbase	5.772462954968082e-09		16.0	3.0	3.0	4.7524025626410085	237.61022184330105	237.61022184330105	1.0	2.0	LoF
ERBB4	1	dndscv,cbase,mutpanning	cbase	2.53499652785501e-06	6.937509689204027e-07	17.0	9.0	9.0	15.186146680581501	16.0096123068261	16.0096123068261	8.0	1.0	LoF
HECW1	1	oncodriveclustl,hotmaps		0.00010143640172657854		18.0	9.0	9.0	7.34943146196581	0.0	0.0	8.0	0.0	Act
ERBB2	1	oncodriveclustl,hotmaps		4.897073844640646e-07	1.1912704371302559e-07	18.0	6.0	6.0	11.6566431951592	0.0	0.0	6.0	0.0	Act
LRRK2	1	cbase,mutpanning	cbase	3.2358683027159315e-06		20.0	6.0	6.0	4.83326782022247	27.223154431140895	27.223154431140895	4.0	2.0	LoF
MARK1	1	dndscv,cbase		7.542795874449498e-06		20.0	5.0	4.0	13.3346657371076	61.93332556244521	61.93332556244521	3.0	2.0	LoF
FLG	1	cbase,mutpanning	cbase	4.030911658875868e-07		20.0	17.0	16.0	6.20199669496318	5.21236646135765	5.21236646135765	14.0	1.0	Act
NEB	1	cbase,mutpanning	cbase,mutpanning	0.001202443663909006		20.0	15.0	13.0	8.62984944559883	10.2882124892133	10.2882124892133	14.0	1.0	LoF
OBSCN	1	smregions,cbase	cbase	7.542795874449498e-06		20.0	15.0	14.0	2.13953751619256	6.504461456812692	6.504461456812692	10.0	2.0	LoF
GPR158	1	cbase,mutpanning	cbase	5.907582383692467e-06		20.0	9.0	6.0	11.9578286934518	21.578067260128893	21.578067260128893	6.0	1.0	LoF
LRP1B	1	cbase,mutpanning	cbase	4.651298935665624e-06	1.3577793822434346e-06	20.0	26.0	23.0	2.937892426917529	5.7929938747437	5.7929938747437	17.0	4.0	LoF
ABCC2	1	cbase,mutpanning		1.9603706940713094e-05		20.0	7.0	6.0	9.765106004329027	17.4951336785973	17.4951336785973	5.0	1.0	LoF
ZFPM2	1	dndscv,cbase	cbase	5.907582383692467e-06		20.0	10.0	10.0	8.10018870281222	24.034028939618203	24.034028939618203	7.0	2.0	LoF
FAT3	1	cbase,mutpanning	cbase	2.5644517132129674e-05	9.907933435900784e-06	20.0	15.0	14.0	6.27457651775357	0.0	0.0	14.0	0.0	Act
DNAH8	1	smregions,cbase		0.0004875322590890332		30.0	10.0	9.0	2.43824858808343	6.75383349732244	6.75383349732244	6.0	2.0	LoF
PNLDC1	1	dndscv,hotmaps		0.00011852287669097844		31.0	5.0	5.0	26.447940146053	0.0	0.0	5.0	0.0	Act
FSHB	1	oncodriveclustl,dndscv		0.0002608088359135354		31.0	2.0	2.0	0.0	385.99525859602403	385.99525859602403	0.0	2.0	LoF
LILRB5	1	dndscv,cbase		0.0012112747739600107		31.0	5.0	5.0	19.116896702033998	49.0458717144491	49.0458717144491	4.0	0.0	Act
PITRM1	1	hotmaps,smregions		2.4720844144743563e-06		34.0	6.0	6.0	14.5915621882579	0.0	0.0	6.0	0.0	Act
ING1	1	oncodrivefml,cbase		2.8291301566887274e-06		35.0	3.0	3.0	3.91507774888916	101.869230003909	101.869230003909	1.0	2.0	LoF
PXDN	1	oncodrivefml,cbase	cbase	1.0054381851715574e-05		35.0	5.0	5.0	6.06321750987589	23.040028649316	23.040028649316	4.0	1.0	LoF
DYNC2H1	1	oncodrivefml,cbase	cbase	0.008216316795549737		35.0	8.0	8.0	4.97270001527862	11.5602523369806	11.5602523369806	6.0	2.0	LoF
CPT1C	1	cbase		1.1397355981339661e-05		39.0	5.0	4.0	10.4732493440202	31.7311580319815	31.7311580319815	4.0	1.0	LoF
FBN3	1	cbase	cbase	9.478821396345759e-05		39.0	7.0	6.0	5.40755457852456	11.9969487479631	11.9969487479631	5.0	1.0	LoF
HDC	1	cbase		0.0006124290681334761		39.0	7.0	7.0	10.381486818960001	21.9888169551833	21.9888169551833	5.0	1.0	LoF
SYNE1	1	cbase	cbase	0.003621452485363657		39.0	40.0	33.0	3.16857336509989	2.72872908617989	2.72872908617989	29.0	3.0	Act
ZC3HAV1	1	cbase		5.68423531966699e-05		43.0	5.0	5.0	9.85219282343856	30.0353769894423	30.0353769894423	4.0	1.0	LoF
FLRT2	1	cbase		0.0006154761470226367		44.0	5.0	5.0	14.1516105393327	68.68064674441071	68.68064674441071	4.0	1.0	LoF
ATM	1	cbase		7.542795874449498e-06	2.3827968500368697e-06	44.0	8.0	7.0	5.69574260497052	14.045865673215197	14.045865673215197	6.0	1.0	LoF
OBSL1	1	cbase		0.0006268452233245901		44.0	8.0	8.0	3.90150342994498	11.691686498881099	11.691686498881099	6.0	1.0	LoF
PCDH20	1	cbase		3.940544328403073e-05		47.0	5.0	5.0	10.112862203280999	41.9346241803679	41.9346241803679	4.0	1.0	LoF
ABCB10	1	hotmaps		0.0017589761178161624		48.0	4.0	3.0	8.280644895629361	0.0	0.0	3.0	0.0	Act
NLRP7	4	oncodriveclustl		0.0997425079698055		49.0	5.0	5.0	2.45562589308376	0.0	0.0	3.0	0.0	Act
NPAP1	4	oncodriveclustl		0.08969682070329044		49.0	6.0	6.0	5.958265994065701	0.0	0.0	5.0	0.0	Act
RXFP4	3	oncodriveclustl		0.02407305690301506		49.0	2.0	2.0	11.645671259439599	0.0	0.0	2.0	0.0	Act
CYP4F11	3	oncodriveclustl		0.039456811462559374		49.0	2.0	2.0	8.46881855515153	0.0	0.0	2.0	0.0	Act
LARGE2	3	oncodriveclustl		0.0015914807731977677		49.0	4.0	4.0	13.3693756021969	0.0	0.0	4.0	0.0	Act
SPTB	3	oncodriveclustl		0.008216316795549737		49.0	7.0	6.0	1.95498003005282	0.0	0.0	5.0	0.0	Act
TGOLN2	3	oncodriveclustl		0.0059057516945866155		49.0	4.0	3.0	7.30174175953178	0.0	0.0	3.0	0.0	Act
LILRB1	4	oncodriveclustl		0.08224497637155319		49.0	4.0	4.0	2.7765822465467	0.0	0.0	2.0	0.0	Act
HIST1H2AE	3	oncodriveclustl		0.003361326353785212		49.0	3.0	3.0	29.0656098290975	0.0	0.0	3.0	0.0	Act
ATP10B	3	oncodriveclustl		0.014005726271562791		49.0	2.0	2.0	3.87204068809177	0.0	0.0	2.0	0.0	Act
LY6K	4	oncodriveclustl		0.49802319172917403		49.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	ambiguous
ZNF439	4	oncodriveclustl		0.07813373668858435		49.0	2.0	2.0	11.235303883900599	0.0	0.0	2.0	0.0	Act
AP1M1	3	oncodriveclustl		0.015790026659452543		49.0	4.0	4.0	6.23410510500292	0.0	0.0	3.0	0.0	Act
GOLGB1	4	oncodriveclustl		0.061521138511591016		49.0	4.0	4.0	1.6062745096173603	0.0	0.0	3.0	0.0	Act
SAT1	4	oncodriveclustl		0.12437621791166288		49.0	2.0	2.0	27.333627792142806	0.0	0.0	2.0	0.0	Act
FERD3L	4	oncodriveclustl		0.05573540814939367		49.0	2.0	2.0	22.6010701652637	0.0	0.0	2.0	0.0	Act
PCDHGB2	4	oncodriveclustl		0.21470765663716276		49.0	6.0	6.0	1.68141533298744	19.446147524923	19.446147524923	2.0	1.0	LoF
COL12A1	4	oncodriveclustl		0.28879163507560257		49.0	11.0	9.0	1.11016292825426	0.0	0.0	6.0	0.0	Act
DTNB	4	oncodriveclustl		0.3266895527634896		49.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	ambiguous
PCDHB5	3	oncodriveclustl		9.478821396345759e-05		49.0	6.0	5.0	15.7953109159409	0.0	0.0	6.0	0.0	Act
MIP	4	oncodriveclustl		0.3738750849516085		49.0	2.0	2.0	4.27738725707565	0.0	0.0	1.0	0.0	Act
FAT2	4	oncodriveclustl		0.4288563476185821		49.0	11.0	9.0	0.534311584323008	0.0	0.0	4.0	0.0	ambiguous
MARCH4	4	oncodriveclustl		0.4359043358088653		49.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	ambiguous
TMPRSS11A	4	oncodriveclustl		0.08757539831579793		49.0	2.0	2.0	11.884577622891701	0.0	0.0	2.0	0.0	Act
RAI2	4	oncodriveclustl		0.12265095426031587		49.0	4.0	4.0	7.7085606033598	0.0	0.0	3.0	0.0	Act
NTN1	4	oncodriveclustl		0.1890210422978004		49.0	3.0	3.0	2.88001701471482	0.0	0.0	2.0	0.0	Act
MAML3	3	oncodriveclustl		0.01963768211577577		49.0	3.0	3.0	6.90062683758417	0.0	0.0	3.0	0.0	Act
TNFSF4	3	dndscv		0.0011470397335643099		78.0	4.0	4.0	58.6222494167519	0.0	0.0	4.0	0.0	Act
FGF13	3	dndscv		1.7654039369053018e-05		78.0	5.0	5.0	38.022926972522704	61.7610677605972	61.7610677605972	4.0	1.0	LoF
NGB	3	dndscv		7.588290390831056e-05		80.0	4.0	4.0	57.042599046854804	0.0	0.0	4.0	0.0	Act
GPR174	3	dndscv		0.0005521881237481472		81.0	5.0	5.0	33.010575613261	80.1705068717642	80.1705068717642	4.0	1.0	LoF
TRIML2	3	dndscv		6.620724850991761e-05		82.0	5.0	5.0	33.548000440654505	0.0	0.0	5.0	0.0	Act
OR6M1	4	dndscv		0.19825178656428166		83.0	4.0	4.0	25.761024918555602	189.794797944295	189.794797944295	3.0	1.0	LoF
CLRN1	3	dndscv		0.016726434984513316		84.0	4.0	3.0	41.9545648373391	0.0	0.0	4.0	0.0	Act
GNA15	3	dndscv,oncodrivefml	oncodrivefml	8.036774760823884e-07		86.0	2.0	2.0	0.0	132.080612958909	132.080612958909	0.0	2.0	LoF
CDH9	3	dndscv		0.002090361824422246		87.0	10.0	10.0	10.0082092704623	0.0	0.0	8.0	0.0	Act
MAP3K21	3	dndscv		0.013151886382852751		87.0	7.0	7.0	19.4123319405467	0.0	0.0	7.0	0.0	Act
PGR	3	dndscv,oncodrivefml		2.4720844144743563e-06		89.0	2.0	2.0	0.0	106.36045083664101	106.36045083664101	0.0	2.0	LoF
OR2A5	4	dndscv		0.05212861331629928		90.0	4.0	2.0	34.1018798499421	0.0	0.0	4.0	0.0	Act
TBX20	3	dndscv		0.001372017271762811		91.0	5.0	5.0	6.43220591152977	68.272514551792	68.272514551792	2.0	2.0	LoF
SEMG2	3	dndscv,oncodrivefml		3.1830650457538694e-05		92.0	2.0	2.0	0.0	97.16197449943712	97.16197449943712	0.0	2.0	LoF
KCNJ1	3	dndscv		0.0013423294700787905		93.0	4.0	4.0	30.9186950672813	0.0	0.0	4.0	0.0	Act
HMCN1	4	smregions	smregions	0.06333791702278885		93.0	10.0	10.0	1.22588593058895	1.7927781924805302	1.7927781924805302	6.0	1.0	LoF
SLITRK1	3	dndscv		0.0003859381761404815		93.0	8.0	8.0	10.8375663912181	25.7658905217526	25.7658905217526	6.0	1.0	LoF
TENM2	3	smregions		0.025248499354643933		96.0	6.0	6.0	3.12212595686268	0.0	0.0	5.0	0.0	Act
ITIH6	3	smregions		0.0027733594481003125		96.0	3.0	3.0	6.1583735769838	0.0	0.0	3.0	0.0	Act
FREM2	3	smregions		0.0012503281429128259		96.0	10.0	10.0	2.77003405174089	4.926021163917111	4.926021163917111	8.0	0.0	Act
KLHL38	3	smregions		7.78118403139629e-06		96.0	3.0	3.0	7.199056514871909	71.64928808969441	71.64928808969441	2.0	1.0	LoF
PCDHB13	3	smregions		0.012977525885644456		96.0	4.0	4.0	4.4809520203648	0.0	0.0	3.0	0.0	Act
ZNF653	3	smregions		0.0009088109726672727		96.0	3.0	3.0	8.485340898660999	0.0	0.0	3.0	0.0	Act
DPP10	3	dndscv		0.028468920711628695		102.0	9.0	9.0	9.66025310216799	0.0	0.0	7.0	0.0	Act
MEGF10	3	smregions		0.004109920719062889		103.0	3.0	3.0	7.037692505618991	0.0	0.0	3.0	0.0	Act
THSD7A	3	smregions		0.0010265675551967882		104.0	4.0	4.0	6.63110064154889	0.0	0.0	4.0	0.0	Act
ZNF587	3	smregions		0.007121478875140333		105.0	3.0	3.0	12.0119831610609	0.0	0.0	3.0	0.0	Act
ACACA	4	smregions		0.1792258895310916		105.0	5.0	5.0	1.38547180683514	0.0	0.0	3.0	0.0	Act
ADGRB1	3	smregions		0.04058865315517311		105.0	9.0	9.0	3.01317364422333	0.0	0.0	6.0	0.0	Act
SORCS1	3	smregions		0.009723360439915691		105.0	5.0	5.0	4.23861260371091	0.0	0.0	4.0	0.0	Act
PKD1L3	3	smregions		0.0006430808757614318		109.0	3.0	3.0	4.0341825546338494	19.7861378674793	19.7861378674793	2.0	1.0	LoF
SIGLEC1	3	smregions		0.0052069634367091075		109.0	3.0	3.0	4.5801857553796905	0.0	0.0	3.0	0.0	Act
FRY	4	smregions		0.08660582579728479		111.0	6.0	5.0	1.61641834528992	0.0	0.0	4.0	0.0	Act
GRIK3	4	smregions		0.1141125775873244		112.0	7.0	7.0	2.46044868067932	0.0	0.0	4.0	0.0	Act
CFHR5	3	smregions		0.00018927205234496824		113.0	6.0	6.0	10.0444478597371	18.399308304117106	18.399308304117106	4.0	1.0	LoF
SCN11A	3	smregions		0.001202443663909006		113.0	4.0	3.0	6.79450693704213	16.4772578695073	16.4772578695073	4.0	0.0	Act
FRAS1	3	smregions		0.011070377373677637		115.0	6.0	6.0	2.4370914554278302	0.0	0.0	5.0	0.0	Act
MAST1	3	smregions		0.0005158747264251164		116.0	4.0	3.0	7.17324105298967	0.0	0.0	4.0	0.0	Act
MACF1	4	smregions		0.07001904155972362		116.0	12.0	10.0	1.07276024217525	0.0	0.0	7.0	0.0	Act
ABCC1	3	smregions		0.0013423294700787905		118.0	4.0	4.0	6.88588860332268	0.0	0.0	4.0	0.0	Act
ROBO2	2	smregions		0.0005521881237481472	0.0003942182357362668	118.0	7.0	7.0	4.451710089266888	7.604582920166888	7.604582920166888	5.0	1.0	LoF
MYO10	3	smregions		0.0009978309104200797		118.0	4.0	4.0	6.67343579098506	0.0	0.0	4.0	0.0	Act
COL4A1	4	smregions		0.05015609506843146		118.0	4.0	4.0	2.6847050716607703	0.0	0.0	3.0	0.0	Act
MYCBP2	3	smregions		0.0014255945767170206		118.0	7.0	6.0	1.66898114188345	6.774235346408111	6.774235346408111	4.0	1.0	LoF
PCDHB4	3	smregions		0.017867508023637412		123.0	4.0	4.0	4.05444130034505	0.0	0.0	3.0	0.0	Act
