SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.032567381670339e-19	8.625530151757099e-20	1.0	101.0	97.0	408.71528018533996	1153.2884817838499	1153.2884817838499	75.0	14.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.9204465823414454e-10	3.702976478030365e-11	1.0	55.0	52.0	786.4678549338852	0.0	0.0	54.0	0.0	Act
APC	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	6.041482483942164e-31	1.035475243041049e-31	3.0	157.0	106.0	3.68940908556027	640.921942273612	640.921942273612	6.0	112.0	LoF
NRAS	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	1.3044054229569943e-24	2.235675640789272e-25	4.0	14.0	14.0	185.564909971962	0.0	0.0	14.0	0.0	Act
FBXW7	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	9.380649673202567e-16	1.60778923485419e-16	5.0	22.0	19.0	53.24544796483279	280.645227912303	280.645227912303	13.0	7.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	2.356475595382055e-19	4.0388632199697234e-20	6.0	20.0	19.0	49.2648203824697	0.0	0.0	20.0	0.0	Act
SMAD4	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.2453172001976314e-14	2.1344018359156523e-15	7.0	21.0	21.0	91.5441410061713	0.0	0.0	18.0	0.0	Act
SMAD2	1	dndscv,hotmaps,cbase,mutpanning	dndscv	2.28760811840965e-09	4.792123523687737e-10	8.0	5.0	5.0	15.853198470123804	111.007318823916	111.007318823916	3.0	2.0	LoF
ERBB2	1	oncodriveclustl,hotmaps,smregions		8.148078115449653e-06	2.094800371267645e-06	9.0	5.0	5.0	9.940567251932519	0.0	0.0	5.0	0.0	Act
SOX9	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.510095409426973e-10		10.0	11.0	10.0	3.33306837953576	298.733914763751	298.733914763751	1.0	4.0	LoF
TCF7L2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	1.9204465823414454e-10	3.702976478030365e-11	10.0	15.0	13.0	16.477283304033	69.2002218101288	69.2002218101288	9.0	3.0	LoF
AMER1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.525870502248951e-09	9.308497119529333e-10	10.0	8.0	8.0	1.20890818658332	69.3282248600242	69.3282248600242	1.0	5.0	LoF
