SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.0281533693774134e-23	1.1109616834106276e-23	1.0	96.0	93.0	598.673076550768	1325.40939993015	1325.40939993015	73.0	11.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.5385320364767937e-08	3.824279546820416e-09	2.0	55.0	53.0	1305.78315020649	0.0	0.0	54.0	0.0	Act
FBXW7	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	2.082165569550972e-13	4.600508370281509e-14	3.0	22.0	19.0	85.1354962742563	423.755965567107	423.755965567107	13.0	7.0	LoF
APC	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	2.947599906281394e-29	6.512670384811386e-30	4.0	152.0	107.0	10.1768596643584	1993.9165190116894	1993.9165190116894	5.0	110.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	5.040148376773817e-19	1.1136119592933778e-19	5.0	20.0	19.0	76.72419718345141	0.0	0.0	20.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	2.457529665799777e-18	5.429868768872764e-19	6.0	14.0	14.0	280.91770310427995	0.0	0.0	14.0	0.0	Act
SMAD4	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.1055380100597838e-13	2.4426668768906902e-14	7.0	20.0	20.0	133.972698540748	0.0	0.0	17.0	0.0	Act
SOX9	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	4.6449752564449285e-10		8.0	11.0	10.0	4.81649458969832	444.966066416285	444.966066416285	1.0	4.0	LoF
PCBP1	1	dndscv,smregions,mutpanning	dndscv	4.1084527341840506e-08	1.0728018816562516e-08	9.0	6.0	6.0	51.4556346292093	0.0	0.0	6.0	0.0	Act
TCF7L2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	2.2210808585249694e-08	5.8889271228818206e-09	10.0	13.0	11.0	15.894327398406801	85.1557951630469	85.1557951630469	7.0	3.0	LoF
