SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.738970233823454e-13	1.8695533245495315e-13	1.0	67.0	62.0	140.782622175523	493.489128201401	493.489128201401	49.0	7.0	LoF
RB1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	3.091158131230599e-16	1.0069898824166407e-16	2.0	12.0	12.0	3.910254155240741	314.53409783082697	314.53409783082697	1.0	8.0	LoF
ATRX	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.870219683596955e-09	9.350159580948378e-10	3.0	29.0	27.0	15.2238544157552	230.955011084141	230.955011084141	8.0	13.0	LoF
COL6A3	1	oncodriveclustl,smregions	smregions	0.00010738382340363572		4.0	6.0	4.0	3.3651266658830203	0.0	0.0	5.0	0.0	Act
FAM47C	1	smregions,cbase	smregions	0.00060549452286038	0.00103555556545271	5.0	7.0	6.0	7.60494609695962	41.1849105321273	41.1849105321273	5.0	1.0	LoF
FRAS1	1	oncodriveclustl,smregions	smregions	0.0051775648130815855		5.0	5.0	4.0	2.34073578766018	5.65761768826784	5.65761768826784	4.0	0.0	Act
THSD7A	1	smregions,cbase	smregions	4.01687707115948e-05		5.0	4.0	3.0	6.798619449599348	16.7935654115208	16.7935654115208	3.0	1.0	LoF
CSMD3	1	oncodriveclustl,smregions,cbase	smregions	3.1428074550572622e-06	2.5595385089263844e-06	5.0	6.0	3.0	4.9180043088439005	9.98748459880816	9.98748459880816	4.0	1.0	LoF
SDK1	1	smregions,cbase	cbase	2.8133310714063453e-05		10.0	6.0	5.0	7.52806528658343	17.1085639395307	17.1085639395307	5.0	1.0	LoF
SLC5A11	1	dndscv,oncodrivefml,cbase		2.0985059171930283e-06		10.0	3.0	3.0	5.59113009242702	119.12685983628599	119.12685983628599	1.0	2.0	LoF
SMARCAL1	1	dndscv,oncodrivefml,cbase	cbase	9.923462808850713e-07		10.0	5.0	5.0	11.0808184805293	81.44647022278309	81.44647022278309	3.0	2.0	LoF
SCN2A	1	dndscv,oncodrivefml,cbase	cbase	1.5820132098415686e-07		10.0	10.0	10.0	18.934156366767798	43.456693046744796	43.456693046744796	9.0	1.0	LoF
TET2	1	smregions,cbase		9.5482360985753e-05	9.331431849812468e-05	14.0	6.0	4.0	11.264677576828198	26.5855197649416	26.5855197649416	5.0	1.0	LoF
PTEN	1	dndscv,oncodrivefml		8.445384417080291e-05	8.803863199566179e-05	15.0	5.0	4.0	50.64299110579661	0.0	0.0	5.0	0.0	Act
CTTN	1	dndscv,cbase		0.0008933434225031127		15.0	3.0	3.0	10.1070023692318	41.6251308834949	41.6251308834949	2.0	1.0	LoF
PLCL1	1	dndscv,oncodrivefml,cbase		2.0985059171930283e-06		15.0	2.0	2.0	0.0	89.7818907830827	89.7818907830827	0.0	2.0	LoF
TTN	4	smregions	smregions	0.058254500226435524		18.0	30.0	26.0	1.4603834563938505	1.3480057549754	1.3480057549754	24.0	1.0	ambiguous
ADGRL4	4	smregions		0.055641232072742214		18.0	3.0	3.0	13.8575384327086	0.0	0.0	3.0	0.0	Act
GRIK3	3	smregions		0.0004314142664153248		18.0	3.0	3.0	10.3881556598136	36.642734671381795	36.642734671381795	3.0	0.0	Act
PCDHA4	3	smregions	smregions	0.04413288001909151		18.0	7.0	3.0	3.5459755638878296	0.0	0.0	3.0	0.0	Act
LCT	3	smregions	smregions	0.00036227486880190785		18.0	4.0	4.0	8.1806239424425	0.0	0.0	4.0	0.0	Act
OBSCN	4	smregions	smregions	0.11602758745929186		18.0	14.0	14.0	0.296434934261004	1.01751136745254	1.01751136745254	4.0	1.0	LoF
SRGAP1	3	smregions		0.0004314142664153248		18.0	3.0	2.0	7.0428833986072314	33.0833548826412	33.0833548826412	2.0	1.0	LoF
EGF	3	smregions	smregions	0.0002383443378484931		18.0	5.0	2.0	3.35321501323044	12.529766410484	12.529766410484	2.0	1.0	LoF
CTNND1	2	smregions	smregions	0.002283960174384355	0.004533404211569538	18.0	3.0	3.0	10.1752409563969	0.0	0.0	3.0	0.0	Act
PRDM9	3	smregions	smregions	0.0009580835613493127		18.0	3.0	3.0	12.3391317657174	0.0	0.0	3.0	0.0	Act
ADGRL2	3	smregions		0.003413837519629701		18.0	3.0	3.0	5.11467296295938	22.3351577868502	22.3351577868502	2.0	1.0	LoF
GIMAP8	3	smregions		0.015859519467734624		18.0	5.0	5.0	11.195714488742304	0.0	0.0	4.0	0.0	Act
CACNA1C	3	smregions		0.0009239783094230363		18.0	4.0	4.0	7.62618992377125	0.0	0.0	4.0	0.0	Act
DNAH9	4	smregions		0.1034339353198268		18.0	7.0	7.0	1.8679483925311	0.0	0.0	5.0	0.0	Act
ADGRV1	3	smregions	smregions	0.014001514781465446		18.0	10.0	10.0	3.91370030177844	0.0	0.0	9.0	0.0	Act
SPTBN2	3	smregions	smregions	0.001964245045733628		18.0	3.0	3.0	4.94987276036946	0.0	0.0	3.0	0.0	Act
SPEF2	3	smregions	smregions	0.0010261345967072222		18.0	4.0	4.0	7.92065903779549	20.5433251319009	20.5433251319009	3.0	0.0	Act
COL4A5	3	smregions	smregions	0.00434979324309677		18.0	3.0	3.0	6.9342886286487495	0.0	0.0	3.0	0.0	Act
FLT4	4	smregions		0.1272305235392149	0.4780243757280129	36.0	5.0	5.0	2.49499169645716	0.0	0.0	3.0	0.0	Act
KCNV1	3	smregions		0.02055399503071631		37.0	4.0	4.0	10.632393264089698	0.0	0.0	3.0	0.0	Act
SVEP1	4	smregions		0.16371109052655547		37.0	3.0	2.0	3.75069060537085	0.0	0.0	3.0	0.0	Act
FCGBP	3	smregions		0.0047103727405569855		37.0	6.0	5.0						ambiguous
LRP1	4	smregions		0.05885280275999035		37.0	7.0	5.0	0.74325524326571	2.65154704674685	2.65154704674685	3.0	1.0	LoF
USH2A	3	smregions		0.0011400554804749886		37.0	10.0	10.0	4.02897388886814	0.0	0.0	8.0	0.0	Act
PCDHGC3	3	smregions		0.015859519467734624		37.0	3.0	2.0	10.322605111437197	0.0	0.0	3.0	0.0	Act
TENM1	3	smregions		0.016341865677983652		37.0	4.0	2.0	6.040542839960589	0.0	0.0	4.0	0.0	Act
OR52L1	3	dndscv		0.011652704006979544		45.0	4.0	4.0	49.1573038724664	0.0	0.0	4.0	0.0	Act
OR2V2	3	dndscv		0.022160209640052032		45.0	4.0	4.0	37.1289543873389	334.470426118509	334.470426118509	3.0	1.0	LoF
KCNK10	3	dndscv		0.0002483091810466481		45.0	5.0	4.0	33.428360915648604	0.0	0.0	5.0	0.0	Act
KIR3DX1	3	dndscv		0.0044917099981243965		45.0	4.0	4.0	46.256685230732295	0.0	0.0	4.0	0.0	Act
OR8D1	3	dndscv		0.010324224603694676		45.0	4.0	4.0	51.5440333525895	0.0	0.0	4.0	0.0	Act
ABCA13	4	oncodriveclustl		0.1616304350326807		51.0	9.0	8.0	1.25571810078156	2.58309020696755	2.58309020696755	5.0	1.0	LoF
PTPRZ1	3	oncodriveclustl		0.002860651547143543		51.0	5.0	4.0	2.03022247128465	11.0357579687955	11.0357579687955	2.0	1.0	LoF
NF1	2	dndscv		0.001980270142933242	0.003870611428587774	51.0	4.0	4.0	3.04644595911979	12.9575369117656	12.9575369117656	2.0	1.0	LoF
PIK3CA	2	dndscv		0.0009140745176851769	0.0016418150261801193	51.0	7.0	7.0	20.4898653716945	0.0	0.0	6.0	0.0	Act
IFNL2	3	dndscv		0.0006339950236725353		51.0	3.0	3.0	49.951136011933094	0.0	0.0	3.0	0.0	Act
PIGN	3	oncodriveclustl		0.002529378183889553		51.0	3.0	2.0	14.5907398832459	0.0	0.0	3.0	0.0	Act
TNRC18	3	oncodrivefml,cbase	cbase	3.2706657519942738e-06		51.0	6.0	5.0	4.89565564671058	48.687571847767	48.687571847767	4.0	2.0	LoF
FAM182B	3	dndscv		0.0030191131441828713		51.0	3.0	3.0	64.6783656844568	0.0	0.0	3.0	0.0	Act
KRTAP24-1	4	mutpanning		0.4845469567403211		51.0	2.0	2.0	8.815427437022448	0.0	0.0	1.0	0.0	Act
FAM129A	3	oncodriveclustl		0.003034626748217295		51.0	3.0	2.0	11.4622113050756	0.0	0.0	3.0	0.0	Act
PPP2R5C	3	oncodriveclustl		0.015859519467734624		51.0	3.0	2.0	3.7325301526665497	27.2601938745311	27.2601938745311	1.0	1.0	LoF
TSHZ2	4	dndscv		0.11508129666782024		51.0	4.0	4.0	3.65929559484317	0.0	0.0	1.0	0.0	Act
MS4A2	4	dndscv		0.05306009075146985		51.0	3.0	3.0	51.33157492665689	0.0	0.0	3.0	0.0	Act
PSG1	3	dndscv		0.015262176838115954		51.0	4.0	4.0	25.199943841028	80.0907499184092	80.0907499184092	3.0	1.0	LoF
SPHKAP	3	dndscv		0.01318587209875632		51.0	7.0	6.0	7.385727588341839	0.0	0.0	6.0	0.0	Act
RARB	4	oncodriveclustl		0.06500863869216403		51.0	4.0	4.0	14.323305237850098	0.0	0.0	3.0	0.0	Act
FBXO5	4	dndscv		0.09859082775470686		51.0	2.0	2.0	17.126326371701	0.0	0.0	2.0	0.0	Act
FAM187A	3	oncodriveclustl		0.020261848293302315		51.0	2.0	2.0	31.1915704612897	0.0	0.0	2.0	0.0	Act
