SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.531096672371586e-14	2.531975590950371e-14	1.0	56.0	51.0	137.764861414173	517.900704620952	517.900704620952	47.0	7.0	LoF
RB1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	3.379248919567877e-17	1.1361128600938392e-17	2.0	9.0	9.0	3.6222127053362994	286.00056772535197	286.00056772535197	1.0	8.0	LoF
ATRX	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	9.709177850844771e-29	3.264252524698171e-29	3.0	18.0	17.0	10.6865498946036	197.435314755361	197.435314755361	6.0	12.0	LoF
TNRC18	1	dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml,cbase	8.879793794735799e-05		4.0	8.0	6.0	6.87881308745458	48.3862297922589	48.3862297922589	6.0	2.0	LoF
COL6A3	1	oncodriveclustl,smregions	smregions	4.793401528499044e-05		5.0	6.0	4.0	3.35097238259543	0.0	0.0	5.0	0.0	Act
FRAS1	1	oncodriveclustl,smregions	smregions	0.00608392953902352		6.0	5.0	4.0	2.34986448277728	5.78922129580396	5.78922129580396	4.0	0.0	Act
CSMD3	1	oncodriveclustl,smregions,cbase	smregions	4.626028917098276e-05	3.9867190077505496e-05	6.0	6.0	3.0	4.93150955075818	10.012831867110801	10.012831867110801	4.0	1.0	LoF
SMARCAL1	1	dndscv,oncodrivefml,cbase	cbase	1.0393592543546236e-06		8.0	5.0	5.0	10.5270325161793	78.0829159650868	78.0829159650868	3.0	2.0	LoF
PTEN	1	dndscv,oncodrivefml		0.0010428341808387746	0.001402414976814268	10.0	5.0	4.0	48.1763995459909	0.0	0.0	5.0	0.0	Act
SLC31A2	1	oncodriveclustl,dndscv		9.878136373691861e-05		10.0	3.0	2.0	0.0	280.667716624819	280.667716624819	0.0	2.0	LoF
SCN2A	1	dndscv,oncodrivefml,cbase	cbase	2.7197098241140213e-06		10.0	8.0	8.0	14.0671322903811	41.135406625848105	41.135406625848105	7.0	1.0	LoF
KCNK10	1	oncodriveclustl,dndscv		0.0010712851249411095		13.0	5.0	4.0	29.478123653080306	0.0	0.0	5.0	0.0	Act
FABP7	1	dndscv,oncodrivefml		0.0014792604311030682		14.0	2.0	2.0	22.353703750188398	308.479163221148	308.479163221148	1.0	1.0	LoF
SLC5A11	1	dndscv,oncodrivefml,cbase	cbase	3.235652310592403e-06		14.0	3.0	3.0	5.1725418488387005	111.8331213347	111.8331213347	1.0	2.0	LoF
CD163	1	dndscv,oncodrivefml		8.879793794735799e-05		14.0	2.0	2.0	0.0	56.605658995749906	56.605658995749906	0.0	2.0	LoF
COL4A1	1	dndscv,oncodrivefml,cbase		1.7762473118921997e-06		14.0	3.0	3.0	2.10516432197384	55.31074385765861	55.31074385765861	1.0	2.0	LoF
MMRN2	1	dndscv,oncodrivefml,cbase		4.626028917098276e-05		14.0	2.0	2.0	0.0	116.56593504935101	116.56593504935101	0.0	2.0	LoF
PLCL1	1	dndscv,oncodrivefml,cbase		4.626028917098276e-05		14.0	2.0	2.0	0.0	85.7712907323024	85.7712907323024	0.0	2.0	LoF
THSD7A	1	smregions,cbase	smregions	0.002326943941799641		20.0	4.0	3.0	6.48033084543612	16.172968891157	16.172968891157	3.0	1.0	LoF
PZP	4	smregions	smregions	0.37554083906941294		21.0	5.0	4.0	3.1681274945681803	0.0	0.0	3.0	0.0	Act
TET2	2	smregions	smregions	0.05497072179771982	0.19451111921973355	21.0	4.0	2.0	8.945380104138051	0.0	0.0	4.0	0.0	Act
COL4A5	4	smregions	smregions	0.08532706305339141		21.0	3.0	3.0	6.50002441747192	0.0	0.0	3.0	0.0	Act
TTN	4	smregions	smregions	0.33707295679942634		21.0	29.0	25.0	1.43960700494136	1.37744525071863	1.37744525071863	23.0	1.0	ambiguous
CTNND1	2	smregions	smregions	0.0388064172706349	0.13862251697792852	21.0	3.0	3.0	9.614693553351039	0.0	0.0	3.0	0.0	Act
OBSCN	4	smregions	smregions	0.4907304534690161		21.0	11.0	11.0	0.402475967331367	1.44428102565795	1.44428102565795	4.0	1.0	LoF
EGF	3	smregions	smregions	0.014354883459492797		21.0	5.0	2.0	3.62752695965062	13.3739821566098	13.3739821566098	2.0	1.0	LoF
SPHKAP	3	smregions	smregions	0.00045560579541658615		21.0	10.0	6.0	8.880397132242061	0.0	0.0	7.0	0.0	Act
LCT	3	smregions	smregions	0.012955909253972659		21.0	4.0	4.0	7.72958732336332	0.0	0.0	4.0	0.0	Act
MYT1L	3	oncodrivefml,cbase	cbase	2.0105166572503984e-05		21.0	6.0	6.0	13.573019733823	31.59018788689	31.59018788689	5.0	1.0	LoF
