SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.0020199208256572e-13	2.4559649486032784e-14	1.0	65.0	63.0	111.745756473412	454.213858155876	454.213858155876	43.0	8.0	LoF
RB1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.068392690866888e-17	5.069659637635238e-18	2.0	15.0	14.0	5.12909061421989	206.854632167003	206.854632167003	2.0	9.0	LoF
ATRX	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.348059828501909e-15	1.5559184110422349e-15	3.0	31.0	30.0	5.61960713305135	128.793529750678	128.793529750678	5.0	13.0	LoF
COL7A1	1	oncodriveclustl,smregions		0.0056668514886927		4.0	5.0	2.0	1.48178937567752	0.0	0.0	3.0	0.0	Act
RET	1	oncodrivefml,smregions		0.0012012549996575665	0.0021399854762512733	5.0	3.0	3.0	3.22485160379484	20.1864755457825	20.1864755457825	2.0	1.0	LoF
FRAS1	1	oncodriveclustl,smregions		0.01859527039329752		6.0	8.0	7.0	2.05078620427412	3.3169860560543	3.3169860560543	6.0	0.0	Act
CSMD3	1	oncodriveclustl,smregions		0.005261003681763563	0.010315835338872243	6.0	11.0	7.0	1.9443310092692	2.60767270027731	2.60767270027731	6.0	1.0	LoF
COL4A1	1	dndscv,oncodrivefml		7.85003873300546e-07		8.0	2.0	2.0	0.0	33.849082062992004	33.849082062992004	0.0	2.0	LoF
SCN2A	1	dndscv,oncodrivefml,cbase	cbase	2.9108630464430617e-08		9.0	11.0	11.0	11.848117656503902	25.1389250064567	25.1389250064567	10.0	1.0	LoF
PIK3CA	2	oncodriveclustl,dndscv		0.005261003681763563	0.010315835338872243	10.0	7.0	7.0	11.9943193268794	0.0	0.0	6.0	0.0	Act
TMEM217	4	oncodriveclustl,dndscv		0.11461535364705193		10.0	5.0	4.0	27.135534383488608	0.0	0.0	4.0	0.0	Act
PTEN	2	dndscv,oncodrivefml		0.004775805480371688	0.008409047314159278	12.0	4.0	4.0	17.611121646336393	0.0	0.0	3.0	0.0	Act
HERC1	4	oncodrivefml,smregions		0.05833797040026696		13.0	4.0	3.0	1.59417453517371	0.0	0.0	3.0	0.0	Act
ADGRL4	4	smregions		0.11461535364705193		51.0	3.0	3.0	8.68386946778103	0.0	0.0	3.0	0.0	Act
LCT	3	smregions		0.008148149967560268		51.0	4.0	4.0	4.7903069527884	0.0	0.0	4.0	0.0	Act
SPATA31A6	3	smregions		0.007500569306227737		51.0	7.0	7.0	11.9667315948345	0.0	0.0	7.0	0.0	Act
ADGRV1	3	smregions		0.005760908612716663		51.0	13.0	13.0	4.16334110169685	0.0	0.0	12.0	0.0	Act
VPS13C	4	smregions		0.179707883437913		51.0	4.0	4.0	1.56182625061779	0.0	0.0	3.0	0.0	Act
ANKRD17	4	smregions		0.1668042700698543		51.0	5.0	5.0	0.958649471015763	5.6890035478310095	5.6890035478310095	2.0	1.0	LoF
INF2	3	smregions		0.010690937473488614		51.0	4.0	4.0	2.1051273859897	14.6801218563952	14.6801218563952	2.0	1.0	LoF
PRDM9	3	smregions		0.005177611285836951		51.0	3.0	3.0	7.30502047183975	0.0	0.0	3.0	0.0	Act
SDK1	3	smregions		0.004733712340073431		51.0	4.0	4.0	2.39221723287717	9.561470569978539	9.561470569978539	3.0	1.0	LoF
CTNND1	2	smregions		0.0371662083135963	0.1050154444466053	51.0	3.0	3.0	6.14961138759896	0.0	0.0	3.0	0.0	Act
COL4A6	3	smregions		0.005252320395240846		51.0	5.0	5.0	6.352034999208351	0.0	0.0	5.0	0.0	Act
ADGRL2	3	smregions		0.03406048184974047		51.0	3.0	3.0	2.8699197854269	12.544993754948196	12.544993754948196	2.0	1.0	LoF
FLG	3	smregions		0.007168588417491827		51.0	11.0	10.0	3.60738252744802	0.0	0.0	9.0	0.0	Act
PZP	4	smregions		0.3376550365489201		51.0	5.0	4.0	2.68499322191068	0.0	0.0	3.0	0.0	Act
ADAMTS19	3	smregions		0.016707784563261482		51.0	3.0	3.0	7.00150524447728	0.0	0.0	3.0	0.0	Act
COL4A5	4	smregions		0.06393521544566014		51.0	3.0	3.0	3.94242690994855	0.0	0.0	3.0	0.0	Act
FLNC	4	smregions	smregions	0.2326576841631889		51.0	6.0	6.0	1.29092671601202	0.0	0.0	3.0	0.0	Act
SPEF2	3	smregions		0.02027254079307776		51.0	4.0	4.0	4.19431873279706	11.224875272019501	11.224875272019501	3.0	0.0	Act
COL28A1	3	smregions		0.010242889428123484		51.0	3.0	3.0	6.0546175335763	0.0	0.0	3.0	0.0	Act
