SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.563799798702545e-15	2.6680136771138426e-15	1.0	61.0	55.0	114.908679288762	439.85334132675	439.85334132675	50.0	8.0	LoF
RB1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.6339432434501583e-16	5.763482690142804e-17	2.0	9.0	9.0	3.94551368801648	305.296927940999	305.296927940999	1.0	8.0	LoF
ATRX	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	8.504674573753526e-15	2.9998927372547568e-15	3.0	20.0	18.0	16.251330424263802	223.94901426307098	223.94901426307098	8.0	12.0	LoF
PTEN	1	dndscv,oncodrivefml,hotmaps		0.0013135314227331796	0.0009266558857816613	4.0	5.0	4.0	54.1058768743757	0.0	0.0	5.0	0.0	Act
SDK1	1	smregions,cbase		0.0017141017531253787		5.0	4.0	4.0	4.19390506475129	17.2132893711266	17.2132893711266	3.0	1.0	LoF
CSMD3	1	oncodriveclustl,smregions,cbase	smregions	0.0009080112111129676	0.0005605021537740735	5.0	9.0	5.0	3.94469600400047	5.35361587938104	5.35361587938104	6.0	1.0	LoF
FREM2	1	smregions,cbase		0.003323171048864573		7.0	7.0	7.0	9.203285542709349	0.0	0.0	7.0	0.0	Act
FAM47C	1	smregions,cbase		0.012247175647264094	0.033528932422164176	7.0	6.0	5.0	6.35697329478225	49.6514363995715	49.6514363995715	4.0	1.0	LoF
F5	4	mutpanning		0.4687923854919017		13.0	4.0	4.0	1.23533662658335	0.0	0.0	2.0	0.0	Act
CD84	4	mutpanning		0.4549949898694312		14.0	2.0	2.0	6.45572842939859	0.0	0.0	1.0	0.0	Act
SLC34A1	4	mutpanning		0.4841901019802724		15.0	2.0	2.0	3.30384374585871	0.0	0.0	1.0	0.0	Act
CACNB4	4	mutpanning		0.4694516491325866		21.0	2.0	2.0	3.0086015514740096	0.0	0.0	1.0	0.0	Act
LAMC3	4	mutpanning		0.4617044209394484		22.0	2.0	2.0	1.16166085296075	0.0	0.0	1.0	0.0	Act
LMTK2	4	mutpanning		0.461537875153945		27.0	2.0	2.0	1.35341162884602	0.0	0.0	1.0	0.0	Act
CCNDBP1	4	mutpanning		0.4965986286366936		31.0	2.0	2.0	5.20242495309064	0.0	0.0	1.0	0.0	Act
TBCB	4	mutpanning		0.4660729885558521		32.0	2.0	2.0	6.954830120428982	0.0	0.0	1.0	0.0	Act
FUT10	4	mutpanning		0.4384131063157312		33.0	2.0	2.0	4.11881206880892	0.0	0.0	1.0	0.0	Act
GMIP	4	mutpanning		0.4347720207133493		38.0	2.0	2.0	1.77474720317297	0.0	0.0	1.0	0.0	Act
GBE1	4	mutpanning		0.4939764113441993		41.0	2.0	2.0	2.8924341245537595	0.0	0.0	1.0	0.0	Act
ATP10A	4	mutpanning		0.4616793509668429		42.0	2.0	2.0	1.16028231739238	0.0	0.0	1.0	0.0	Act
KCNV1	3	dndscv,smregions		0.006998961961981188		46.0	4.0	4.0	26.896853323333396	0.0	0.0	4.0	0.0	Act
TNRC18	3	dndscv,oncodrivefml,cbase	oncodrivefml,cbase	0.0002437320460291354		47.0	7.0	6.0	5.69152522802692	49.8869139267449	49.8869139267449	5.0	2.0	LoF
SMARCAL1	3	dndscv,oncodrivefml,cbase	cbase	0.00030227876987744284		47.0	6.0	6.0	14.915993471528099	85.3527905347439	85.3527905347439	4.0	2.0	LoF
SCN2A	3	dndscv,oncodrivefml,cbase	cbase	0.0009080112111129676		47.0	8.0	8.0	14.982502236132099	43.6883751026696	43.6883751026696	7.0	1.0	LoF
SLC5A11	3	dndscv,oncodrivefml,cbase		0.0027651619744279306		47.0	3.0	3.0	5.44383454758057	119.39846172546	119.39846172546	1.0	2.0	LoF
COL6A3	3	oncodriveclustl,smregions	smregions	0.0011283890540719045		51.0	7.0	5.0	4.2072835358883	0.0	0.0	6.0	0.0	Act
