SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.2309669127710138e-14	2.9432575748012505e-15	1.0	73.0	66.0	86.6262998336104	295.202054704308	295.202054704308	50.0	7.0	LoF
RB1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.0019629955029192e-14	4.786719033513016e-15	2.0	14.0	14.0	6.995707282347469	287.67453165502	287.67453165502	2.0	8.0	LoF
ATRX	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.970402303788297e-23	1.4275307989943178e-23	3.0	35.0	32.0	11.1247809352947	175.333572378137	175.333572378137	8.0	13.0	LoF
PTEN	1	dndscv,oncodrivefml		8.168281041662698e-05	2.441308007505661e-05	4.0	6.0	5.0	37.0076205030599	0.0	0.0	5.0	0.0	Act
KIT	1	dndscv,oncodrivefml		0.01465256797528675	0.029779305236158737	4.0	7.0	4.0	3.1294074228744604	0.0	0.0	2.0	0.0	Act
RET	1	oncodrivefml,smregions		0.00029490701713598893	0.00014102528720185117	6.0	3.0	3.0	4.30625945444073	25.8699639731341	25.8699639731341	2.0	1.0	LoF
GOLGA6L6	1	oncodriveclustl,dndscv,cbase	oncodriveclustl,dndscv,cbase	0.0019197727164196785		7.0	15.0	15.0	20.5551416819951	27.712696495110894	27.712696495110894	12.0	2.0	LoF
GOLGA6L10	1	oncodriveclustl,dndscv,cbase	oncodriveclustl,dndscv	0.004403335629981606		7.0	10.0	10.0	40.62563123451249	0.0	0.0	10.0	0.0	Act
GOLGA6L9	1	oncodriveclustl,dndscv	oncodriveclustl,dndscv	0.00907104112741912		9.0	9.0	8.0	22.246774488460694	0.0	0.0	8.0	0.0	Act
SCN2A	1	dndscv,oncodrivefml,cbase	cbase	2.3423086554918813e-05		9.0	10.0	10.0	14.089439979273601	33.5212871451156	33.5212871451156	9.0	1.0	LoF
NBPF15	1	oncodriveclustl,hotmaps	oncodriveclustl	0.00428650916625666		11.0	3.0	3.0	12.983867657859301	0.0	0.0	3.0	0.0	Act
SLC31A2	1	oncodriveclustl,dndscv		0.0003238179048858458		12.0	3.0	2.0	0.0	234.128857380171	234.128857380171	0.0	2.0	LoF
COL6A3	1	oncodriveclustl,smregions	smregions	0.00428650916625666		12.0	6.0	4.0	2.66605954261676	0.0	0.0	5.0	0.0	Act
ATM	4	hotmaps		0.24302071796200364	0.5251898823711924	15.0	5.0	5.0	2.29693509054063	0.0	0.0	4.0	0.0	Act
CSMD3	2	oncodriveclustl,smregions		0.00682340601339448	0.01631485072954482	15.0	11.0	7.0	2.55864617757708	2.9281455571122903	2.9281455571122903	7.0	1.0	LoF
PIK3CA	2	oncodriveclustl,dndscv		0.009728604369662323	0.022545487266205533	15.0	7.0	7.0	15.718653879228699	0.0	0.0	6.0	0.0	Act
SPHKAP	3	smregions		0.0012634611046745273		18.0	11.0	7.0	7.776127386612519	0.0	0.0	8.0	0.0	Act
ADGRL4	4	smregions		0.16434175341853136		18.0	3.0	3.0	12.0393079369186	0.0	0.0	3.0	0.0	Act
