SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.312524004352147e-15	1.3073326326259418e-15	1.0	72.0	65.0	91.5540362408785	351.065033461346	351.065033461346	48.0	8.0	LoF
RB1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.004410802866077822	0.005766534487503829	2.0	15.0	14.0	4.46934454449059	384.616997124609	384.616997124609	1.0	9.0	LoF
ATRX	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.226076608977321e-16	6.748304683531939e-17	3.0	35.0	32.0	16.6962273832284	254.94563893615899	254.94563893615899	8.0	13.0	LoF
PTEN	1	dndscv,oncodrivefml,hotmaps		0.0013847952392620614	0.001259393341786842	4.0	6.0	5.0	54.5105563195121	0.0	0.0	5.0	0.0	Act
SDK1	1	smregions,cbase		0.002644254478470632		5.0	4.0	4.0	4.98565768600187	19.822122259687397	19.822122259687397	3.0	1.0	LoF
FAM47C	1	smregions,cbase	smregions	0.002644254478470632	0.0035184992009650116	5.0	8.0	7.0	9.070980094292901	40.986360945571604	40.986360945571604	6.0	1.0	LoF
FREM2	1	smregions,cbase		0.004077274585404836		8.0	7.0	7.0	9.684306841335982	0.0	0.0	7.0	0.0	Act
KNTC1	4	mutpanning		0.45162948978988104		25.0	5.0	5.0	2.27888718373376	0.0	0.0	3.0	0.0	Act
PAK3	4	mutpanning		0.481360729288336		31.0	2.0	2.0	6.793669781236732	0.0	0.0	1.0	0.0	Act
DBF4	4	mutpanning		0.3265075706802035		36.0	2.0	2.0	7.178462189194431	0.0	0.0	1.0	0.0	Act
MMRN2	3	dndscv,oncodrivefml,cbase		0.0005994036104585567		47.0	2.0	2.0	0.0	120.906840160363	120.906840160363	0.0	2.0	LoF
SLC5A11	3	dndscv,oncodrivefml,cbase	cbase	0.0011186648497591397		47.0	4.0	4.0	11.862320125434596	134.587804022313	134.587804022313	2.0	2.0	LoF
SCN2A	3	dndscv,oncodrivefml,cbase	cbase	0.0005090658719336526		47.0	11.0	11.0	23.31379754908839	49.0425967992522	49.0425967992522	10.0	1.0	LoF
SMARCAL1	3	dndscv,oncodrivefml,cbase	cbase	0.0005994036104585567		47.0	6.0	6.0	16.058326775773303	93.9038847415357	93.9038847415357	4.0	2.0	LoF
FRAS1	3	oncodriveclustl,smregions		0.017900242057291068		51.0	5.0	4.0	2.32729625001012	5.62488956928493	5.62488956928493	4.0	0.0	Act
COL6A3	3	oncodriveclustl,smregions	smregions	0.0012516534329046801		51.0	6.0	4.0	3.41489028446116	0.0	0.0	5.0	0.0	Act
CSMD3	2	oncodriveclustl,smregions		0.0027634625912883104	0.0035184992009650116	51.0	8.0	5.0	3.10286927481453	5.01189397241691	5.01189397241691	5.0	1.0	LoF
ABCF3	3	smregions	smregions	0.002644254478470632		54.0	4.0	4.0	18.9116810499103	0.0	0.0	4.0	0.0	Act
DNAH9	3	smregions		0.02372848595640008		54.0	6.0	6.0	2.85454956920375	0.0	0.0	5.0	0.0	Act
ADGRL4	4	smregions		0.12486600775104705		54.0	3.0	3.0	14.965975642732902	0.0	0.0	3.0	0.0	Act
CACNA1C	3	smregions		0.010623868137723027		54.0	4.0	4.0	8.222141469893769	0.0	0.0	4.0	0.0	Act
PRDM9	3	smregions		0.010096162853637815		54.0	3.0	3.0	13.823246016874599	0.0	0.0	3.0	0.0	Act
SPEF2	3	smregions		0.011218376767916531		54.0	4.0	4.0	8.10333893869264	21.4444342934961	21.4444342934961	3.0	0.0	Act
OBSCN	4	smregions	smregions	0.2038656451210423		54.0	15.0	15.0	0.25849855679751704	0.922170603181884	0.922170603181884	4.0	1.0	ambiguous
VPS13C	3	smregions		0.01935171283537624		54.0	3.0	3.0	4.13817348806621	0.0	0.0	3.0	0.0	Act
TNR	3	smregions		0.017900242057291068		54.0	3.0	3.0	8.75080230798265	0.0	0.0	3.0	0.0	Act
CTNND1	2	smregions		0.020251407249352052	0.04228944573455183	54.0	3.0	3.0	11.0886260290243	0.0	0.0	3.0	0.0	Act
TTN	3	smregions		0.01972042449925331		54.0	32.0	28.0	1.58456520515858	1.37285503322026	1.37285503322026	26.0	1.0	Act
GIMAP8	4	smregions		0.18582324489332475		54.0	6.0	6.0	7.14726205638271	0.0	0.0	4.0	0.0	Act
SPTBN2	3	smregions		0.01958023253499432		54.0	3.0	3.0	5.13438287231974	0.0	0.0	3.0	0.0	Act
COL4A5	3	smregions		0.01958023253499432		54.0	3.0	3.0	7.743088511306679	0.0	0.0	3.0	0.0	Act
ADGRV1	3	smregions		0.0483995718201751		54.0	9.0	9.0	3.6550980522847	0.0	0.0	8.0	0.0	Act
HERC2	4	smregions		0.05163105051706793		69.0	4.0	4.0	1.4744599066210902	0.0	0.0	3.0	0.0	Act
SVEP1	4	smregions		0.05163105051706793		69.0	3.0	2.0	4.23166242497233	0.0	0.0	3.0	0.0	Act
CNTNAP5	4	smregions		0.08080753415534105		69.0	4.0	4.0	4.2608261270389916	0.0	0.0	3.0	0.0	Act
PCDHA4	4	smregions		0.1299000850652809		69.0	6.0	3.0	3.22046573415924	0.0	0.0	3.0	0.0	Act
PCDH11Y	3	smregions		0.03634934740645985		69.0	3.0	3.0	12.441329636117404	0.0	0.0	3.0	0.0	Act
RIMS2	3	smregions		0.047422484947626915		69.0	3.0	3.0	11.241784874214801	0.0	0.0	3.0	0.0	Act
PCDHGC3	3	smregions		0.029863746978829576		69.0	3.0	2.0	10.957251406111698	0.0	0.0	3.0	0.0	Act
SCN1A	3	smregions		0.00544028995039001		69.0	5.0	5.0	12.3104748700955	0.0	0.0	5.0	0.0	Act
APC	2	smregions		0.01075938421736521	0.018943777900971213	69.0	4.0	4.0	5.62732846191326	19.9932272995753	19.9932272995753	3.0	1.0	LoF
ZAN	3	smregions		0.010565728419891068		69.0	4.0	4.0	6.725053233284731	0.0	0.0	4.0	0.0	Act
USH2A	3	smregions		0.0071120190776503		69.0	11.0	11.0	4.64959640716749	0.0	0.0	9.0	0.0	Act
CILP	3	smregions		0.030045373266978623		69.0	3.0	3.0	10.029780291991	0.0	0.0	3.0	0.0	Act
