SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
BRAF	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.317237139889433e-27	6.190371745051618e-29	1.0	265.0	217.0	20.108230677376	0.0	0.0	255.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.215680466703032e-21	5.713104940786357e-23	2.0	120.0	116.0	526.691721164534	0.0	0.0	120.0	0.0	Act
RAC1	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	1.9928135452375735e-17	9.365251168540771e-19	3.0	22.0	22.0	18.260549060091396	0.0	0.0	21.0	0.0	Act
IDH1	1	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	4.01036750536644e-10	2.1202616490451786e-11	4.0	22.0	22.0	4.92134154036066	0.0	0.0	19.0	0.0	Act
MAP2K1	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	9.838170304510023e-10	5.085805933870981e-11	4.0	28.0	25.0	9.95841402124135	5.2455831416901	5.2455831416901	25.0	1.0	Act
CDKN2A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	8.06592689857998e-12	3.7905920246685776e-13	6.0	42.0	38.0	3.3744906347599195	55.497135128274	55.497135128274	17.0	14.0	LoF
ARID2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.639568311351424e-05	3.420838990413865e-06	6.0	60.0	46.0	0.917820477078316	10.3231419879349	10.3231419879349	24.0	24.0	LoF
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0013538255959103544	0.0002084112113361988	8.0	53.0	43.0	0.8056315265114989	8.938897034476609	8.938897034476609	19.0	19.0	LoF
KIT	1	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	3.1872827396650373e-15	1.4978673480744175e-16	9.0	17.0	17.0	4.50677872795783	0.0	0.0	15.0	0.0	Act
PPP6C	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodrivefml,hotmaps,cbase,mutpanning	9.678373940063942e-15	4.548363446664181e-16	9.0	27.0	26.0	7.639156465446598	11.7962252757058	11.7962252757058	22.0	3.0	LoF
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.9928135452375735e-17	9.365251168540771e-19	11.0	40.0	35.0	4.94844380820561	25.7624796469143	25.7624796469143	27.0	8.0	LoF
CDK4	1	hotmaps,mutpanning	hotmaps,mutpanning	6.778294794517617e-10	3.539408635860897e-11	12.0	11.0	10.0	6.62371097939154	0.0	0.0	10.0	0.0	Act
PTEN	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.043506037029233e-08	1.910424346723293e-09	13.0	35.0	34.0	47.146425684910795	203.5959152182	203.5959152182	18.0	6.0	LoF
CNOT9	1	oncodriveclustl,smregions,mutpanning	oncodriveclustl,smregions,mutpanning	1.414589989079912e-08		14.0	11.0	11.0	8.823493456013802	0.0	0.0	10.0	0.0	Act
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,mutpanning	8.520120071090318e-08	6.006060976645991e-09	15.0	18.0	12.0	0.501913720035184	8.33241171228328	8.33241171228328	4.0	8.0	LoF
BRD7	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.1592303553536263e-10		15.0	10.0	10.0	4.31719189073132	118.988409417875	118.988409417875	2.0	6.0	LoF
KLHDC7A	1	oncodriveclustl,mutpanning	oncodriveclustl,mutpanning	3.313742190402164e-05		17.0	59.0	50.0	1.63539619076021	0.8952564477365319	0.8952564477365319	39.0	1.0	Act
TRRAP	1	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	1.2236751913850668e-06	9.036776956997432e-08	18.0	68.0	56.0	1.17438771064516	0.240555718549402	0.240555718549402	39.0	1.0	Act
PCDH15	1	oncodriveclustl,hotmaps,mutpanning	hotmaps	8.998689061563934e-07		19.0	117.0	82.0	1.18381551683123	0.5947761135456	0.5947761135456	80.0	1.0	Act
PBRM1	1	oncodrivefml,mutpanning		1.1578232515381059e-05	8.563595594647594e-07	20.0	19.0	18.0	0.891753409359075	7.147514140871179	7.147514140871179	8.0	6.0	LoF
KRAS	2	hotmaps	hotmaps	1.5798519021470313e-05	1.1757840350818562e-06	21.0	12.0	9.0	10.1166160570496	0.0	0.0	11.0	0.0	Act
ADCYAP1R1	3	hotmaps	hotmaps	0.0009526698117825721		21.0	26.0	26.0	1.91650988999508	1.6423325353663605	1.6423325353663605	16.0	1.0	Act
KCNA6	3	hotmaps	hotmaps	0.0012912179560395345		21.0	40.0	31.0	1.9048084970355	0.0	0.0	27.0	0.0	Act
OR4N2	3	dndscv,hotmaps	hotmaps	0.0003063301137876941		21.0	43.0	37.0	3.25476267828486	0.0	0.0	31.0	0.0	Act
RYR3	3	hotmaps	hotmaps	0.04302296729289374		21.0	101.0	72.0	1.22831261011612	1.10404994227829	1.10404994227829	61.0	4.0	ambiguous
CCDC158	4	hotmaps	hotmaps	0.14742010096881256		21.0	40.0	35.0	0.780117152256917	0.0	0.0	23.0	0.0	ambiguous
RAF1	2	hotmaps	hotmaps	0.0021418321144888643	0.00038254972735038287	21.0	13.0	12.0	2.10337465484477	1.59951481968875	1.59951481968875	9.0	1.0	Act
NOL4	3	hotmaps	hotmaps	0.00214702013160762		21.0	36.0	32.0	1.37745759504482	1.53638402845912	1.53638402845912	23.0	2.0	LoF
MYO9A	3	hotmaps	hotmaps	5.2253990003631034e-08		29.0	38.0	37.0	2.64750403864138	3.00520004269231	3.00520004269231	29.0	4.0	LoF
HRAS	2	hotmaps	hotmaps	0.00042286894347664036	5.893306205861707e-05	29.0	5.0	4.0	24.501242067556	0.0	0.0	5.0	0.0	Act
PER3	3	hotmaps,smregions	hotmaps,smregions	1.751586080414296e-05		29.0	14.0	14.0	1.00332732368636	1.18411156074174	1.18411156074174	9.0	0.0	ambiguous
PCDHGB4	4	mutpanning		0.1867061762992777		32.0	28.0	27.0	1.0343611141647802	0.0	0.0	17.0	0.0	Act
MORC2	3	mutpanning	mutpanning	0.0019019558336044113		32.0	19.0	18.0	1.07370563516515	1.88980022258031	1.88980022258031	11.0	1.0	LoF
SF3B1	2	mutpanning	mutpanning	5.844627716272897e-06	4.20081970712245e-07	32.0	20.0	18.0	1.96287530465856	2.07949931676934	2.07949931676934	15.0	2.0	ambiguous
DDX17	3	mutpanning	mutpanning	0.0002348039647789046		32.0	12.0	12.0	0.8392381619477559	2.90429605287567	2.90429605287567	6.0	2.0	LoF
JAML	3	mutpanning		7.007701402241325e-06		32.0	18.0	16.0	6.8899898792744505	0.0	0.0	16.0	0.0	Act
GNA11	2	mutpanning	mutpanning	7.007701402241325e-06	5.076432930482145e-07	32.0	8.0	6.0	7.35635190071695	0.0	0.0	7.0	0.0	Act
RBP3	3	mutpanning	mutpanning	1.1578232515381059e-05		32.0	62.0	52.0	1.3208285441369398	0.0	0.0	37.0	0.0	Act
CTSE	3	mutpanning		0.0009526698117825721		32.0	9.0	8.0	5.69049422634791	12.7618945022051	12.7618945022051	8.0	0.0	Act
TPTE	3	mutpanning	mutpanning	0.0018008434322768847		32.0	77.0	61.0	2.61007053496649	1.8223600669062	1.8223600669062	58.0	3.0	Act
CRNKL1	2	mutpanning	mutpanning	0.10780699576187436	0.06334883559484271	32.0	20.0	16.0	2.58882459382328	0.0	0.0	16.0	0.0	Act
PDE4DIP	2	mutpanning	mutpanning	3.313742190402164e-05	3.071440304576209e-06	32.0	35.0	33.0	2.23349135228759	0.652678403188381	0.652678403188381	27.0	1.0	Act
ASXL3	3	mutpanning	mutpanning	0.0015927765410421464		32.0	119.0	95.0	1.44917154461887	0.25658124054999804	0.25658124054999804	91.0	1.0	Act
PRAMEF14	3	mutpanning	mutpanning	0.034875434490677835		32.0	36.0	32.0	1.89669236801137	2.00333403815314	2.00333403815314	22.0	2.0	ambiguous
GDF2	3	mutpanning		0.00020747033047157086		32.0	19.0	16.0	3.23145703754867	0.0	0.0	15.0	0.0	Act
MAGEA12	3	mutpanning	mutpanning	0.002305623731035182		32.0	25.0	22.0	1.6300821258313	2.9537972465849	2.9537972465849	14.0	2.0	LoF
ITGA10	3	mutpanning	mutpanning	0.017610788774340545		32.0	19.0	19.0	1.5087035996953402	0.8703768835161121	0.8703768835161121	13.0	0.0	Act
GPRIN2	3	mutpanning		0.02624375610779736		32.0	22.0	18.0	2.4782961238304	2.10887336198144	2.10887336198144	16.0	1.0	Act
SLC12A5	3	mutpanning		0.03324084841499678		49.0	37.0	36.0	1.53519883571705	1.2419279144662498	1.2419279144662498	23.0	1.0	Act
PADI4	4	hotmaps	hotmaps	0.07151072567744317		49.0	23.0	22.0	0.695742899753376	0.672623988141059	0.672623988141059	9.0	1.0	ambiguous
