SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
BRAF	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.0720347069450277e-19	1.9686681789301655e-20	1.0	246.0	201.0	22.6659108102599	0.0	0.0	239.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	5.75480661480575e-13	2.7822220275142298e-14	2.0	118.0	112.0	121.520896947639	0.0	0.0	117.0	0.0	Act
ARID2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.007090546116725208	0.0017966482346375339	3.0	48.0	39.0	0.918186404942891	11.795458146826999	11.795458146826999	19.0	21.0	LoF
IDH1	1	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	3.362976112824703e-07	2.0010662327240348e-08	4.0	18.0	18.0	6.24654903697217	0.0	0.0	16.0	0.0	Act
MAP2K1	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	hotmaps,cbase,mutpanning	1.3086102425835504e-08	6.901761168379587e-10	5.0	26.0	23.0	9.47464867911762	5.43108625692946	5.43108625692946	23.0	1.0	Act
CDKN2A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.047386882499981e-09	2.1741688088068883e-10	6.0	31.0	29.0	6.12974965480854	111.579511576697	111.579511576697	15.0	13.0	LoF
RAC1	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	1.6425528809332254e-21	7.941095353112284e-23	7.0	20.0	20.0	17.3753534825922	0.0	0.0	19.0	0.0	Act
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.948502054705707e-18	3.842787252911156e-19	8.0	47.0	38.0	0.888140845858103	8.707736647591581	8.707736647591581	19.0	17.0	LoF
KIT	1	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	4.848632757888266e-12	2.3441227073760066e-13	9.0	16.0	16.0	4.2858389649395185	0.0	0.0	14.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.3186569535192587e-22	6.375186289278857e-24	10.0	35.0	31.0	5.960407117251401	35.205131363687	35.205131363687	24.0	8.0	LoF
CDK4	1	hotmaps,mutpanning	hotmaps,mutpanning	6.888065399165726e-09	3.663118749174648e-10	11.0	10.0	9.0	6.28778008566767	0.0	0.0	9.0	0.0	Act
PTEN	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.499725533092134e-11	3.625821504548361e-12	12.0	21.0	20.0	46.259692596186596	159.32312023941003	159.32312023941003	17.0	4.0	LoF
DDX17	1	hotmaps,mutpanning	hotmaps,mutpanning	4.159890523304588e-05		13.0	11.0	11.0	1.1265518055838402	3.9595875105069	3.9595875105069	6.0	2.0	LoF
PCDH15	1	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	0.0004735273827189544		13.0	104.0	74.0	1.18637129917626	0.701464162931168	0.701464162931168	69.0	1.0	Act
PPP6C	1	oncodrivefml,cbase,mutpanning	oncodrivefml,mutpanning	1.7822461423343566e-10	8.616457176680095e-12	15.0	23.0	23.0	6.61966188426004	12.5711066598595	12.5711066598595	18.0	3.0	LoF
RB1	1	dndscv,mutpanning	mutpanning	7.519380923132898e-07	4.673988141969195e-08	16.0	13.0	8.0	0.38969958548730105	6.78783148113279	6.78783148113279	3.0	6.0	LoF
PBRM1	1	dndscv,oncodrivefml,mutpanning		9.082860191575574e-08	5.141993545100023e-09	17.0	16.0	16.0	1.04099423125112	9.71076155623428	9.71076155623428	7.0	6.0	LoF
TRRAP	1	hotmaps,mutpanning	hotmaps	0.0005177885749372173	7.509910628860404e-05	18.0	66.0	52.0	1.16144281800199	0.251139360596164	0.251139360596164	37.0	1.0	Act
BRD7	1	dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml,cbase	1.923940875807854e-09		19.0	8.0	8.0	6.5982965333289405	103.072132511376	103.072132511376	3.0	5.0	LoF
CD72	1	dndscv,oncodrivefml,cbase	oncodrivefml	9.082860191575574e-08		20.0	5.0	4.0	3.91724325180828	96.59440037604591	96.59440037604591	1.0	4.0	LoF
VEGFC	1	dndscv,oncodrivefml,cbase	cbase	9.667469309806568e-06		20.0	21.0	19.0	10.0045017561179	29.1053207532243	29.1053207532243	15.0	5.0	LoF
CNOT9	1	oncodriveclustl,smregions,mutpanning	smregions,mutpanning	4.0090656829691424e-08		22.0	10.0	10.0	8.28082099656684	0.0	0.0	9.0	0.0	Act
OR10Q1	1	dndscv,oncodrivefml		0.034171363310575624		23.0	17.0	17.0	7.56100106179204	0.0	0.0	14.0	0.0	Act
PDE4DIP	2	mutpanning	mutpanning	0.00017539391318456603	1.888639060546276e-05	24.0	30.0	28.0	2.24697804186818	0.778781742466953	0.778781742466953	23.0	1.0	Act
PRAMEF14	4	mutpanning	mutpanning	0.24733588862126374		24.0	31.0	29.0	1.51118449173026	2.05457553948421	2.05457553948421	17.0	2.0	LoF
TPTE	4	mutpanning	mutpanning	0.3789835479494638		24.0	58.0	46.0	1.7623405393361398	0.8988776072225658	0.8988776072225658	40.0	2.0	Act
GNA11	2	mutpanning	mutpanning	5.3117036570035655e-06	3.9375988093478507e-07	24.0	8.0	6.0	7.616261295293222	0.0	0.0	7.0	0.0	Act
CRNKL1	2	mutpanning	mutpanning	0.10374436113744014	0.05939795193981087	24.0	18.0	14.0	2.31679735599467	0.0	0.0	14.0	0.0	Act
SF3B1	2	mutpanning	mutpanning	0.000584066719636479	8.672891856470435e-05	24.0	19.0	17.0	1.8818914477351	2.1755275931034	2.1755275931034	14.0	2.0	LoF
ITGA10	3	mutpanning	mutpanning	0.010031307044548929		24.0	20.0	20.0	1.65930842949238	0.892276142689674	0.892276142689674	14.0	0.0	Act
MORC2	3	mutpanning	mutpanning	0.008986099517617472		24.0	18.0	17.0	1.00092413884831	1.93920833829394	1.93920833829394	10.0	1.0	LoF
RBP3	3	mutpanning	mutpanning	0.00021617237773876447		24.0	48.0	44.0	1.32526811551543	0.0	0.0	29.0	0.0	Act
PCDHGB4	3	mutpanning		0.013006752084851336		24.0	26.0	25.0	1.09168595451662	0.0	0.0	16.0	0.0	Act
MAGEA12	3	mutpanning	mutpanning	0.01393223033873337		24.0	28.0	22.0	1.39377823137046	2.57036288653606	2.57036288653606	14.0	2.0	LoF
SETD2	2	mutpanning		5.484727073902975e-05	4.905551059737648e-06	35.0	20.0	18.0	4.61820279651362	10.1062333907378	10.1062333907378	16.0	3.0	LoF
COL4A6	3	mutpanning		0.0026886175892795725		36.0	41.0	35.0	2.94517107579333	2.44558800646248	2.44558800646248	35.0	2.0	Act
BIRC6	2	mutpanning		0.1564297549982943	0.09947531659232016	38.0	34.0	31.0	0.671205677025159	0.320674695398841	0.320674695398841	21.0	1.0	ambiguous
SMPD4	4	mutpanning		0.054569864040047315		39.0	7.0	6.0	2.2282914531926803	0.0	0.0	5.0	0.0	Act
ASXL3	3	mutpanning		0.003931184856420588		40.0	108.0	86.0	1.51517745599497	0.301238670970606	0.301238670970606	83.0	1.0	Act
BPTF	3	mutpanning		0.010056411025668071		41.0	27.0	26.0	1.5911062785556105	3.05735420525421	3.05735420525421	18.0	4.0	LoF
CTNNB1	2	mutpanning		2.9908125366323218e-05	2.3591651052316027e-06	42.0	18.0	17.0	7.98632114012658	0.0	0.0	17.0	0.0	Act
ARL16	4	oncodriveclustl,mutpanning		0.24638835839462134		43.0	4.0	4.0	20.34617919823	0.0	0.0	4.0	0.0	Act
PSG4	3	dndscv,cbase	dndscv	1.085583046559946e-06		44.0	37.0	32.0	5.7200231872983895	1.67608316675726	1.67608316675726	31.0	1.0	Act
FAM19A1	3	dndscv,cbase		4.1267668262784246e-06		44.0	11.0	11.0	47.8299667975383	115.00062815595501	115.00062815595501	8.0	3.0	LoF
ZFX	3	oncodrivefml,smregions,cbase	oncodrivefml,smregions	3.452885439685266e-07		44.0	14.0	14.0	1.88890176631673	16.3961924944989	16.3961924944989	8.0	4.0	LoF
KLHL4	3	dndscv,cbase	cbase	1.1088181673203112e-06		44.0	28.0	25.0	11.269767094858699	11.917765383476501	11.917765383476501	24.0	3.0	LoF
CERS3	3	dndscv,cbase	cbase	0.0004061299674040692		44.0	13.0	13.0	31.8160365602992	76.33107668528609	76.33107668528609	9.0	4.0	LoF
LUZP2	3	dndscv,cbase		0.0003993231703155259		49.0	24.0	23.0	8.1135037375025	6.01101959681072	6.01101959681072	20.0	2.0	Act
CYP7B1	3	oncodriveclustl,hotmaps	hotmaps	0.0008530948497224135		49.0	21.0	16.0	2.6504193351711	1.90841511713109	1.90841511713109	15.0	1.0	Act
RYR3	4	hotmaps	hotmaps	0.3173998521301801		52.0	82.0	63.0	1.32272478661321	1.39833072657891	1.39833072657891	52.0	3.0	ambiguous
KCNA6	3	hotmaps	hotmaps	0.0010052291100065569		52.0	38.0	31.0	2.03867144275211	0.0	0.0	26.0	0.0	Act
KRAS	2	hotmaps	hotmaps	1.054334283919046e-05	7.645935646741174e-07	52.0	12.0	9.0	10.8873593709254	0.0	0.0	11.0	0.0	Act
ANPEP	4	hotmaps	hotmaps	0.18266062681831896		52.0	24.0	22.0	1.55740789717345	0.0	0.0	15.0	0.0	Act
NOL4	4	hotmaps	hotmaps	0.06722092347773513		52.0	34.0	30.0	1.36759197974051	1.60726587110122	1.60726587110122	22.0	2.0	LoF
ZNF98	3	dndscv		0.00042736464152309296		57.0	17.0	15.0	42.5357186722279	0.0	0.0	17.0	0.0	Act
OR2A5	3	dndscv		0.0012015851106622938		57.0	43.0	36.0	3.80177694193807	3.90419015786402	3.90419015786402	30.0	2.0	ambiguous
CADM2	3	dndscv	dndscv	0.0011239459958528016		57.0	28.0	27.0	8.88358213442407	0.0	0.0	26.0	0.0	Act
ADH1B	3	dndscv		1.2660603908488515e-05		57.0	35.0	34.0	4.2401947383154	0.0	0.0	29.0	0.0	Act
GPR151	3	dndscv		0.0010601887897634368		57.0	7.0	6.0	0.0	9.89769424238497	9.89769424238497	0.0	4.0	LoF
OR2W1	3	dndscv		0.0004424511576278332		57.0	20.0	19.0	9.975845057600461	9.020072486959007	9.020072486959007	17.0	1.0	Act
QKI	2	dndscv		0.003541273704064224	0.0007246813505845307	57.0	4.0	4.0	0.0	25.6199005850068	25.6199005850068	0.0	3.0	LoF
