SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
BRAF	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.825951096155449e-19	3.1817024403907166e-20	1.0	262.0	215.0	17.4424820613835	0.0	0.0	251.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	5.775722330212052e-14	2.6921713288284523e-15	2.0	113.0	108.0	416.377018320511	42.8103013902905	42.8103013902905	112.0	1.0	Act
ARID2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.007207079713402715	0.001858351529823133	3.0	60.0	48.0	0.876079686313854	10.3240309257456	10.3240309257456	23.0	24.0	LoF
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.895079270198506e-13	1.3494501571075123e-14	3.0	58.0	48.0	0.846138267330288	9.719998465085801	9.719998465085801	20.0	21.0	LoF
IDH1	1	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	2.0254412741128847e-07	1.3487082195439771e-08	5.0	22.0	22.0	4.93961514238169	0.0	0.0	19.0	0.0	Act
MAP2K1	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	1.933464206739799e-09	1.0514274589319001e-10	5.0	28.0	25.0	9.781375905319411	5.16710373460279	5.16710373460279	25.0	1.0	Act
RAC1	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	5.4729781463456664e-12	2.5510566482436044e-13	5.0	19.0	19.0	15.2101948356813	0.0	0.0	18.0	0.0	Act
CDKN2A	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	3.554325920016226e-18	1.6567372508761475e-19	8.0	39.0	34.0	3.61333152634516	56.9976037715337	56.9976037715337	15.0	11.0	LoF
CDK4	1	hotmaps,mutpanning	hotmaps,mutpanning	1.35452055190627e-05	9.11974784059836e-07	9.0	11.0	10.0	6.4445297289623085	0.0	0.0	10.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.021852712750115e-21	4.7630450673871563e-23	10.0	40.0	36.0	4.60175781917427	28.2819387594629	28.2819387594629	25.0	9.0	LoF
PTEN	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.115823575503053e-15	5.201060692074302e-17	11.0	38.0	37.0	39.3563783050611	191.765873555088	191.765873555088	18.0	6.0	LoF
